Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TATAPOWER,129.7,134.25,128.7,133.4,7561267,0.2426,31166001
2021-09-02,TATAPOWER,133.85,134.8,132.6,133.6,7148778,0.2828,25276744
2021-09-03,TATAPOWER,134.05,135.45,133.25,133.85,5145128,0.2708,19000628
2021-09-06,TATAPOWER,134.4,134.6,132.0,132.2,5298446,0.3704,14304796
2021-09-07,TATAPOWER,132.4,132.55,129.25,130.05,5014747,0.3444,14561241
2021-09-08,TATAPOWER,130.6,133.5,129.5,133.25,4495298,0.2749,16351745
2021-09-09,TATAPOWER,133.2,134.3,131.75,132.75,3959292,0.27390000000000003,14453584
2021-09-13,TATAPOWER,132.75,132.75,130.4,131.05,5327922,0.38689999999999997,13771980
2021-09-14,TATAPOWER,131.5,133.3,131.3,133.0,5027123,0.3778,13305823
2021-09-15,TATAPOWER,133.1,142.3,132.8,140.05,18028979,0.2616,68917060
2021-09-16,TATAPOWER,140.0,142.0,138.5,140.25,7839128,0.3201,24490647
2021-09-17,TATAPOWER,140.85,141.5,136.1,137.9,8138281,0.2953,27560843
2021-09-20,TATAPOWER,137.6,139.35,133.2,134.3,6136164,0.2849,21535092
2021-09-21,TATAPOWER,134.75,136.3,131.2,135.85,5743909,0.255,22526116
2021-09-22,TATAPOWER,136.95,139.65,136.4,137.85,6667243,0.3127,21321952
2021-09-23,TATAPOWER,139.2,144.9,138.75,143.65,15988927,0.3728,42890085
2021-09-24,TATAPOWER,145.0,145.35,138.7,139.1,11779291,0.4056,29040576
2021-09-27,TATAPOWER,140.3,140.4,136.75,138.75,6120039,0.33640000000000003,18192368
2021-09-28,TATAPOWER,140.0,142.85,139.05,140.05,7747547,0.26539999999999997,29196888
2021-09-29,TATAPOWER,139.8,158.75,138.9,151.6,23711119,0.18710000000000002,126746990
2021-09-30,TATAPOWER,152.5,161.2,151.3,158.75,18363260,0.165,111302311
2021-10-01,TATAPOWER,158.75,164.95,156.6,163.75,14677484,0.1625,90310679
2021-10-04,TATAPOWER,166.25,172.5,164.0,168.6,21055139,0.2245,93787605
2021-10-05,TATAPOWER,169.0,184.75,168.35,179.4,26216608,0.16260000000000002,161189379
2021-10-06,TATAPOWER,182.85,182.85,172.8,175.95,21597512,0.2133,101232618
2021-10-07,TATAPOWER,178.35,184.0,176.85,177.75,16949640,0.23120000000000002,73313810
2021-10-08,TATAPOWER,180.15,180.2,175.0,176.85,11468025,0.2644,43365657
2021-10-11,TATAPOWER,177.85,193.7,177.0,191.5,26056756,0.20629999999999998,126307288
2021-10-12,TATAPOWER,194.9,198.7,189.8,195.8,25215632,0.2403,104950239
2021-10-13,TATAPOWER,201.65,232.4,200.0,224.2,49162252,0.1612,305037222
2021-10-14,TATAPOWER,235.0,237.0,220.7,222.6,33035985,0.26030000000000003,126938132
2021-10-18,TATAPOWER,227.5,264.85,223.1,257.3,38709011,0.14150000000000001,273591610
2021-10-19,TATAPOWER,266.0,267.85,221.5,229.75,56154337,0.2285,245771135
2021-10-20,TATAPOWER,225.0,236.3,217.5,230.35,32177887,0.1467,219286012
2021-10-21,TATAPOWER,234.0,234.4,220.55,226.15,17535937,0.21280000000000002,82393222
2021-10-22,TATAPOWER,228.5,233.8,216.0,222.0,15307550,0.17850000000000002,85764004
2021-10-25,TATAPOWER,224.6,224.9,208.0,213.6,20157820,0.219,92057542
