Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TECHIN,5.8,5.8,5.4,5.6,5661,0.6022,9401
2021-09-02,TECHIN,5.85,5.85,5.35,5.75,15590,0.6779999999999999,22993
2021-09-03,TECHIN,5.85,5.95,5.55,5.8,11301,0.9322,12123
2021-09-06,TECHIN,6.05,6.05,5.6,5.8,16777,0.8169,20538
2021-09-07,TECHIN,5.95,6.05,5.55,5.85,36230,0.8582,42214
2021-09-08,TECHIN,5.85,6.1,5.65,6.1,38152,0.7824,48760
2021-09-09,TECHIN,6.2,6.4,6.1,6.4,15295,0.9276000000000001,16489
2021-09-13,TECHIN,6.7,6.7,6.7,6.7,9721,1.0,9721
2021-09-14,TECHIN,7.0,7.0,7.0,7.0,16548,1.0,16548
2021-09-15,TECHIN,7.35,7.35,7.35,7.35,3729,1.0,3729
2021-09-16,TECHIN,7.7,7.7,7.65,7.7,41442,0.914,45339
2021-09-17,TECHIN,8.05,8.05,7.35,7.45,97083,0.6846,141816
2021-09-20,TECHIN,7.1,7.6,7.1,7.1,30988,0.7465999999999999,41508
2021-09-21,TECHIN,7.1,7.15,6.8,6.95,6912,0.6513,10613
2021-09-22,TECHIN,7.2,7.2,6.8,7.05,20206,0.7338,27537
2022-01-04,TECHIN,8.55,9.35,8.55,9.15,108164,0.6956,155504
2022-01-05,TECHIN,9.5,9.55,8.7,9.05,64344,0.6229,103290
2022-01-06,TECHIN,8.6,9.15,8.6,8.8,63231,0.7127,88724
2022-01-07,TECHIN,9.0,9.1,8.6,8.7,41793,0.6057,69002
2022-01-10,TECHIN,9.0,9.1,8.7,9.0,60526,0.7745000000000001,78144
2022-01-11,TECHIN,9.05,9.45,8.6,8.65,59654,0.7642,78062
2022-01-12,TECHIN,8.85,8.85,8.25,8.25,30430,0.7451000000000001,40841
2022-01-13,TECHIN,8.5,8.65,7.85,7.9,37688,0.6491,58061
2022-01-14,TECHIN,7.75,8.2,7.55,7.85,42345,0.4607,91911
2022-01-17,TECHIN,8.2,8.2,8.0,8.2,24728,0.9074,27251
2022-01-18,TECHIN,8.6,8.6,8.2,8.6,40136,0.6994,57389
2022-01-19,TECHIN,9.0,9.0,8.35,9.0,65690,0.8652,75921
2022-01-20,TECHIN,9.2,9.4,8.55,8.6,38966,0.6468,60244
2022-01-21,TECHIN,8.25,8.75,8.2,8.2,21194,0.6668999999999999,31778
2022-01-24,TECHIN,8.4,8.4,7.8,7.8,15069,0.9999,13918
2022-01-25,TECHIN,7.8,7.8,7.45,7.45,15412,0.9999,15413
2022-01-27,TECHIN,7.15,7.15,7.1,7.1,13391,0.9640000000000001,13891
2022-01-28,TECHIN,6.85,6.85,6.75,6.75,82561,0.8741,94454
2022-01-31,TECHIN,6.75,6.9,6.45,6.75,45460,0.8682,52360
2022-02-01,TECHIN,6.95,6.95,6.6,6.7,26463,0.9252,28603
2022-02-02,TECHIN,7.0,7.0,6.5,7.0,27403,0.9811,27932
2022-02-03,TECHIN,7.15,7.35,7.0,7.35,29769,0.9400000000000001,31670
2022-02-04,TECHIN,7.7,7.7,7.7,7.7,12526,0.9990000000000001,12538
2022-02-07,TECHIN,8.05,8.05,7.9,8.05,21733,0.8783,24745
2022-02-08,TECHIN,8.45,8.45,7.65,7.65,31278,0.7935,39418
2022-02-09,TECHIN,7.3,7.8,7.3,7.4,13152,0.6451000000000001,20387
2022-02-10,TECHIN,7.05,7.75,7.05,7.75,36605,0.7898999999999999,46339
2022-02-11,TECHIN,7.95,8.1,7.4,8.1,28917,0.5813,49746
2022-02-14,TECHIN,8.2,8.5,8.1,8.5,38146,0.7153,53325
2022-02-15,TECHIN,8.9,8.9,8.7,8.9,42761,0.981,43591
2022-02-16,TECHIN,9.3,9.3,9.3,9.3,63613,0.9514,66865
2022-02-17,TECHIN,9.75,9.75,9.3,9.75,83904,0.6763,124060
