Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TEXINFRA,58.75,61.6,58.5,60.7,28295,0.5949,47562
2021-09-02,TEXINFRA,60.9,62.4,60.2,61.9,18004,0.756,23814
2021-09-03,TEXINFRA,61.5,62.9,61.2,61.35,9721,0.5241,18548
2021-09-06,TEXINFRA,61.1,62.2,60.2,60.7,8622,0.49770000000000003,17324
2021-09-07,TEXINFRA,61.4,62.0,59.9,60.0,11152,0.5175,21549
2021-09-08,TEXINFRA,60.4,60.4,59.9,60.0,9244,0.8902,10384
2021-09-09,TEXINFRA,59.9,60.2,59.3,59.55,10667,0.7377,14460
2021-09-13,TEXINFRA,59.9,60.2,59.25,59.8,7733,0.6716,11515
2021-09-14,TEXINFRA,59.85,60.65,58.25,58.8,57910,0.7985,72521
2021-09-15,TEXINFRA,59.2,60.9,58.8,59.9,19743,0.4105,48100
2021-09-16,TEXINFRA,60.7,60.85,59.15,59.95,4616,0.6025,7662
2021-09-17,TEXINFRA,60.95,62.2,58.55,59.0,12167,0.5750000000000001,21160
2021-09-20,TEXINFRA,60.8,60.8,57.4,58.15,26212,0.6794,38580
2021-09-21,TEXINFRA,58.1,58.5,56.5,56.9,53253,0.7487,71127
2021-09-22,TEXINFRA,57.4,57.85,56.45,57.5,15890,0.5878,27034
2021-09-23,TEXINFRA,57.5,58.8,57.5,58.1,15211,0.7815000000000001,19464
2021-09-24,TEXINFRA,58.4,59.5,57.0,58.75,26222,0.7513,34900
2021-09-27,TEXINFRA,56.35,59.85,56.35,58.85,77043,0.6587999999999999,116939
2021-09-28,TEXINFRA,58.85,59.15,57.55,58.05,8496,0.7164,11860
2021-09-29,TEXINFRA,59.0,59.9,57.45,59.0,24546,0.5539000000000001,44314
2021-09-30,TEXINFRA,59.5,59.9,57.5,59.05,16496,0.47159999999999996,34981
2021-10-01,TEXINFRA,59.85,61.2,57.55,59.6,29375,0.37460000000000004,78415
2021-10-04,TEXINFRA,60.2,60.2,57.65,58.3,17589,0.5989,29367
2021-10-05,TEXINFRA,58.8,59.1,57.4,58.85,52229,0.8311000000000001,62845
2021-10-06,TEXINFRA,59.45,61.2,58.05,60.05,75224,0.595,126421
2021-10-07,TEXINFRA,60.8,62.5,59.15,59.7,30333,0.4869,62292
2021-10-08,TEXINFRA,59.5,61.0,58.8,59.05,11597,0.5767,20108
2021-10-11,TEXINFRA,60.0,61.0,58.15,60.1,49607,0.7018000000000001,70688
2021-10-12,TEXINFRA,60.4,60.4,59.15,59.5,27957,0.7916,35318
2021-10-13,TEXINFRA,60.9,60.9,52.35,59.5,105314,0.49670000000000003,212027
2021-10-14,TEXINFRA,59.9,60.05,59.05,59.3,18978,0.6593000000000001,28784
2021-10-18,TEXINFRA,59.3,59.6,57.4,58.15,34592,0.7661,45155
2021-10-19,TEXINFRA,58.2,60.95,58.2,59.2,347889,0.81,429473
2021-10-20,TEXINFRA,59.0,59.9,58.35,58.85,13054,0.6861,19027
2021-10-21,TEXINFRA,59.9,60.0,58.4,58.8,9845,0.41590000000000005,23671
2021-10-22,TEXINFRA,59.9,60.7,58.1,59.3,23746,0.35850000000000004,66242
2021-10-25,TEXINFRA,58.7,59.05,57.5,58.0,7583,0.6778000000000001,11188
2021-10-26,TEXINFRA,59.15,59.15,56.4,57.3,30222,0.6083,49680
2021-10-27,TEXINFRA,58.0,58.5,57.1,57.85,11302,0.5969,18935
2021-10-28,TEXINFRA,57.5,58.45,55.15,55.5,32881,0.8097,40609
2021-10-29,TEXINFRA,55.0,56.8,55.0,55.75,10851,0.5659000000000001,19176
2021-11-01,TEXINFRA,54.2,56.7,54.2,55.5,11170,0.4855,23005
2021-11-02,TEXINFRA,56.8,59.6,55.7,58.65,29628,0.6512000000000001,45500
2021-11-03,TEXINFRA,58.8,61.2,58.8,60.25,70667,0.7275,97141
2021-11-04,TEXINFRA,61.8,61.8,59.8,60.65,24556,0.8708,28200
2021-11-08,TEXINFRA,61.75,61.75,59.15,60.6,31601,0.5942000000000001,53180
2021-11-09,TEXINFRA,60.1,61.15,59.45,60.1,8666,0.5842,14834
2021-11-10,TEXINFRA,60.1,62.5,59.5,62.0,28842,0.6761,42659
2021-11-11,TEXINFRA,62.3,62.3,60.5,61.25,9684,0.5224,18537
2021-11-12,TEXINFRA,61.05,61.15,60.1,60.4,2479,0.5665,4376
2021-11-15,TEXINFRA,60.05,60.5,58.4,58.5,5643,0.5859000000000001,9631
2021-11-16,TEXINFRA,59.6,59.6,57.4,57.95,6228,0.5915,10530
2021-11-17,TEXINFRA,57.9,61.05,57.45,58.65,9556,0.5343,17886
2021-11-18,TEXINFRA,59.45,59.7,57.4,57.7,10967,0.6570999999999999,16689
2021-11-22,TEXINFRA,57.5,58.5,56.1,56.75,7120,0.6548,10873
2021-11-23,TEXINFRA,56.15,57.75,55.5,55.75,21822,0.6973,31293
2021-11-24,TEXINFRA,56.8,56.9,55.35,55.75,9714,0.5698,17049
2021-11-25,TEXINFRA,55.6,56.8,54.15,54.95,36250,0.6678000000000001,54281
2021-11-26,TEXINFRA,54.75,56.1,54.35,55.75,7408,0.7393000000000001,10020
2021-11-29,TEXINFRA,55.0,56.0,53.55,55.0,12297,0.6079,20230
2021-11-30,TEXINFRA,54.4,56.15,54.3,55.0,24865,0.8418000000000001,29538
2021-12-01,TEXINFRA,55.0,55.65,54.3,55.1,7229,0.6277,11516
2021-12-02,TEXINFRA,55.4,56.15,54.8,55.95,41264,0.867,47593
2021-12-03,TEXINFRA,56.2,56.85,55.15,56.4,10662,0.8743000000000001,12195
2021-12-06,TEXINFRA,56.0,62.0,54.5,57.9,29020,0.7461,38896
2021-12-07,TEXINFRA,57.9,57.9,56.45,57.1,11547,0.5978,19316
2021-12-08,TEXINFRA,57.5,57.8,55.45,56.35,12428,0.6138,20247
2021-12-09,TEXINFRA,57.5,58.2,55.65,57.85,31467,0.8392000000000001,37495
2021-12-10,TEXINFRA,58.2,59.4,57.55,58.9,13227,0.7321,18068
2021-12-13,TEXINFRA,59.4,59.9,57.95,59.55,9683,0.46840000000000004,20671
2021-12-14,TEXINFRA,60.45,60.45,56.55,56.65,48527,0.615,78912
2021-12-15,TEXINFRA,57.65,57.85,56.45,57.15,6630,0.6815000000000001,9728
2021-12-16,TEXINFRA,57.95,57.95,56.15,56.8,61926,0.8740000000000001,70857
2021-12-17,TEXINFRA,57.0,57.0,54.75,56.0,12037,0.6138,19612
2021-12-20,TEXINFRA,55.5,55.85,53.4,54.55,18346,0.7251000000000001,25302
2021-12-21,TEXINFRA,54.55,56.75,54.45,56.55,9125,0.8817,10349
2021-12-22,TEXINFRA,56.55,57.65,56.5,56.55,4944,0.36950000000000005,13379
2021-12-23,TEXINFRA,57.25,58.25,56.25,57.7,549343,0.9662999999999999,568511
2021-12-24,TEXINFRA,57.7,64.35,57.7,61.2,613562,0.7852,781397
2021-12-27,TEXINFRA,59.8,63.55,59.55,63.0,112668,0.39030000000000004,288688
2021-12-28,TEXINFRA,63.55,71.85,61.25,69.2,662305,0.32630000000000003,2029445
2021-12-29,TEXINFRA,70.0,73.9,67.3,69.6,513704,0.405,1268435
2021-12-30,TEXINFRA,69.1,70.4,66.0,67.3,112378,0.4683,239988
2021-12-31,TEXINFRA,68.0,71.75,67.5,69.6,212334,0.4583,463288
2022-01-03,TEXINFRA,69.7,71.45,67.0,67.7,106411,0.6702,158777
2022-01-04,TEXINFRA,68.15,68.7,67.25,67.6,50707,0.649,78128
2022-01-05,TEXINFRA,67.35,69.5,66.5,67.9,70734,0.5471,129293
2022-01-06,TEXINFRA,67.75,68.1,66.05,67.4,41163,0.7131000000000001,57722
2022-01-07,TEXINFRA,68.0,68.35,65.75,66.2,44648,0.7117,62738
2022-01-10,TEXINFRA,66.0,68.0,65.35,65.85,39073,0.5689000000000001,68679
2022-01-11,TEXINFRA,65.05,71.5,65.0,68.45,205567,0.3186,645209
2022-01-12,TEXINFRA,68.95,70.15,66.1,67.0,85884,0.6114,140465
2022-01-13,TEXINFRA,67.5,67.75,66.05,66.4,16370,0.5587,29299
2022-01-14,TEXINFRA,66.4,68.9,64.95,66.6,53447,0.5845,91436
2022-01-17,TEXINFRA,66.9,67.65,65.1,65.95,36333,0.6349,57230
2022-01-18,TEXINFRA,66.5,67.65,64.95,65.05,65683,0.7278,90250
2022-01-19,TEXINFRA,66.8,66.8,62.7,63.65,44008,0.6869,64063
2022-01-20,TEXINFRA,63.5,65.0,62.9,64.25,32456,0.59,55013
2022-01-21,TEXINFRA,63.5,69.6,63.3,66.0,93884,0.33020000000000005,284308
2022-01-24,TEXINFRA,65.6,66.3,61.0,61.85,31561,0.7587,73188
2022-01-25,TEXINFRA,59.55,63.65,59.55,62.85,31159,0.6894,45196
2022-01-27,TEXINFRA,60.6,64.55,60.6,63.4,36090,0.5085000000000001,70972
2022-01-28,TEXINFRA,65.0,65.0,63.55,64.55,31146,0.7284,42759
2022-01-31,TEXINFRA,64.7,67.25,60.4,65.8,42922,0.5061,84801
2022-02-01,TEXINFRA,67.15,67.15,63.6,64.7,39690,0.5343,74288
2022-02-02,TEXINFRA,65.8,68.5,65.0,67.55,63466,0.47000000000000003,135035
2022-02-03,TEXINFRA,66.05,74.25,66.0,70.8,284576,0.6186,460016
2022-02-04,TEXINFRA,70.8,71.4,64.8,68.2,74410,0.48979999999999996,151909
2022-02-07,TEXINFRA,68.0,68.5,65.25,65.9,25004,0.6123,40835
2022-02-08,TEXINFRA,63.5,64.45,61.1,61.8,78539,0.6405,122624
2022-02-09,TEXINFRA,62.15,63.45,61.05,62.1,29995,0.6151,48762
2022-02-10,TEXINFRA,62.65,62.65,60.5,61.4,36232,0.6942,52190
2022-02-11,TEXINFRA,61.4,61.95,60.15,60.45,17845,0.6596,27053
2022-02-14,TEXINFRA,59.0,60.05,55.7,57.35,37635,0.6926000000000001,54337
2022-02-15,TEXINFRA,58.4,59.85,56.55,59.25,1086231,0.9473,1146713
2022-02-16,TEXINFRA,60.6,61.4,59.35,60.45,16900,0.4434,38112
2022-02-17,TEXINFRA,63.0,68.85,62.4,64.0,137649,0.2572,535091
2022-02-18,TEXINFRA,63.9,64.2,60.0,60.5,313995,0.8099,387713
2022-02-21,TEXINFRA,59.15,60.9,58.4,59.45,28758,0.4933,58298
2022-02-22,TEXINFRA,58.0,62.4,57.45,60.5,30905,0.4618,66926
2022-02-23,TEXINFRA,63.95,63.95,60.0,60.25,16165,0.4104,39388
2022-02-24,TEXINFRA,59.0,60.25,57.4,58.85,127684,0.8112,157395
2022-02-25,TEXINFRA,58.85,61.75,58.85,60.05,18568,0.3825,48541
2022-02-28,TEXINFRA,60.1,61.8,58.85,60.25,9360,0.4203,22271
2022-03-02,TEXINFRA,60.9,61.0,59.7,60.3,19372,0.6422,30166
2022-03-03,TEXINFRA,61.0,61.8,59.2,60.0,67136,0.7751000000000001,86619
2022-03-04,TEXINFRA,59.5,60.45,59.05,59.8,21498,0.5846,36775
2022-03-07,TEXINFRA,58.05,58.8,56.4,57.1,21863,0.5778,37837
2022-03-08,TEXINFRA,57.65,59.0,56.65,58.3,13619,0.5529000000000001,24632
2022-03-09,TEXINFRA,59.0,60.75,58.1,58.7,22904,0.5920000000000001,38687
2022-03-10,TEXINFRA,60.3,60.3,58.7,59.6,9434,0.5984,15765
2022-03-11,TEXINFRA,58.6,60.35,58.6,59.35,15062,0.6955,21656
2022-03-14,TEXINFRA,59.05,60.35,58.15,59.0,30619,0.7401000000000001,41371
2022-03-15,TEXINFRA,60.9,60.9,56.15,57.75,37795,0.7367,51306
2022-03-16,TEXINFRA,58.3,59.75,58.15,58.8,51771,0.757,68393
2022-03-17,TEXINFRA,60.0,60.6,58.75,59.05,12789,0.5826,21952
2022-03-21,TEXINFRA,59.05,59.45,57.0,58.1,14042,0.7049,19920
2022-03-22,TEXINFRA,57.5,58.65,57.25,57.6,26947,0.8963,30066
2022-03-23,TEXINFRA,58.75,59.0,58.0,58.15,22954,0.8656,26518
2022-03-24,TEXINFRA,57.2,58.8,57.0,57.8,54090,0.8433,64144
2022-03-25,TEXINFRA,57.7,62.7,57.65,59.4,43598,0.3503,124465
2022-03-28,TEXINFRA,59.05,60.15,57.25,57.85,25923,0.6619,39163
2022-03-29,TEXINFRA,59.35,59.55,57.95,58.15,26095,0.7571,34469
2022-03-30,TEXINFRA,58.1,59.4,57.05,57.3,29216,0.7363,39680
2022-03-31,TEXINFRA,57.3,58.5,56.7,57.25,16331,0.6403,25507
2022-04-01,TEXINFRA,57.4,59.55,57.05,58.8,11626,0.46890000000000004,24796
2022-04-04,TEXINFRA,57.7,63.75,57.7,62.15,75117,0.6358,118140
2022-04-05,TEXINFRA,62.55,64.55,60.7,61.4,53375,0.6504000000000001,82062
2022-04-06,TEXINFRA,61.4,63.15,61.25,62.3,24364,0.6912,35250
2022-04-07,TEXINFRA,63.45,63.45,61.0,61.25,20447,0.6424,31831
