Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TEXMOPIPES,48.95,49.25,45.4,47.15,55599,0.682,81521
2021-09-02,TEXMOPIPES,47.15,49.5,47.15,49.5,81359,0.6623,122834
2021-09-03,TEXMOPIPES,50.5,51.95,49.9,50.65,201885,0.6268,322106
2021-09-06,TEXMOPIPES,51.45,51.45,48.25,48.9,95239,0.6014,158354
2021-09-07,TEXMOPIPES,49.0,49.5,48.1,48.55,43450,0.5814,74739
2021-09-08,TEXMOPIPES,47.75,49.4,46.9,48.1,128412,0.5592,229622
2021-09-09,TEXMOPIPES,48.95,48.95,47.6,48.35,35487,0.5442,65215
2021-09-13,TEXMOPIPES,49.75,49.75,48.05,48.25,69886,0.6232,112140
2021-09-14,TEXMOPIPES,48.8,50.5,48.3,49.8,124410,0.6112,203562
2021-09-15,TEXMOPIPES,51.95,52.25,51.0,52.25,239938,0.6603,363360
2021-09-16,TEXMOPIPES,53.9,54.8,51.5,53.45,268773,0.5886,456637
2021-09-17,TEXMOPIPES,53.45,53.45,51.0,51.15,119388,0.6878000000000001,173589
2021-09-20,TEXMOPIPES,50.5,50.8,49.25,49.7,81446,0.6005,135628
2021-09-21,TEXMOPIPES,49.7,50.75,48.65,50.1,55730,0.466,119592
2021-09-22,TEXMOPIPES,51.0,51.45,49.55,50.7,59983,0.612,98004
2021-09-23,TEXMOPIPES,50.5,50.95,49.3,49.6,48949,0.6255,78254
2021-09-24,TEXMOPIPES,49.6,50.25,48.7,48.9,62706,0.6219,100836
2021-09-27,TEXMOPIPES,50.7,50.7,48.5,49.25,39742,0.5623,70681
2021-09-28,TEXMOPIPES,49.05,49.95,48.6,49.3,54145,0.6531999999999999,82896
2021-09-29,TEXMOPIPES,50.0,51.75,49.4,51.75,133583,0.753,177391
2021-09-30,TEXMOPIPES,54.0,54.3,52.1,53.5,281417,0.5013000000000001,561367
2021-10-01,TEXMOPIPES,53.45,53.45,51.5,51.95,76020,0.6001,126676
2021-10-04,TEXMOPIPES,51.7,52.95,51.0,52.1,95054,0.6177,153893
2021-10-05,TEXMOPIPES,52.65,52.65,51.0,51.75,74196,0.5286,140368
2021-10-06,TEXMOPIPES,52.35,52.5,51.15,51.55,75574,0.5742,131606
2021-10-07,TEXMOPIPES,51.7,52.5,51.1,51.35,79874,0.5342,149507
2021-10-08,TEXMOPIPES,51.9,56.45,51.35,53.7,311433,0.41159999999999997,756636
2021-10-11,TEXMOPIPES,55.0,55.7,52.1,52.55,140847,0.6658,211556
2021-10-12,TEXMOPIPES,52.2,53.5,51.1,52.7,108478,0.6485,167276
2021-10-13,TEXMOPIPES,53.3,53.3,51.8,52.0,113228,0.7377,153480
2021-10-14,TEXMOPIPES,52.3,52.95,51.6,52.15,87699,0.6487999999999999,135173
2021-10-18,TEXMOPIPES,52.75,54.9,50.8,51.9,99068,0.4797,206504
2021-10-19,TEXMOPIPES,51.4,52.25,50.05,50.5,92251,0.6482,142309
2021-10-20,TEXMOPIPES,51.4,51.4,49.1,49.65,66805,0.6276,106447
2021-10-21,TEXMOPIPES,50.4,51.4,49.75,50.2,36725,0.5578000000000001,65837
2021-10-22,TEXMOPIPES,50.3,51.0,49.0,49.25,49229,0.5417000000000001,90883
2021-10-25,TEXMOPIPES,49.8,50.2,47.95,49.2,42627,0.5645,75511
2021-10-26,TEXMOPIPES,49.7,49.85,48.5,48.7,49745,0.6593000000000001,75452
2021-10-27,TEXMOPIPES,48.5,49.95,48.25,48.55,51176,0.6687000000000001,76525
2021-10-28,TEXMOPIPES,49.4,49.4,48.0,48.35,31280,0.5854,53434
2021-10-29,TEXMOPIPES,48.95,48.95,47.15,48.1,35132,0.5708,61554
2021-11-01,TEXMOPIPES,48.15,50.1,48.0,49.1,51145,0.5021,101860
2021-11-02,TEXMOPIPES,49.75,50.4,47.5,49.0,40677,0.5518,73714
2021-11-03,TEXMOPIPES,48.3,50.95,48.3,49.05,36915,0.6399,57687
2021-11-04,TEXMOPIPES,49.3,50.0,49.25,49.85,21323,0.7425,28718
2021-11-08,TEXMOPIPES,49.3,52.45,49.3,51.85,120833,0.6285000000000001,192267
2021-11-09,TEXMOPIPES,52.0,57.0,51.95,57.0,651828,0.5517000000000001,1181481
2021-11-10,TEXMOPIPES,58.5,59.7,55.95,57.75,439498,0.5604,784247
2021-11-11,TEXMOPIPES,57.5,57.6,54.0,55.05,129883,0.49420000000000003,262825
2021-11-12,TEXMOPIPES,56.0,57.0,53.1,53.85,227091,0.5433,417962
2021-11-15,TEXMOPIPES,55.95,58.0,55.0,55.75,182521,0.5619,324846
2021-11-16,TEXMOPIPES,55.75,56.85,54.4,54.75,86646,0.6386999999999999,135662
2021-11-17,TEXMOPIPES,55.9,55.9,51.2,52.25,122684,0.6578,186500
2021-11-18,TEXMOPIPES,52.55,53.25,48.85,50.85,145176,0.5788000000000001,250836
2021-11-22,TEXMOPIPES,51.75,55.5,50.5,51.9,196017,0.44270000000000004,442804
2021-11-23,TEXMOPIPES,52.9,55.85,52.5,55.15,202561,0.6192000000000001,327124
2021-11-24,TEXMOPIPES,56.9,56.9,52.55,52.95,107784,0.5867,183712
2021-11-25,TEXMOPIPES,52.8,58.2,52.5,57.75,296907,0.7193,412763
2021-11-26,TEXMOPIPES,60.0,63.0,57.2,58.5,590959,0.4796,1232118
2021-11-29,TEXMOPIPES,57.55,57.95,53.85,54.6,199502,0.4916,405825
2021-11-30,TEXMOPIPES,54.95,58.4,54.95,56.0,145235,0.4958,292957
2021-12-01,TEXMOPIPES,56.15,61.6,56.15,61.6,356195,0.6482,549482
2021-12-02,TEXMOPIPES,64.7,67.75,64.15,67.75,311628,0.6635,469680
2021-12-03,TEXMOPIPES,71.95,74.5,65.5,68.7,867750,0.4129,2101486
2021-12-06,TEXMOPIPES,72.45,75.55,69.7,75.55,593199,0.616,963048
2021-12-07,TEXMOPIPES,76.95,78.95,71.8,71.8,716598,0.5768,1242275
2021-12-08,TEXMOPIPES,69.1,71.35,68.25,68.75,309229,0.6138,503758
2021-12-09,TEXMOPIPES,68.0,72.15,68.0,72.15,109613,0.7859,139474
2021-12-10,TEXMOPIPES,75.0,75.75,73.5,75.75,209140,0.7983,261997
2021-12-13,TEXMOPIPES,79.45,79.45,75.0,75.8,423734,0.6111,693346
2021-12-14,TEXMOPIPES,75.25,75.25,72.5,73.25,134696,0.5305,253896
2021-12-15,TEXMOPIPES,73.95,76.9,73.75,76.75,223114,0.5696,391712
2021-12-16,TEXMOPIPES,79.0,79.4,72.95,73.2,325747,0.5354,608467
2021-12-17,TEXMOPIPES,74.0,74.65,70.0,71.7,124390,0.42710000000000004,291250
2021-12-20,TEXMOPIPES,70.0,70.8,68.15,68.15,180108,0.6705,268599
2021-12-21,TEXMOPIPES,67.3,71.55,67.2,70.3,194836,0.37,526647
2021-12-22,TEXMOPIPES,71.45,72.05,68.45,68.9,118169,0.5025999999999999,235121
2021-12-23,TEXMOPIPES,70.7,71.6,69.0,70.45,86091,0.459,187556
2021-12-24,TEXMOPIPES,71.45,71.45,68.3,68.75,63432,0.478,132713
2021-12-27,TEXMOPIPES,69.9,69.9,68.0,68.95,81560,0.5926,137641
2021-12-28,TEXMOPIPES,69.5,72.35,69.5,72.35,118175,0.6752,175017
2021-12-29,TEXMOPIPES,72.5,75.85,69.1,70.05,235489,0.4675,503694
2021-12-30,TEXMOPIPES,70.05,71.95,69.3,69.65,71420,0.5501,129838
2021-12-31,TEXMOPIPES,70.45,70.55,68.5,68.9,133947,0.62,216050
2022-01-03,TEXMOPIPES,70.85,70.85,68.05,69.9,129665,0.5183,250181
2022-01-04,TEXMOPIPES,70.0,72.7,69.1,69.8,126141,0.4783,263731
2022-01-05,TEXMOPIPES,72.75,72.8,70.45,70.8,152361,0.4993,305130
2022-01-06,TEXMOPIPES,70.8,73.0,70.0,72.2,176628,0.5362,329422
2022-01-07,TEXMOPIPES,74.35,75.8,73.75,75.8,318851,0.6322,504370
2022-01-10,TEXMOPIPES,79.55,79.55,79.55,79.55,100121,0.7067,141670
2022-01-11,TEXMOPIPES,83.5,83.5,81.2,83.5,272127,0.7343000000000001,370585
2022-01-12,TEXMOPIPES,87.65,87.65,79.7,83.05,558965,0.5131,1089470
2022-01-13,TEXMOPIPES,86.8,87.2,85.2,87.2,404364,0.508,796058
2022-01-14,TEXMOPIPES,89.4,91.55,87.6,91.55,291030,0.6177,471182
2022-01-17,TEXMOPIPES,96.1,96.1,95.25,96.1,98458,0.7584000000000001,129830
2022-01-18,TEXMOPIPES,100.9,100.9,92.0,93.6,601159,0.4425,1358446
2022-01-19,TEXMOPIPES,93.7,94.95,89.9,91.35,223092,0.4823,462535
2022-01-20,TEXMOPIPES,90.25,95.9,90.25,95.9,93780,0.631,148627
2022-01-21,TEXMOPIPES,98.7,100.45,92.15,95.4,337028,0.3956,851981
2022-01-24,TEXMOPIPES,97.45,97.95,90.65,90.65,165901,0.39770000000000005,297737
2022-01-25,TEXMOPIPES,86.15,92.8,86.15,91.15,171471,0.3871,442998
2022-01-27,TEXMOPIPES,89.0,91.4,87.55,89.35,103747,0.495,209596
2022-01-28,TEXMOPIPES,92.0,93.8,88.5,89.85,229462,0.38380000000000003,597877
2022-01-31,TEXMOPIPES,91.7,94.3,91.2,94.3,147496,0.7855,187774
2022-02-01,TEXMOPIPES,96.9,98.95,92.5,93.75,234978,0.4974,472383
2022-02-02,TEXMOPIPES,95.0,96.45,93.15,94.0,145058,0.5113000000000001,283683
2022-02-03,TEXMOPIPES,96.5,96.5,93.25,94.1,95191,0.5467000000000001,174112
2022-02-04,TEXMOPIPES,95.4,95.4,90.15,90.8,145721,0.6099,238915
2022-02-07,TEXMOPIPES,91.95,92.8,90.6,91.0,97775,0.623,156934
2022-02-08,TEXMOPIPES,91.3,92.7,85.8,87.7,100115,0.504,198637
2022-02-09,TEXMOPIPES,89.75,92.5,87.0,87.4,76728,0.5331,143920
2022-02-10,TEXMOPIPES,87.5,88.65,86.0,88.2,70707,0.5269,134196
2022-02-11,TEXMOPIPES,86.0,88.85,85.55,86.15,76118,0.593,128355
2022-02-14,TEXMOPIPES,80.2,84.3,79.0,80.1,212152,0.5468000000000001,387999
2022-02-15,TEXMOPIPES,78.0,78.0,72.1,75.8,268483,0.542,495401
2022-02-16,TEXMOPIPES,77.4,83.35,77.0,83.35,107225,0.6064,176827
2022-02-17,TEXMOPIPES,85.8,89.9,80.0,80.9,214858,0.439,489466
2022-02-18,TEXMOPIPES,80.0,82.45,75.15,78.2,130648,0.49210000000000004,265476
2022-02-21,TEXMOPIPES,76.55,82.0,74.15,78.85,115848,0.39390000000000003,294075
2022-02-22,TEXMOPIPES,73.0,77.0,73.0,75.1,131891,0.5227,252306
2022-02-23,TEXMOPIPES,77.0,79.7,76.0,77.0,60667,0.5025000000000001,120737
2022-02-24,TEXMOPIPES,71.1,76.4,69.3,69.35,214433,0.5974,358915
2022-02-25,TEXMOPIPES,71.0,74.7,71.0,73.85,111113,0.5676,195758
2022-02-28,TEXMOPIPES,73.8,77.0,69.55,75.9,97899,0.41340000000000005,236827
2022-03-02,TEXMOPIPES,75.5,76.0,74.15,74.7,70039,0.5119,136827
2022-03-03,TEXMOPIPES,77.25,78.0,74.8,75.45,70704,0.49420000000000003,143059
2022-03-04,TEXMOPIPES,75.45,80.0,74.35,74.65,89522,0.4428,202188
2022-03-07,TEXMOPIPES,71.1,72.6,69.4,70.85,98167,0.6277,156389
2022-03-08,TEXMOPIPES,70.55,75.0,70.45,72.5,76894,0.45380000000000004,169428
2022-03-09,TEXMOPIPES,74.05,76.6,73.1,75.25,70652,0.4808,146941
2022-03-10,TEXMOPIPES,78.7,82.75,77.0,82.75,239429,0.341,702237
2022-03-11,TEXMOPIPES,83.1,83.65,77.45,79.0,195411,0.5086999999999999,384140
2022-03-14,TEXMOPIPES,80.4,80.6,76.0,78.1,80945,0.5295000000000001,152864
2022-03-15,TEXMOPIPES,79.25,79.35,76.4,76.8,59630,0.5605,106393
2022-03-16,TEXMOPIPES,79.5,79.5,77.45,78.3,61973,0.648,95644
2022-03-17,TEXMOPIPES,79.6,83.0,79.3,79.7,99866,0.512,195050
2022-03-21,TEXMOPIPES,81.5,81.5,78.1,78.85,76883,0.5332,144195
2022-03-22,TEXMOPIPES,79.8,79.8,77.2,78.05,53347,0.6188,86216
2022-03-23,TEXMOPIPES,78.1,79.7,77.45,78.65,74185,0.5513,134561
2022-03-24,TEXMOPIPES,78.65,79.8,77.7,78.15,45163,0.5673,79610
2022-03-25,TEXMOPIPES,78.15,78.95,77.0,77.2,49655,0.655,75812
2022-03-28,TEXMOPIPES,78.4,80.95,75.45,75.95,64694,0.604,107112
2022-03-29,TEXMOPIPES,75.95,76.9,72.85,73.9,93703,0.6394,146540
2022-03-30,TEXMOPIPES,73.2,79.0,73.2,76.65,88951,0.5179,171761
2022-03-31,TEXMOPIPES,78.0,78.85,75.85,76.1,74575,0.6092000000000001,122405
2022-04-01,TEXMOPIPES,76.2,83.7,76.2,83.4,361066,0.4794,753170
2022-04-04,TEXMOPIPES,85.0,85.7,80.25,83.0,202069,0.5982999999999999,337736
2022-04-05,TEXMOPIPES,84.5,91.0,82.65,86.35,222705,0.44270000000000004,503015
2022-04-06,TEXMOPIPES,87.5,91.8,85.25,87.45,167546,0.3904,429159
2022-04-07,TEXMOPIPES,88.0,92.15,84.45,85.95,261234,0.42869999999999997,609329
2022-04-08,TEXMOPIPES,87.95,89.45,85.8,86.9,112628,0.5313,211985
2022-04-11,TEXMOPIPES,88.25,88.6,84.9,86.25,87773,0.5553,158056
2022-04-12,TEXMOPIPES,87.8,87.8,83.5,84.3,74827,0.5639000000000001,132699
2022-04-13,TEXMOPIPES,84.5,87.75,84.5,86.25,70136,0.5158,135978
2022-04-18,TEXMOPIPES,86.2,86.2,82.0,83.95,61226,0.5053,121167
2022-04-19,TEXMOPIPES,85.1,87.05,81.05,82.9,69923,0.5293,132111
2022-04-20,TEXMOPIPES,83.5,85.5,80.9,82.5,82834,0.5897,140465
2022-04-21,TEXMOPIPES,85.0,88.15,83.4,83.8,95678,0.5053,189362
2022-04-22,TEXMOPIPES,83.8,84.8,82.7,84.1,51189,0.593,86329
2022-04-25,TEXMOPIPES,84.0,84.0,80.1,82.2,65139,0.5401,120601
2022-04-26,TEXMOPIPES,82.9,83.8,81.5,82.0,56625,0.6173,91727
2022-04-27,TEXMOPIPES,81.0,82.5,80.0,80.7,53963,0.6154000000000001,87687
2022-04-28,TEXMOPIPES,80.0,84.0,79.0,80.3,86363,0.4461,193608
2022-04-29,TEXMOPIPES,80.7,83.45,79.2,80.05,45566,0.40880000000000005,111471
2022-05-02,TEXMOPIPES,80.25,80.75,77.1,78.8,50773,0.5291,95957
2022-05-04,TEXMOPIPES,78.8,81.95,77.65,78.7,69670,0.5738000000000001,121416
2022-05-05,TEXMOPIPES,79.2,79.9,76.8,77.25,34147,0.6093999999999999,56037
2022-05-06,TEXMOPIPES,74.35,76.4,73.0,74.7,69901,0.5425,128840
2022-05-09,TEXMOPIPES,73.0,74.8,71.5,73.95,37162,0.5251,70775
2022-05-10,TEXMOPIPES,72.25,75.9,67.7,69.1,86156,0.49200000000000005,175108
2022-05-11,TEXMOPIPES,69.1,70.65,64.75,66.05,83286,0.5245000000000001,158778
2022-05-12,TEXMOPIPES,64.1,65.95,63.0,64.75,87365,0.6293,138827
2022-05-13,TEXMOPIPES,67.2,73.6,65.5,69.55,92360,0.3503,263642
2022-05-16,TEXMOPIPES,72.8,74.7,69.6,70.95,53477,0.3099,172589
2022-05-17,TEXMOPIPES,71.0,73.3,70.5,72.5,45933,0.5472,83944
2022-05-18,TEXMOPIPES,73.0,74.5,71.45,72.6,41483,0.5361,77383
2022-05-19,TEXMOPIPES,69.75,71.5,68.5,69.9,37437,0.4972,75300
