Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TFL,4.65,4.65,4.3,4.35,2628,0.37729999999999997,6965
2021-09-02,TFL,4.55,4.55,4.35,4.4,2514,0.8615,2918
2021-09-03,TFL,4.4,4.6,4.35,4.4,1031,0.6712,1536
2021-09-06,TFL,4.25,4.6,4.25,4.55,2711,0.9603,2823
2021-09-07,TFL,4.75,4.75,4.75,4.75,3596,1.0,3596
2021-09-08,TFL,4.95,4.95,4.95,4.95,1405,1.0,1405
2021-09-09,TFL,5.15,5.15,5.15,5.15,2004,1.0,2004
2021-09-13,TFL,5.4,5.4,5.3,5.4,13039,0.8865999999999999,14706
2021-09-14,TFL,5.65,5.65,5.45,5.65,3354,0.9189,3650
2021-09-15,TFL,5.65,5.9,5.65,5.9,4499,0.9998,4500
2021-09-16,TFL,6.15,6.15,5.65,5.65,16470,0.6761,24360
2021-09-17,TFL,5.65,5.9,5.4,5.85,7561,0.594,12729
2021-09-20,TFL,6.0,6.1,5.65,5.7,21545,0.863,24965
2021-09-21,TFL,5.95,5.95,5.5,5.55,4296,0.3987,10776
2021-09-22,TFL,5.8,5.8,5.45,5.65,7630,0.9312,8194
2022-01-04,TFL,8.85,8.85,8.85,8.85,16392,1.0,16392
2022-01-05,TFL,9.25,9.25,9.25,9.25,3648,1.0,3648
2022-01-06,TFL,9.7,9.7,9.7,9.7,8779,1.0,8779
2022-01-07,TFL,10.15,10.15,10.15,10.15,13668,1.0,13668
2022-01-10,TFL,10.65,10.65,10.65,10.65,2161,1.0,2161
2022-01-11,TFL,11.15,11.15,11.15,11.15,4037,1.0,4037
2022-01-12,TFL,11.7,11.7,11.15,11.7,73383,0.8712000000000001,84235
2022-01-13,TFL,12.25,12.25,12.25,12.25,21103,1.0,21103
2022-01-14,TFL,12.85,12.85,12.85,12.85,13167,1.0,13167
2022-01-17,TFL,13.45,13.45,13.45,13.45,15122,1.0,15122
2022-01-18,TFL,14.1,14.1,12.8,12.8,122358,0.5151,237521
2022-01-19,TFL,12.2,13.2,12.2,12.35,73426,0.7336,100096
2022-01-20,TFL,11.9,12.95,11.85,12.75,38032,0.5104,74516
2022-01-21,TFL,13.35,13.35,12.2,12.45,45561,0.536,85008
2022-01-24,TFL,11.95,12.95,11.85,11.85,14165,0.6318,45602
2022-01-25,TFL,11.5,12.35,11.3,12.2,14265,0.6327,22547
2022-01-27,TFL,12.2,12.8,11.75,12.6,10704,0.7167,14935
2022-01-28,TFL,12.6,12.75,12.2,12.35,10612,0.7319,14499
2022-01-31,TFL,12.7,12.95,11.85,12.55,13801,0.5711,24166
