Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,THYROCARE,1297.7,1311.0,1285.0,1298.0,67426,0.5406000000000001,124731
2021-09-02,THYROCARE,1307.9,1307.9,1274.05,1277.8,34566,0.5529000000000001,62520
2021-09-03,THYROCARE,1300.0,1304.2,1252.85,1258.8,53402,0.5089,104928
2021-09-06,THYROCARE,1254.6,1266.9,1243.8,1249.15,37893,0.3893,97340
2021-09-07,THYROCARE,1236.0,1250.0,1236.0,1249.25,27456,0.47340000000000004,58003
2021-09-08,THYROCARE,1249.25,1259.9,1228.15,1241.15,32126,0.5086,63167
2021-09-09,THYROCARE,1245.5,1283.65,1236.05,1273.6,38152,0.33640000000000003,113407
2021-09-13,THYROCARE,1275.0,1281.0,1264.35,1274.15,44873,0.5907,75961
2021-09-14,THYROCARE,1284.7,1294.7,1265.85,1279.05,66518,0.5147,129232
2021-09-15,THYROCARE,1284.7,1290.0,1267.0,1284.6,51999,0.6466,80413
2021-09-16,THYROCARE,1285.0,1285.75,1260.1,1274.95,37333,0.5467000000000001,68293
2021-09-17,THYROCARE,1300.0,1304.0,1255.0,1268.75,81117,0.6053000000000001,134004
2021-09-20,THYROCARE,1256.0,1270.0,1250.1,1258.7,27576,0.5257000000000001,52453
2021-09-21,THYROCARE,1254.0,1283.4,1237.85,1269.4,26377,0.3164,83376
2021-09-22,THYROCARE,1275.75,1275.8,1259.0,1270.3,19479,0.48119999999999996,40482
2021-09-23,THYROCARE,1284.95,1284.95,1250.0,1263.6,14800,0.4353,34001
2021-09-24,THYROCARE,1269.0,1289.65,1260.55,1269.9,217422,0.8444,257499
2021-09-27,THYROCARE,1288.9,1310.9,1240.0,1247.6,44138,0.3738,118070
2021-09-28,THYROCARE,1251.1,1260.7,1225.0,1231.5,36941,0.5192,71150
2021-09-29,THYROCARE,1228.0,1228.0,1161.4,1178.5,163200,0.5288,308628
2021-09-30,THYROCARE,1165.0,1189.0,1158.1,1166.2,75900,0.5471,138728
2021-10-01,THYROCARE,1166.2,1175.4,1153.0,1155.65,27227,0.5123,53143
2021-10-04,THYROCARE,1174.0,1198.65,1163.45,1194.25,33208,0.4572,72641
2021-10-05,THYROCARE,1199.0,1199.75,1166.0,1173.7,22678,0.5501,41224
2021-10-06,THYROCARE,1168.3,1176.0,1158.0,1169.45,32445,0.5786,56077
2021-10-07,THYROCARE,1181.0,1181.0,1151.25,1158.55,20818,0.3875,53722
2021-10-08,THYROCARE,1173.9,1174.5,1158.0,1165.5,29729,0.6319,47045
2021-10-11,THYROCARE,1165.5,1170.0,1151.1,1155.4,55706,0.7001999999999999,79559
2021-10-12,THYROCARE,1162.95,1162.95,1120.0,1124.8,79629,0.6456000000000001,123341
2021-10-13,THYROCARE,1120.05,1189.0,1120.0,1169.15,89137,0.3262,273235
2021-10-14,THYROCARE,1189.9,1189.9,1130.0,1140.95,56721,0.5241,108226
2021-10-18,THYROCARE,1157.95,1167.0,1136.0,1162.75,53735,0.6282,85540
2021-10-19,THYROCARE,1192.0,1192.0,1150.0,1151.95,37430,0.5144,72762
2021-10-20,THYROCARE,1170.0,1170.0,1125.0,1134.0,19969,0.428,46657
2021-10-21,THYROCARE,1146.0,1200.0,1121.0,1175.45,122978,0.615,199979
2021-10-22,THYROCARE,1185.9,1185.9,1141.9,1149.1,44685,0.41619999999999996,107373
2021-10-25,THYROCARE,1188.0,1188.0,1120.0,1148.65,17455,0.41500000000000004,42056
2021-10-26,THYROCARE,1148.0,1160.0,1137.0,1150.5,15988,0.46640000000000004,34277
2021-10-27,THYROCARE,1150.0,1171.2,1141.1,1146.95,13155,0.418,31469
2021-10-28,THYROCARE,1147.0,1165.0,1100.0,1116.5,39282,0.5626,69824
2021-10-29,THYROCARE,1114.05,1172.9,1096.1,1139.65,17563,0.46880000000000005,37460
2021-11-01,THYROCARE,1153.5,1153.5,1115.05,1121.4,19910,0.4697,42388
2021-11-02,THYROCARE,1123.0,1161.0,1120.0,1150.35,21457,0.4459,48120
2021-11-03,THYROCARE,1149.5,1159.0,1135.75,1143.4,12804,0.4939,25925
2021-11-04,THYROCARE,1149.8,1160.0,1142.25,1153.9,8219,0.6479,12685
2021-11-08,THYROCARE,1163.0,1168.4,1137.3,1165.35,29298,0.5249,55819
2021-11-09,THYROCARE,1165.0,1166.95,1137.15,1140.45,18137,0.5427000000000001,33419
2021-11-10,THYROCARE,1147.0,1151.4,1121.0,1125.7,16850,0.5557,30320
2021-11-11,THYROCARE,1116.0,1127.35,1109.05,1118.0,39114,0.5316,73577
2021-11-12,THYROCARE,1126.0,1135.0,1111.0,1129.5,15273,0.4561,33489
2021-11-15,THYROCARE,1200.0,1298.0,1170.1,1182.4,408853,0.2345,1743165
2021-11-16,THYROCARE,1187.0,1187.0,1138.4,1171.95,78530,0.3458,227089
2021-11-17,THYROCARE,1160.0,1250.0,1158.0,1219.8,147210,0.32380000000000003,454664
2021-11-18,THYROCARE,1230.0,1230.0,1175.5,1187.45,57498,0.3518,163459
2021-11-22,THYROCARE,1195.0,1195.0,1117.0,1126.9,49321,0.3847,128195
2021-11-23,THYROCARE,1122.0,1128.9,1100.5,1105.05,50932,0.5019,101469
2021-11-24,THYROCARE,1110.6,1143.95,1109.9,1114.65,19958,0.3185,62661
2021-11-25,THYROCARE,1118.8,1136.05,1113.8,1121.45,12967,0.3503,37022
2021-11-26,THYROCARE,1112.0,1187.95,1081.0,1101.85,66690,0.21059999999999998,316733
2021-11-29,THYROCARE,1112.05,1165.0,1105.0,1111.4,106378,0.24800000000000003,428920
2021-11-30,THYROCARE,1122.5,1138.9,1096.9,1105.5,34783,0.2706,128560
2021-12-01,THYROCARE,1108.8,1124.0,1080.0,1085.95,34427,0.38530000000000003,89356
2021-12-02,THYROCARE,1093.8,1104.65,1077.8,1088.7,27129,0.3825,70927
2021-12-03,THYROCARE,1109.95,1110.05,1086.0,1103.1,18337,0.3034,60445
2021-12-06,THYROCARE,1109.4,1125.0,1096.75,1104.15,23211,0.25620000000000004,90585
2021-12-07,THYROCARE,1108.0,1109.05,1081.05,1085.4,21837,0.3517,62083
2021-12-08,THYROCARE,1090.0,1090.0,1036.0,1053.35,79812,0.6034,132279
2021-12-09,THYROCARE,1053.35,1090.95,1052.25,1082.85,86107,0.5186,166050
