Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TIMETECHNO,75.2,75.75,73.2,73.75,199199,0.5222,381454
2021-09-02,TIMETECHNO,74.1,74.55,72.95,73.7,215413,0.5706,377498
2021-09-03,TIMETECHNO,74.2,75.05,71.8,72.15,399581,0.6567000000000001,608439
2021-09-06,TIMETECHNO,72.7,73.15,72.0,72.15,198616,0.47500000000000003,418177
2021-09-07,TIMETECHNO,72.6,72.9,71.7,72.0,161526,0.5695,283641
2021-09-08,TIMETECHNO,72.0,72.5,71.25,71.7,134470,0.3982,337673
2021-09-09,TIMETECHNO,71.1,72.4,70.75,70.95,405366,0.7837999999999999,517212
2021-09-13,TIMETECHNO,70.95,71.8,70.4,70.65,154877,0.5123,302343
2021-09-14,TIMETECHNO,71.3,73.3,71.0,72.25,278168,0.4683,593971
2021-09-15,TIMETECHNO,72.75,72.8,72.0,72.45,179390,0.6354,282344
2021-09-16,TIMETECHNO,72.45,73.8,71.85,72.15,229111,0.4758,481511
2021-09-17,TIMETECHNO,72.8,74.7,70.4,74.1,643704,0.5705,1128268
2021-09-20,TIMETECHNO,74.75,74.75,71.75,72.35,260265,0.6870999999999999,378787
2021-09-21,TIMETECHNO,71.05,72.1,69.7,70.5,237408,0.5875,404102
2021-09-22,TIMETECHNO,71.8,72.45,71.0,71.2,200465,0.6551,306022
2021-09-23,TIMETECHNO,72.2,72.35,71.1,71.4,247898,0.5313,466599
2021-09-24,TIMETECHNO,71.75,72.95,71.45,71.9,412820,0.5877,702388
2021-09-27,TIMETECHNO,72.5,72.9,71.0,71.65,162058,0.5844,277324
2021-09-28,TIMETECHNO,72.0,72.0,69.85,70.15,432430,0.7587999999999999,569889
2021-09-29,TIMETECHNO,69.95,71.05,69.8,69.95,313034,0.6895,454028
2021-09-30,TIMETECHNO,70.35,72.9,70.05,71.7,446075,0.4579,974160
2021-10-01,TIMETECHNO,71.3,71.7,70.3,70.85,132388,0.5538000000000001,239067
2021-10-04,TIMETECHNO,71.2,71.75,70.75,71.0,204704,0.7128,287181
2021-10-05,TIMETECHNO,71.0,71.9,70.6,71.5,249086,0.5414,460064
2021-10-06,TIMETECHNO,71.75,72.6,70.0,70.35,409621,0.5562,736477
2021-10-07,TIMETECHNO,71.0,71.45,70.6,70.85,163794,0.5860000000000001,279500
2021-10-08,TIMETECHNO,71.0,71.8,70.5,70.9,129714,0.595,218006
2021-10-11,TIMETECHNO,71.35,71.5,69.35,69.95,384280,0.7070000000000001,543538
2021-10-12,TIMETECHNO,70.0,75.3,69.95,72.25,1513402,0.49,3088825
2021-10-13,TIMETECHNO,72.85,78.0,72.7,76.5,1507596,0.5366,2809789
2021-10-14,TIMETECHNO,77.2,78.25,75.15,75.95,433994,0.4941,878324
2021-10-18,TIMETECHNO,76.5,76.8,74.1,74.3,352544,0.5901,597464
2021-10-19,TIMETECHNO,74.8,77.65,74.0,74.75,417341,0.4571,913105
2021-10-20,TIMETECHNO,74.95,74.95,71.5,72.45,243277,0.5316,457669
2021-10-21,TIMETECHNO,73.1,74.0,71.1,72.0,149605,0.4161,359565
2021-10-22,TIMETECHNO,72.0,73.75,70.7,71.95,176698,0.4325,408584
2021-10-25,TIMETECHNO,71.9,72.3,70.0,70.55,171579,0.5043,340218
2021-10-26,TIMETECHNO,70.9,72.5,70.9,71.7,179021,0.536,334013
2021-10-27,TIMETECHNO,71.9,72.5,71.5,71.75,138940,0.5165,269025
2021-10-28,TIMETECHNO,71.5,71.65,69.4,69.75,288973,0.6292,459278
2021-10-29,TIMETECHNO,69.05,70.55,67.2,69.25,159400,0.4294,371221
2021-11-01,TIMETECHNO,70.25,70.55,68.25,68.95,232254,0.6553,354433
2021-11-02,TIMETECHNO,69.5,70.5,69.15,69.45,180512,0.6043999999999999,298643
2021-11-03,TIMETECHNO,69.8,71.6,69.5,70.55,361428,0.5123,705536
2021-11-04,TIMETECHNO,71.1,72.95,70.7,72.05,164638,0.7726999999999999,213068
2021-11-08,TIMETECHNO,72.7,73.25,71.05,71.95,312255,0.6161,506862
2021-11-09,TIMETECHNO,72.15,72.5,71.5,71.9,157879,0.5972999999999999,264336
2021-11-10,TIMETECHNO,71.9,72.3,71.0,71.2,279430,0.5637,495695
2021-11-11,TIMETECHNO,71.45,72.25,70.2,70.65,252486,0.5989,421604
2021-11-12,TIMETECHNO,71.3,77.1,70.25,75.3,1566420,0.4401,3559040
2021-11-15,TIMETECHNO,76.3,78.15,75.3,76.85,989857,0.4928,2008527
2021-11-16,TIMETECHNO,77.0,79.4,75.2,77.25,878790,0.3736,2352113
2021-11-17,TIMETECHNO,77.5,92.7,76.25,85.5,4055529,0.2465,16450376
2021-11-18,TIMETECHNO,86.95,87.7,79.15,79.85,1515314,0.3755,4035695
2021-11-22,TIMETECHNO,80.5,84.4,78.85,80.85,1013968,0.3191,3177128
2021-11-23,TIMETECHNO,81.2,83.25,79.6,80.25,641725,0.35990000000000005,1783110
2021-11-24,TIMETECHNO,80.95,84.95,80.7,81.9,789277,0.3602,2191412
2021-11-25,TIMETECHNO,81.95,83.5,81.05,82.1,481204,0.4344,1107661
2021-11-26,TIMETECHNO,80.95,82.0,76.5,77.6,529829,0.44680000000000003,1185727
2021-11-29,TIMETECHNO,76.2,77.45,73.6,74.15,516355,0.4962,1040602
2021-11-30,TIMETECHNO,75.0,77.8,73.1,73.45,265049,0.35450000000000004,747730
2021-12-01,TIMETECHNO,74.25,77.35,73.6,76.3,238773,0.3325,718046
2021-12-02,TIMETECHNO,76.35,76.9,74.6,75.05,274621,0.5749000000000001,477664
2021-12-03,TIMETECHNO,75.5,79.3,75.05,76.65,415699,0.3722,1116965
2021-12-06,TIMETECHNO,77.1,77.4,73.9,74.65,344394,0.43770000000000003,786880
2021-12-07,TIMETECHNO,75.35,76.35,72.75,73.0,721643,0.5573,1294799
2021-12-08,TIMETECHNO,73.7,74.6,71.7,72.0,712791,0.5646,1262411
2021-12-09,TIMETECHNO,73.15,73.85,71.65,72.35,527421,0.5047,1044993
2021-12-10,TIMETECHNO,72.4,75.5,72.15,74.1,822539,0.5104,1611611
2021-12-13,TIMETECHNO,74.9,79.0,74.35,78.0,1167538,0.41200000000000003,2833746
2021-12-14,TIMETECHNO,77.9,80.8,77.0,80.2,819772,0.38189999999999996,2146726
2021-12-15,TIMETECHNO,80.6,81.7,76.65,77.05,499167,0.4421,1129066
2021-12-16,TIMETECHNO,77.95,78.4,74.75,75.05,352663,0.3979,886410
2021-12-17,TIMETECHNO,75.0,75.25,72.9,73.2,294601,0.3936,748558
2021-12-20,TIMETECHNO,71.7,71.7,69.15,70.3,396290,0.44799999999999995,884567
2021-12-21,TIMETECHNO,71.9,72.8,70.65,71.3,195190,0.3932,496384
2021-12-22,TIMETECHNO,72.3,72.95,70.2,70.75,307563,0.5243,586637
2021-12-23,TIMETECHNO,71.55,72.5,70.8,71.15,252411,0.498,506868
2021-12-24,TIMETECHNO,71.75,73.65,70.9,71.15,359287,0.37060000000000004,969570
2021-12-27,TIMETECHNO,71.15,72.0,70.15,70.95,182896,0.42590000000000006,429473
2021-12-28,TIMETECHNO,71.65,73.3,71.35,72.0,283234,0.5081,557396
2021-12-29,TIMETECHNO,72.0,72.8,71.55,71.9,183642,0.5322,345093
