Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-13,TIPSINDLTD,1307.95,1322.05,1220.2,1322.05,18134,0.7012,25861
2021-09-14,TIPSINDLTD,1321.0,1382.0,1311.0,1342.85,20231,0.6529,30986
2021-09-15,TIPSINDLTD,1350.0,1350.0,1275.75,1281.9,16028,0.5957,26906
2022-05-09,TIPSINDLTD,1685.0,1750.0,1643.05,1692.0,4320,0.672,6429
2022-05-10,TIPSINDLTD,1684.95,1718.0,1608.0,1691.15,14131,0.7091,19928
2022-05-11,TIPSINDLTD,1664.5,1710.0,1608.0,1673.25,8266,0.6733,12277
2022-05-12,TIPSINDLTD,1744.0,1756.9,1591.0,1627.1,7303,0.5529999999999999,13206
2022-05-13,TIPSINDLTD,1630.2,1708.45,1630.2,1686.25,6264,0.7219,8677
2022-05-16,TIPSINDLTD,1700.0,1737.0,1645.95,1649.45,4560,0.6905,6604
2022-05-17,TIPSINDLTD,1631.0,1731.9,1620.0,1722.05,8123,0.7458,10891
2022-05-18,TIPSINDLTD,1780.0,1808.15,1768.95,1808.15,27660,0.9554,28950
2022-06-02,TIPSINDLTD,1597.0,1748.4,1587.0,1604.9,3148,0.6191,5085
2022-06-03,TIPSINDLTD,1648.0,1648.0,1602.1,1617.9,2365,0.6428,3679
2022-06-06,TIPSINDLTD,1600.0,1640.95,1524.0,1576.8,5902,0.7739,7626
2022-06-07,TIPSINDLTD,1600.4,1600.4,1527.65,1554.2,1325,0.5382,2462
2022-06-08,TIPSINDLTD,1577.5,1583.15,1514.4,1547.1,1876,0.5723,3278
2022-06-09,TIPSINDLTD,1560.0,1560.0,1498.0,1510.5,5949,0.6753,8809
2022-06-10,TIPSINDLTD,1510.9,1510.9,1455.0,1467.2,4708,0.7889,5968
2022-06-13,TIPSINDLTD,1437.0,1437.0,1336.2,1390.35,3725,0.4731,7873
2022-06-14,TIPSINDLTD,1417.0,1417.0,1250.1,1287.7,16778,0.7054,23786
2022-06-15,TIPSINDLTD,1313.5,1363.95,1281.0,1350.85,7516,0.7837000000000001,9591
2022-06-16,TIPSINDLTD,1345.0,1396.15,1279.25,1314.25,8275,0.6769,12224
2022-06-17,TIPSINDLTD,1301.1,1325.0,1282.65,1317.65,6231,0.7462000000000001,8350
2022-06-20,TIPSINDLTD,1267.1,1581.15,1267.1,1316.25,15469,0.5235000000000001,29548
2022-06-21,TIPSINDLTD,1339.95,1353.95,1311.15,1341.4,1634,0.4314,3788
2022-06-22,TIPSINDLTD,1355.0,1355.0,1320.0,1323.55,1162,0.6221,1868
2022-06-23,TIPSINDLTD,1342.0,1342.0,1295.0,1302.1,2780,0.7453000000000001,4629
2022-06-24,TIPSINDLTD,1285.0,1350.0,1285.0,1311.3,1678,0.5154,3256
2022-06-27,TIPSINDLTD,1365.0,1365.0,1310.0,1328.05,1655,0.5624,2943
2022-06-28,TIPSINDLTD,1300.0,1360.0,1300.0,1355.6,1415,0.605,2339
2022-06-29,TIPSINDLTD,1360.0,1461.0,1321.2,1413.6,3489,0.47759999999999997,7305
2022-06-30,TIPSINDLTD,1371.2,1419.0,1371.2,1393.3,630,0.5579999999999999,1129
2022-07-01,TIPSINDLTD,1378.2,1542.15,1364.4,1509.35,2862,0.4938,5796
2022-07-04,TIPSINDLTD,1535.0,1576.5,1515.05,1555.9,4863,0.46890000000000004,10371
2022-07-05,TIPSINDLTD,1555.9,1646.0,1554.25,1625.4,12594,0.7787000000000001,16174
2022-07-06,TIPSINDLTD,1639.95,1796.9,1618.8,1761.55,24903,0.5492,45343
2022-07-07,TIPSINDLTD,1777.0,1829.65,1725.0,1734.8,4267,0.3762,11342
2022-07-08,TIPSINDLTD,1749.8,1800.0,1705.25,1752.6,8684,0.5969,14549
2022-07-11,TIPSINDLTD,1790.0,1815.9,1766.8,1806.5,7936,0.6878000000000001,11539
2022-07-12,TIPSINDLTD,1833.55,1833.55,1770.0,1775.2,3148,0.6615000000000001,4759
2022-07-13,TIPSINDLTD,1760.0,1825.95,1742.45,1750.15,5824,0.8124,7169
2022-07-14,TIPSINDLTD,1706.0,1800.0,1706.0,1781.95,3487,0.4878,7148
2022-07-15,TIPSINDLTD,1755.2,1805.95,1735.65,1790.8,3967,0.7319,5420
2022-07-18,TIPSINDLTD,1807.0,1867.0,1772.9,1850.95,7427,0.7046,10540
2022-07-19,TIPSINDLTD,1888.0,1890.0,1800.5,1851.75,4370,0.579,7548
2022-07-20,TIPSINDLTD,1879.4,1950.0,1869.6,1903.8,13771,0.6676000000000001,20627
2022-07-21,TIPSINDLTD,1920.0,1920.0,1865.5,1890.05,6013,0.7114,8452
2022-07-22,TIPSINDLTD,1891.0,1919.75,1832.65,1859.75,5632,0.6443000000000001,8741
2022-07-25,TIPSINDLTD,1880.1,1880.1,1813.65,1825.75,2655,0.5241,5066
2022-07-26,TIPSINDLTD,1807.5,1868.3,1790.0,1814.65,2389,0.4464,5352
2022-07-27,TIPSINDLTD,1801.0,1828.0,1750.05,1790.6,3647,0.6289,5799
2022-07-28,TIPSINDLTD,1826.5,1850.0,1760.0,1784.3,2420,0.7025,3445
2022-07-29,TIPSINDLTD,1757.55,1988.7,1757.55,1883.75,9008,0.3166,28450
2022-08-01,TIPSINDLTD,1860.0,1940.0,1850.0,1858.5,8772,0.6969,12587
2022-08-02,TIPSINDLTD,1845.0,1845.0,1790.0,1824.95,6519,0.6476000000000001,10066
2022-08-03,TIPSINDLTD,1824.95,1824.95,1757.45,1800.15,6468,0.7042,9185
2022-08-04,TIPSINDLTD,1809.55,1809.6,1733.6,1767.15,5531,0.7419,7455
2022-08-05,TIPSINDLTD,1740.65,1755.05,1715.0,1749.55,2952,0.5916,4990
2022-08-08,TIPSINDLTD,1722.0,1749.45,1685.0,1696.8,8712,0.7341,11868
