Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TORNTPOWER,483.5,492.6,481.0,487.85,204920,0.25329999999999997,809156
2021-09-02,TORNTPOWER,490.0,495.0,484.1,485.05,282236,0.2776,1016752
2021-09-03,TORNTPOWER,486.0,490.45,483.9,486.25,154842,0.3003,515555
2021-09-06,TORNTPOWER,485.05,485.6,478.0,478.85,147272,0.3062,480998
2021-09-07,TORNTPOWER,479.65,480.85,470.2,471.7,286500,0.3289,871115
2021-09-08,TORNTPOWER,472.05,485.2,464.9,482.55,267995,0.2613,1025584
2021-09-09,TORNTPOWER,485.0,487.8,473.25,477.45,340297,0.2214,1537264
2021-09-13,TORNTPOWER,477.0,482.95,471.85,480.75,132209,0.2749,481004
2021-09-14,TORNTPOWER,480.5,484.25,476.65,482.25,126067,0.4146,304051
2021-09-15,TORNTPOWER,481.0,500.0,480.0,488.9,535298,0.261,2050714
2021-09-16,TORNTPOWER,490.0,497.7,488.0,495.0,585947,0.49979999999999997,1172348
2021-09-17,TORNTPOWER,498.0,498.9,476.2,481.9,718064,0.5188,1384011
2021-09-20,TORNTPOWER,481.0,494.0,474.6,484.5,195094,0.1732,1126158
2021-09-21,TORNTPOWER,486.0,491.95,477.1,491.0,159397,0.2368,673106
2021-09-22,TORNTPOWER,500.0,503.8,485.2,492.95,386318,0.19649999999999998,1966270
2021-09-23,TORNTPOWER,495.0,505.0,491.45,495.15,312526,0.2011,1553788
2021-09-24,TORNTPOWER,497.8,501.95,488.8,498.55,328260,0.3191,1028602
2021-09-27,TORNTPOWER,502.0,502.75,485.25,494.9,209524,0.3055,685799
2021-09-28,TORNTPOWER,496.9,517.2,492.05,503.25,956756,0.2382,4017209
2021-09-29,TORNTPOWER,505.85,527.35,498.4,516.4,892637,0.18239999999999998,4894804
2021-09-30,TORNTPOWER,517.9,519.0,503.05,505.05,252826,0.22160000000000002,1140668
2021-10-01,TORNTPOWER,504.0,507.9,490.2,501.4,177355,0.1815,977000
2021-10-04,TORNTPOWER,501.5,510.4,499.75,502.6,165456,0.2516,657696
2021-10-05,TORNTPOWER,500.0,519.5,498.8,515.15,555780,0.3059,1817013
2021-10-06,TORNTPOWER,520.5,522.65,503.55,505.7,189924,0.2429,781849
2021-10-07,TORNTPOWER,505.0,516.8,505.0,510.05,78199,0.166,471190
2021-10-08,TORNTPOWER,510.05,513.9,501.55,504.0,85033,0.227,374514
2021-10-11,TORNTPOWER,512.0,544.9,502.8,539.3,1045684,0.21480000000000002,4867457
2021-10-12,TORNTPOWER,542.0,544.0,519.05,520.9,323909,0.2318,1397416
