Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TRITURBINE,130.3,136.05,130.3,133.8,260020,0.33390000000000003,778632
2021-09-02,TRITURBINE,133.9,145.6,133.8,143.45,843267,0.30829999999999996,2735284
2021-09-03,TRITURBINE,146.5,148.0,138.05,143.3,267182,0.3038,879609
2021-09-06,TRITURBINE,145.0,150.4,143.7,148.3,314594,0.38,827900
2021-09-07,TRITURBINE,149.0,149.85,137.0,138.65,220671,0.3436,642257
2021-09-08,TRITURBINE,138.95,142.9,138.25,141.75,113300,0.3403,332899
2021-09-09,TRITURBINE,141.9,145.7,139.25,142.45,74875,0.3866,193669
2021-09-13,TRITURBINE,141.45,142.6,135.0,138.1,78588,0.38270000000000004,205353
2021-09-14,TRITURBINE,139.2,141.6,136.0,139.5,106269,0.5101,208314
2021-09-15,TRITURBINE,140.2,141.6,138.6,139.95,76618,0.4451,172146
2021-09-16,TRITURBINE,141.5,144.0,137.5,138.55,88622,0.4374,202628
2021-09-17,TRITURBINE,139.95,141.65,135.2,139.0,68634,0.4543,151091
2021-09-20,TRITURBINE,139.0,139.7,133.05,135.05,64321,0.457,140741
2021-09-21,TRITURBINE,136.0,137.4,131.7,132.6,38771,0.4451,87115
2021-09-22,TRITURBINE,132.7,135.9,131.0,132.15,44082,0.39030000000000004,112942
2021-09-23,TRITURBINE,134.4,140.0,134.4,138.15,87133,0.2999,290522
2021-09-24,TRITURBINE,138.15,139.45,133.1,134.75,35198,0.3743,94045
2021-09-27,TRITURBINE,135.45,135.75,132.85,133.3,35372,0.3222,109772
2021-09-28,TRITURBINE,133.0,148.65,132.4,141.95,313352,0.0901,3477351
2021-09-29,TRITURBINE,138.85,148.6,137.95,144.6,241011,0.2278,1058183
2021-09-30,TRITURBINE,146.0,164.85,145.75,159.45,592172,0.18059999999999998,3279803
2021-10-01,TRITURBINE,163.8,178.5,163.15,173.9,569396,0.06849999999999999,8313231
2021-10-04,TRITURBINE,177.0,187.7,177.0,183.2,647196,0.1295,4996626
2021-10-05,TRITURBINE,182.95,182.95,176.5,178.1,234053,0.2952,792986
2021-10-06,TRITURBINE,178.65,184.55,175.4,179.95,232076,0.27090000000000003,856808
2021-10-07,TRITURBINE,181.5,181.7,172.85,174.25,109746,0.503,218186
2021-10-08,TRITURBINE,174.35,181.0,170.0,172.45,107921,0.3907,276211
2021-10-11,TRITURBINE,172.45,175.8,166.15,167.8,79557,0.6565000000000001,121181
2021-10-12,TRITURBINE,174.15,177.55,167.5,170.9,88102,0.4765,184885
2021-10-13,TRITURBINE,172.0,176.0,168.15,169.2,86672,0.549,157880
2021-10-14,TRITURBINE,173.0,173.3,167.4,168.55,64590,0.5654,114238
2021-10-18,TRITURBINE,173.0,173.45,161.8,165.1,195643,0.5001,391174
2021-10-19,TRITURBINE,168.4,172.6,161.6,164.6,309536,0.5938,521245
2021-10-20,TRITURBINE,166.0,168.6,160.05,164.05,94883,0.3815,248732
