Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TTL,63.95,68.0,63.95,64.95,13330,0.5953,22391
2021-09-02,TTL,65.75,66.95,65.3,65.75,5090,0.3354,15174
2021-09-03,TTL,66.45,67.35,65.1,65.8,6986,0.37229999999999996,18764
2021-09-06,TTL,66.45,66.85,64.95,65.65,5765,0.4717,12222
2021-09-07,TTL,65.15,68.85,64.0,66.25,13752,0.3597,38228
2021-09-08,TTL,66.45,69.5,66.25,67.8,18464,0.4435,41631
2021-09-09,TTL,67.9,68.0,66.1,66.85,6401,0.436,14681
2021-09-13,TTL,66.95,67.85,65.45,66.05,5599,0.35409999999999997,15812
2021-09-14,TTL,66.2,68.0,65.6,66.75,10819,0.5605,19304
2021-09-15,TTL,66.95,69.0,65.5,66.5,3594,0.49570000000000003,7250
2021-09-16,TTL,66.5,67.95,65.35,65.95,5351,0.5604,9549
2021-09-17,TTL,66.05,66.95,61.2,63.1,24500,0.5796,42267
2021-09-20,TTL,63.1,63.2,61.0,62.55,6595,0.6147,10729
2021-09-21,TTL,63.1,64.55,60.6,61.7,9960,0.5839,17057
2021-09-22,TTL,61.95,64.45,61.35,64.2,3758,0.6479,5800
2021-09-23,TTL,62.15,66.55,62.15,65.75,14030,0.6454000000000001,21740
2021-09-24,TTL,66.2,68.0,65.2,66.0,15313,0.6723,22777
2021-09-27,TTL,66.2,67.8,65.3,66.35,12420,0.6359,19530
2021-09-28,TTL,66.0,67.95,66.0,66.95,9308,0.5916,15733
2021-09-29,TTL,67.95,68.1,66.5,67.8,10446,0.7182,14544
2021-09-30,TTL,68.5,69.55,66.0,66.05,8109,0.4839,16758
2021-10-01,TTL,65.6,66.55,63.2,63.85,17045,0.6663,25580
2021-10-04,TTL,65.9,67.0,63.75,66.4,9069,0.6141,14767
2021-10-05,TTL,67.0,71.5,65.95,69.45,38104,0.466,81777
2021-10-06,TTL,69.45,72.8,69.0,69.75,20843,0.7040000000000001,29607
2021-10-07,TTL,70.9,78.5,69.35,74.2,145020,0.4058,357410
2021-10-08,TTL,76.7,76.7,71.6,72.4,25025,0.4778,52377
2021-10-11,TTL,72.25,74.9,71.8,73.2,12845,0.5131,25033
2021-10-12,TTL,73.15,82.4,70.6,80.6,163449,0.4225,386853
2021-10-13,TTL,84.0,84.0,73.95,75.35,74547,0.43770000000000003,170332
2021-10-14,TTL,76.0,81.2,75.0,77.85,72070,0.46299999999999997,155648
2021-10-18,TTL,77.75,84.8,76.1,83.45,190674,0.3649,522532
2021-10-19,TTL,90.0,92.0,81.0,83.15,224343,0.41490000000000005,540753
2021-10-20,TTL,82.0,86.0,80.45,83.55,63552,0.636,99930
2021-10-21,TTL,87.0,94.95,85.25,87.35,182839,0.5136999999999999,355907
2021-10-22,TTL,88.0,92.7,86.95,87.95,84014,0.5969,140749
2021-10-25,TTL,89.9,89.9,83.1,84.8,29697,0.5928,50100
2021-10-26,TTL,85.0,87.3,83.1,84.75,12403,0.48090000000000005,25791
2021-10-27,TTL,84.0,87.0,83.3,83.95,16793,0.4882,34400
2021-10-28,TTL,84.0,85.0,81.35,82.95,24324,0.6007,40494
2021-10-29,TTL,82.95,86.0,81.2,83.0,17370,0.5796,29968
2021-11-01,TTL,87.65,92.8,83.05,87.65,59540,0.4682,127168
2021-11-02,TTL,91.35,91.9,84.25,85.25,30940,0.31620000000000004,97853
2021-11-03,TTL,87.5,87.5,84.05,84.6,13660,0.5448,25073
2021-11-04,TTL,85.85,86.5,84.7,85.7,7481,0.8231,9089
2021-11-08,TTL,87.0,87.0,84.3,84.85,7738,0.5579,13871
2021-11-09,TTL,86.0,86.05,84.0,84.2,11379,0.6633,17156
2021-11-10,TTL,84.35,85.95,81.65,83.7,13659,0.579,23590
2021-11-11,TTL,83.1,85.0,81.25,83.45,14358,0.5974,24034
2021-11-12,TTL,83.45,85.0,83.4,84.05,9120,0.6985,13056
2021-11-15,TTL,83.8,89.8,83.5,87.45,28937,0.39770000000000005,72763
2021-11-16,TTL,88.4,90.0,83.8,84.75,21854,0.5056,43228
2021-11-17,TTL,84.8,87.95,84.0,85.25,11042,0.34880000000000005,31661
2021-11-18,TTL,85.35,86.75,83.35,83.85,12040,0.6007,20044
2021-11-22,TTL,81.2,84.95,79.1,80.35,17357,0.6174000000000001,28115
2021-11-23,TTL,78.6,85.25,78.0,83.6,19453,0.5006,38859
2021-11-24,TTL,84.9,86.3,80.05,83.4,23771,0.42200000000000004,56325
2021-11-25,TTL,85.4,86.45,83.05,85.2,9865,0.479,20595
2021-11-26,TTL,85.8,85.8,82.25,84.15,21086,0.5659000000000001,37264
