Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TVSELECT,168.95,168.95,165.2,165.9,12691,0.705,18002
2021-09-02,TVSELECT,168.0,174.15,166.3,173.75,35886,0.5515,65074
2021-09-03,TVSELECT,174.85,175.45,168.25,170.4,22854,0.4416,51750
2021-09-06,TVSELECT,171.0,174.4,170.05,171.35,17363,0.5739,30255
2021-09-07,TVSELECT,173.35,173.35,168.05,168.5,19605,0.6065,32326
2021-09-08,TVSELECT,171.45,172.5,167.55,171.2,12591,0.6493000000000001,19391
2021-09-09,TVSELECT,169.0,173.75,169.0,171.9,26176,0.748,34993
2021-09-13,TVSELECT,173.4,174.0,168.95,169.55,11837,0.6211,19057
2021-09-14,TVSELECT,174.85,178.0,174.65,178.0,66385,0.5617,118189
2021-09-15,TVSELECT,181.4,186.9,180.55,181.8,89650,0.5309,168852
2021-09-16,TVSELECT,184.95,184.95,176.65,178.1,36622,0.64,57222
2021-09-17,TVSELECT,179.0,181.7,172.05,173.0,21826,0.5602,38960
2021-09-20,TVSELECT,170.0,172.85,166.0,167.4,17413,0.6601,26379
2021-09-21,TVSELECT,167.0,174.0,163.25,171.2,22660,0.5239,43253
2021-09-22,TVSELECT,173.3,173.95,168.15,170.2,17942,0.682,26308
2021-09-23,TVSELECT,171.0,173.15,168.5,168.8,17682,0.6413,27570
2021-09-24,TVSELECT,168.0,172.0,168.0,169.5,18065,0.653,27664
2021-09-27,TVSELECT,170.0,171.8,166.05,168.35,19435,0.6461,30079
2021-09-28,TVSELECT,168.35,170.75,166.0,167.85,14841,0.6681,22213
2021-09-29,TVSELECT,166.3,170.6,160.25,166.55,23333,0.7177,32510
2021-09-30,TVSELECT,167.0,169.4,164.0,165.9,24021,0.5798,41430
2021-10-01,TVSELECT,167.0,167.0,164.1,165.2,22794,0.6776000000000001,33639
2021-10-04,TVSELECT,168.0,173.0,166.1,167.9,33141,0.5779,57349
2021-10-05,TVSELECT,169.0,170.5,167.0,168.2,24445,0.6069,40281
2021-10-06,TVSELECT,168.85,172.8,168.3,170.95,36455,0.6739,54096
2021-10-07,TVSELECT,172.8,172.85,167.7,169.05,24015,0.5690999999999999,42198
2021-10-08,TVSELECT,171.0,171.5,168.65,169.3,18942,0.5811000000000001,32598
