Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TVSMOTOR,529.0,533.9,523.1,529.85,427850,0.2641,1619926
2021-09-02,TVSMOTOR,533.0,533.8,525.25,530.15,426327,0.37310000000000004,1142560
2021-09-03,TVSMOTOR,530.8,545.75,529.5,540.4,852796,0.3764,2265705
2021-09-06,TVSMOTOR,545.6,549.85,539.55,546.45,481641,0.3299,1460001
2021-09-07,TVSMOTOR,548.0,558.2,541.6,553.8,775507,0.4017,1930617
2021-09-08,TVSMOTOR,559.0,559.0,544.0,546.6,766024,0.3946,1941273
2021-09-09,TVSMOTOR,544.8,548.1,538.6,544.75,545441,0.3837,1421480
2021-09-13,TVSMOTOR,538.6,546.7,538.6,545.65,324271,0.419,773914
2021-09-14,TVSMOTOR,546.5,550.9,544.3,549.95,613172,0.48119999999999996,1274163
2021-09-15,TVSMOTOR,550.0,554.75,545.3,548.35,388097,0.44799999999999995,866324
2021-09-16,TVSMOTOR,550.0,554.0,543.7,544.7,510852,0.4403,1160127
2021-09-17,TVSMOTOR,549.0,560.95,541.5,547.1,678133,0.2232,3038827
2021-09-20,TVSMOTOR,544.8,549.75,535.15,545.4,523950,0.38430000000000003,1363420
2021-09-21,TVSMOTOR,545.4,547.65,520.0,533.15,761350,0.3593,2119176
2021-09-22,TVSMOTOR,535.1,541.0,531.0,540.1,202923,0.257,789554
2021-09-23,TVSMOTOR,543.0,544.9,537.4,539.7,519323,0.4907,1058373
2021-09-24,TVSMOTOR,541.7,543.55,533.05,537.2,683123,0.49700000000000005,1374432
2021-09-27,TVSMOTOR,539.5,557.0,538.0,555.2,721867,0.3102,2327317
2021-09-28,TVSMOTOR,560.05,561.95,544.05,555.6,564864,0.3632,1555165
2021-09-29,TVSMOTOR,550.2,557.35,543.05,550.75,223942,0.23170000000000002,966528
2021-09-30,TVSMOTOR,550.0,558.75,548.2,549.45,387087,0.289,1339499
2021-10-01,TVSMOTOR,550.9,569.75,544.95,563.95,1688356,0.4798,3518568
2021-10-04,TVSMOTOR,574.0,575.0,557.7,560.5,989600,0.3481,2842764
2021-10-05,TVSMOTOR,559.0,569.0,554.35,562.0,744461,0.3896,1910687
2021-10-06,TVSMOTOR,565.5,566.0,540.05,544.0,1001635,0.49460000000000004,2025110
2021-10-07,TVSMOTOR,547.8,563.2,544.2,557.75,911702,0.3173,2873448
2021-10-08,TVSMOTOR,568.0,568.75,555.05,559.75,627737,0.3525,1781059
2021-10-11,TVSMOTOR,561.0,566.9,556.4,559.05,846627,0.5039,1680108
2021-10-12,TVSMOTOR,559.0,580.0,558.55,573.85,1532158,0.3447,4445077
2021-10-13,TVSMOTOR,579.05,586.6,574.0,577.2,438982,0.27649999999999997,1587573
2021-10-14,TVSMOTOR,579.05,588.7,571.05,583.8,888543,0.3682,2413386
2021-10-18,TVSMOTOR,583.8,590.9,573.9,585.9,796814,0.394,2022170
2021-10-19,TVSMOTOR,592.0,598.8,577.2,583.25,851234,0.355,2398150
2021-10-20,TVSMOTOR,581.0,590.8,570.85,579.3,245145,0.22390000000000002,1094973
