Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,TVSSRICHAK,2180.6,2180.6,2129.65,2141.8,2531,0.5297,4778
2021-09-02,TVSSRICHAK,2152.55,2185.0,2152.55,2173.95,3160,0.5296000000000001,5967
2021-09-03,TVSSRICHAK,2170.0,2200.0,2161.3,2187.3,5166,0.4446,11620
2021-09-06,TVSSRICHAK,2187.3,2235.0,2165.0,2176.5,5775,0.5587,10336
2021-09-07,TVSSRICHAK,2176.4,2192.15,2140.0,2149.95,1953,0.554,3525
2021-09-08,TVSSRICHAK,2151.9,2160.0,2120.05,2138.5,4030,0.645,6248
2021-09-09,TVSSRICHAK,2148.9,2175.55,2052.1,2088.3,5292,0.5612,9429
2021-09-13,TVSSRICHAK,2085.9,2125.05,2076.9,2114.05,3388,0.6337,5346
2021-09-14,TVSSRICHAK,2124.65,2169.1,2105.0,2158.95,5823,0.5473,10639
2021-09-15,TVSSRICHAK,2158.5,2189.15,2144.95,2154.4,5058,0.6072,8330
2021-09-16,TVSSRICHAK,2147.4,2220.0,2142.0,2165.5,3582,0.3089,11596
2021-09-17,TVSSRICHAK,2195.5,2199.0,2126.85,2184.1,8250,0.5573,14804
2021-09-20,TVSSRICHAK,2151.0,2168.05,2131.0,2147.35,2702,0.6189,4366
2021-09-21,TVSSRICHAK,2142.0,2156.95,2102.3,2137.15,3914,0.6233,6279
2021-09-22,TVSSRICHAK,2128.0,2220.0,2121.25,2189.95,5408,0.4953,10919
2021-09-23,TVSSRICHAK,2200.9,2265.0,2170.0,2180.95,9276,0.5615,16520
2021-09-24,TVSSRICHAK,2223.0,2250.0,2182.0,2210.0,5882,0.5221,11265
2021-09-27,TVSSRICHAK,2210.0,2219.7,2165.0,2176.15,3325,0.5227,6361
2021-09-28,TVSSRICHAK,2173.75,2205.0,2109.95,2142.55,14728,0.8013,18379
2021-09-29,TVSSRICHAK,2140.0,2184.2,2117.35,2160.4,3349,0.617,5428
2021-09-30,TVSSRICHAK,2160.4,2189.0,2132.05,2144.9,2945,0.5674,5190
2021-10-01,TVSSRICHAK,2132.25,2150.05,2121.45,2138.15,1497,0.5211,2873
2021-10-04,TVSSRICHAK,2146.0,2174.95,2130.9,2157.0,2979,0.6817000000000001,4370
2021-10-05,TVSSRICHAK,2155.0,2247.0,2148.0,2212.15,5207,0.645,8073
2021-10-06,TVSSRICHAK,2213.0,2244.0,2170.0,2190.9,5897,0.669,8815
2021-10-07,TVSSRICHAK,2203.0,2240.05,2193.1,2224.5,6131,0.6245,9818
2021-10-08,TVSSRICHAK,2225.0,2474.45,2225.0,2369.0,38233,0.3361,113753
2021-10-11,TVSSRICHAK,2385.4,2583.3,2370.05,2538.35,28155,0.3749,75092
2021-10-12,TVSSRICHAK,2538.0,2549.7,2419.8,2468.45,11509,0.46770000000000006,24606
2021-10-13,TVSSRICHAK,2499.0,2566.0,2435.0,2466.2,11535,0.42110000000000003,27391
