Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,UBL,1475.0,1559.0,1469.55,1543.3,237779,0.2022,1175823
2021-09-02,UBL,1562.0,1608.25,1549.55,1563.25,353982,0.1368,2587964
2021-09-03,UBL,1563.75,1597.7,1561.05,1571.7,103718,0.1398,741655
2021-09-06,UBL,1578.0,1598.1,1567.75,1581.1,137714,0.33140000000000003,415559
2021-09-07,UBL,1584.0,1607.5,1571.05,1575.35,202697,0.3116,650561
2021-09-08,UBL,1575.0,1616.8,1571.8,1592.6,182139,0.2504,727287
2021-09-09,UBL,1592.45,1620.0,1583.65,1599.95,153508,0.2572,596741
2021-09-13,UBL,1595.0,1608.15,1581.2,1599.1,133948,0.4177,320705
2021-09-14,UBL,1598.0,1622.95,1581.15,1586.6,254325,0.3446,738094
2021-09-15,UBL,1586.6,1601.0,1575.3,1592.2,86863,0.34630000000000005,250811
2021-09-16,UBL,1603.0,1618.95,1590.2,1601.95,133108,0.33799999999999997,393853
2021-09-17,UBL,1604.2,1647.4,1576.1,1594.65,293317,0.2045,1434171
2021-09-20,UBL,1572.3,1619.45,1540.35,1555.2,66656,0.1852,359847
2021-09-21,UBL,1560.65,1608.0,1535.2,1601.3,161168,0.2198,733260
2021-09-22,UBL,1602.95,1649.9,1589.6,1638.95,192021,0.2604,737379
2021-09-23,UBL,1649.9,1686.0,1627.0,1654.35,244576,0.1948,1255536
2021-09-24,UBL,1658.0,1666.0,1587.0,1605.85,247012,0.37060000000000004,666533
2021-09-27,UBL,1573.75,1594.15,1537.0,1555.55,190720,0.2411,791098
2021-09-28,UBL,1559.0,1580.0,1548.95,1564.7,207335,0.40299999999999997,514427
2021-09-29,UBL,1557.1,1588.45,1540.35,1557.05,598032,0.5675,1053883
2021-09-30,UBL,1559.0,1610.0,1553.7,1571.5,187754,0.2267,828156
2021-10-01,UBL,1570.0,1583.9,1558.2,1577.45,162814,0.5068,321261
2021-10-04,UBL,1584.5,1608.6,1578.95,1602.2,100161,0.3395,295047
2021-10-05,UBL,1602.75,1617.0,1589.55,1613.35,164331,0.3929,418207
2021-10-06,UBL,1613.0,1617.9,1570.9,1589.15,179897,0.4916,365949
2021-10-07,UBL,1585.0,1658.1,1585.0,1643.7,477557,0.4092,1166939
2021-10-08,UBL,1641.0,1670.85,1639.1,1650.05,350864,0.4943,709788
2021-10-11,UBL,1650.2,1716.4,1646.75,1700.3,252530,0.3694,683591
2021-10-12,UBL,1699.0,1736.45,1684.8,1718.15,283768,0.331,857395
2021-10-13,UBL,1721.95,1735.0,1710.0,1723.4,315207,0.5498,573343
2021-10-14,UBL,1724.0,1741.4,1700.1,1709.35,60475,0.2518,240169
2021-10-18,UBL,1714.95,1741.25,1667.05,1676.7,149930,0.39640000000000003,378237
2021-10-19,UBL,1673.0,1715.85,1655.1,1672.15,77069,0.2189,352114
2021-10-20,UBL,1670.5,1692.0,1646.4,1659.75,91389,0.34020000000000006,268663
2021-10-21,UBL,1660.05,1669.85,1641.0,1654.95,79313,0.3002,264207
2021-10-22,UBL,1648.0,1687.0,1615.45,1630.4,92756,0.2557,362763
2021-10-25,UBL,1630.0,1645.4,1582.45,1626.55,67118,0.17070000000000002,393271
2021-10-26,UBL,1625.6,1671.3,1625.0,1663.95,35041,0.2354,148879
2021-10-27,UBL,1665.0,1704.4,1648.8,1693.3,145043,0.25379999999999997,571423
2021-10-28,UBL,1690.0,1690.0,1556.55,1630.95,328812,0.2147,1531715
2021-10-29,UBL,1624.0,1705.75,1600.0,1658.55,92010,0.1412,651742
2021-11-01,UBL,1657.8,1702.95,1646.3,1672.1,273605,0.4919,556178
2021-11-02,UBL,1660.0,1723.95,1660.0,1685.9,103468,0.2205,469344
2021-11-03,UBL,1685.9,1717.95,1661.6,1667.55,331018,0.41380000000000006,799989
2021-11-04,UBL,1680.0,1686.0,1665.1,1675.2,13010,0.40380000000000005,32220
2021-11-08,UBL,1680.0,1749.9,1668.9,1732.05,230976,0.3084,748961
2021-11-09,UBL,1735.45,1785.8,1716.3,1778.6,262164,0.2622,999742
2021-11-10,UBL,1774.65,1779.0,1735.15,1741.35,51268,0.2077,246893
2021-11-11,UBL,1741.35,1747.4,1701.95,1714.15,105513,0.4072,259120
2021-11-12,UBL,1722.0,1744.2,1715.0,1734.8,48233,0.259,186206
2021-11-15,UBL,1737.0,1755.0,1714.45,1716.95,66322,0.27640000000000003,239925
2021-11-16,UBL,1725.0,1728.8,1656.15,1677.2,186779,0.4989,374373
2021-11-17,UBL,1665.0,1683.2,1644.05,1655.75,47304,0.32130000000000003,147241
2021-11-18,UBL,1650.1,1665.4,1620.05,1628.0,27313,0.1761,155136
2021-11-22,UBL,1629.7,1638.6,1567.8,1586.8,74241,0.3033,244803
2021-11-23,UBL,1572.4,1609.25,1568.3,1594.1,57769,0.31329999999999997,184390
2021-11-24,UBL,1594.1,1597.3,1558.45,1571.35,67399,0.40390000000000004,166856
2021-11-25,UBL,1570.0,1579.1,1558.05,1566.55,83913,0.4471,187688
2021-11-26,UBL,1557.0,1568.0,1483.2,1501.75,242574,0.48450000000000004,500671
2021-11-29,UBL,1499.9,1512.9,1443.0,1503.9,233556,0.3146,742500
2021-11-30,UBL,1505.4,1537.2,1500.0,1504.35,183422,0.4313,425253
2021-12-01,UBL,1512.5,1514.85,1484.05,1504.95,124176,0.48869999999999997,254115
2021-12-02,UBL,1504.95,1520.3,1501.05,1515.05,24888,0.22390000000000002,111147
2021-12-03,UBL,1516.0,1540.45,1507.1,1512.5,52656,0.2914,180681
2021-12-06,UBL,1514.0,1517.85,1493.2,1499.65,94934,0.5201,182545
2021-12-07,UBL,1501.1,1539.85,1501.1,1530.75,43455,0.17579999999999998,247219
2021-12-08,UBL,1531.1,1558.0,1531.1,1552.3,67047,0.3093,216783
2021-12-09,UBL,1585.5,1587.8,1537.6,1568.7,49589,0.1048,473075
2021-12-10,UBL,1565.3,1608.0,1562.2,1595.85,97962,0.275,356245
2021-12-13,UBL,1605.65,1627.3,1586.0,1616.75,130786,0.44270000000000004,295457
2021-12-14,UBL,1625.0,1625.0,1580.0,1591.95,54193,0.1912,283420
2021-12-15,UBL,1587.8,1614.8,1585.0,1600.9,32454,0.2209,146884
2021-12-16,UBL,1601.1,1618.4,1595.05,1604.9,61349,0.2759,222383
2021-12-17,UBL,1595.05,1603.0,1552.7,1559.5,54555,0.2168,251679
2021-12-20,UBL,1550.0,1550.0,1514.95,1538.8,87814,0.3116,281853
2021-12-21,UBL,1532.15,1581.2,1530.75,1555.7,42506,0.1491,285134
2021-12-22,UBL,1555.7,1590.0,1555.65,1584.85,16051,0.1691,94934
2021-12-23,UBL,1584.8,1600.0,1574.75,1590.1,22454,0.146,153776
2021-12-24,UBL,1654.0,1654.0,1555.05,1568.75,77351,0.07730000000000001,1000170
2021-12-27,UBL,1562.5,1562.95,1505.0,1534.1,76947,0.13240000000000002,581054
2021-12-28,UBL,1538.0,1552.9,1520.65,1547.2,90458,0.3172,285196
2021-12-29,UBL,1535.0,1577.0,1535.0,1569.05,37124,0.1583,234464
2021-12-30,UBL,1571.0,1577.45,1543.7,1547.7,41263,0.2669,154594
2021-12-31,UBL,1547.7,1591.95,1547.45,1586.05,83260,0.3762,221330
2022-01-03,UBL,1585.1,1588.65,1556.25,1562.3,76127,0.4521,168373
2022-01-04,UBL,1567.0,1585.0,1549.15,1572.15,58109,0.2861,203075
2022-01-05,UBL,1575.0,1584.35,1557.0,1577.55,53382,0.32060000000000005,166495
2022-01-06,UBL,1574.8,1595.0,1563.0,1583.55,130433,0.3873,336787
2022-01-07,UBL,1578.0,1595.0,1578.0,1585.85,85168,0.4253,200253
2022-01-10,UBL,1594.2,1613.8,1579.05,1599.45,53412,0.2554,209156
2022-01-11,UBL,1599.45,1638.95,1591.0,1605.1,185798,0.33890000000000003,548306
2022-01-12,UBL,1610.45,1660.7,1589.8,1646.7,172340,0.3593,479657
2022-01-13,UBL,1646.4,1670.4,1625.0,1653.9,62686,0.207,302898
2022-01-14,UBL,1643.9,1673.65,1635.0,1656.05,41468,0.1259,329389
2022-01-17,UBL,1656.0,1671.0,1648.1,1663.7,43812,0.223,196451
2022-01-18,UBL,1664.95,1682.55,1617.05,1625.05,88496,0.2701,327627
2022-01-19,UBL,1617.15,1641.7,1590.0,1612.4,58834,0.1993,295196
2022-01-20,UBL,1600.0,1633.35,1595.0,1602.3,22247,0.18350000000000002,121244
2022-01-21,UBL,1596.0,1609.8,1558.1,1566.35,26557,0.201,132104
2022-01-24,UBL,1560.05,1570.4,1508.9,1523.8,60411,0.3068,285079
2022-01-25,UBL,1512.0,1566.0,1473.05,1557.95,56651,0.2687,210818
2022-01-27,UBL,1555.95,1555.95,1460.3,1507.2,123430,0.21780000000000002,566836
2022-01-28,UBL,1516.25,1575.0,1516.05,1549.85,41694,0.1182,352731
2022-01-31,UBL,1550.05,1658.95,1550.05,1619.2,153548,0.16,959716
2022-02-01,UBL,1621.0,1655.1,1617.2,1650.4,55023,0.2738,200962
2022-02-02,UBL,1662.5,1678.25,1651.45,1670.85,110399,0.3943,279976
2022-02-03,UBL,1652.0,1672.95,1627.5,1656.9,110365,0.39270000000000005,281009
2022-02-04,UBL,1656.75,1672.6,1647.05,1659.55,29942,0.28500000000000003,105058
