Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,UCALFUEL,152.1,153.1,146.4,149.05,18387,0.5898,31173
2021-09-02,UCALFUEL,149.8,151.55,148.0,149.0,7668,0.506,15154
2021-09-03,UCALFUEL,149.8,152.7,149.15,150.2,10868,0.5315,20446
2021-09-06,UCALFUEL,154.4,155.0,151.5,152.45,18923,0.5487,34485
2021-09-07,UCALFUEL,153.2,155.6,149.65,150.8,17726,0.5875,30170
2021-09-08,UCALFUEL,151.9,152.65,150.0,150.8,5823,0.43840000000000007,13282
2021-09-09,UCALFUEL,151.6,151.6,149.0,149.4,9084,0.6227,14587
2021-09-13,UCALFUEL,149.4,151.4,148.2,150.4,7637,0.6067,12587
2021-09-14,UCALFUEL,150.1,153.15,149.2,151.2,13343,0.511,26110
2021-09-15,UCALFUEL,151.9,154.0,148.05,149.95,30262,0.535,56565
2021-09-16,UCALFUEL,150.2,158.0,150.2,156.3,49702,0.3289,151129
2021-09-17,UCALFUEL,157.2,157.2,151.1,152.7,20893,0.5121,40795
2021-09-20,UCALFUEL,151.0,152.0,145.55,146.7,23441,0.5392,43477
2021-09-21,UCALFUEL,146.2,147.25,143.0,145.45,17697,0.4637,38164
2021-09-22,UCALFUEL,144.65,148.8,144.0,147.65,11353,0.4007,28332
2021-09-23,UCALFUEL,148.9,151.7,146.75,147.8,11084,0.5412,20481
2021-09-24,UCALFUEL,148.9,150.05,145.85,146.3,13427,0.6008,22350
2021-09-27,UCALFUEL,147.3,149.0,145.7,147.75,21285,0.5642,37729
2021-09-28,UCALFUEL,152.0,160.0,150.45,153.6,73676,0.2177,338398
2021-09-29,UCALFUEL,152.9,156.4,150.35,152.55,18815,0.46409999999999996,40537
2021-09-30,UCALFUEL,151.0,153.4,147.95,149.15,23527,0.5677000000000001,41445
2021-10-01,UCALFUEL,148.0,152.0,148.0,150.6,13145,0.5337,24632
2021-10-04,UCALFUEL,151.0,153.6,151.0,151.75,15164,0.5476,27694
2021-10-05,UCALFUEL,152.05,153.0,150.0,151.15,16775,0.6127,27377
2021-10-06,UCALFUEL,152.0,155.45,149.1,150.65,24167,0.4083,59193
2021-10-07,UCALFUEL,151.3,157.75,150.6,153.2,35262,0.3602,97907
2021-10-08,UCALFUEL,153.6,161.9,152.0,158.9,64345,0.3181,202258
2021-10-11,UCALFUEL,158.75,158.75,154.85,157.3,30129,0.5586,53934
2021-10-12,UCALFUEL,157.9,164.45,154.9,159.15,57264,0.2715,210927
2021-10-13,UCALFUEL,160.7,163.5,160.3,161.5,58515,0.5739,101966
2021-10-14,UCALFUEL,162.0,170.4,159.0,161.55,133024,0.3131,424801
2021-10-18,UCALFUEL,161.8,163.0,157.0,157.55,40179,0.6378,62999
2021-10-19,UCALFUEL,157.55,158.6,152.55,153.55,43118,0.662,65132
2021-10-20,UCALFUEL,153.9,153.9,150.3,151.6,19311,0.49369999999999997,39115
2021-10-21,UCALFUEL,152.6,154.0,150.1,150.85,10704,0.49200000000000005,21755
2021-10-22,UCALFUEL,151.0,152.8,147.85,148.65,13034,0.47380000000000005,27508
2021-10-25,UCALFUEL,148.05,149.35,145.0,147.45,9303,0.5249,17724
2021-10-26,UCALFUEL,148.7,149.8,146.95,148.05,11358,0.5331,21306
2021-10-27,UCALFUEL,149.0,152.0,147.8,148.2,12582,0.5661,22224
2021-10-28,UCALFUEL,150.0,150.0,145.0,145.6,12504,0.5636,22185
2021-10-29,UCALFUEL,147.0,147.0,142.7,144.55,11228,0.6062,18521
2021-11-01,UCALFUEL,145.35,147.75,145.35,147.25,6474,0.6576000000000001,9845
2021-11-02,UCALFUEL,146.25,153.0,146.25,149.9,11837,0.42710000000000004,27712
2021-11-03,UCALFUEL,148.5,151.2,148.3,150.3,10011,0.6816,14687
2021-11-04,UCALFUEL,150.5,152.5,149.35,150.95,2434,0.4511,5396
2021-11-08,UCALFUEL,151.5,159.0,149.95,156.2,53264,0.6287,84715
2021-11-09,UCALFUEL,156.0,157.05,154.1,155.7,17682,0.6725,26291
2021-11-10,UCALFUEL,155.5,159.5,153.95,155.95,12950,0.5226,24779
2021-11-11,UCALFUEL,156.15,158.8,152.8,153.75,16726,0.6058,27612
2021-11-12,UCALFUEL,152.0,156.45,152.0,153.2,17233,0.6335000000000001,27201
2021-11-15,UCALFUEL,153.2,155.4,145.0,147.15,22606,0.6137,36838
2021-11-16,UCALFUEL,147.2,151.85,147.15,149.45,11333,0.5284000000000001,21448
2021-11-17,UCALFUEL,148.2,150.4,146.9,148.4,10670,0.6642,16064
2021-11-18,UCALFUEL,148.4,149.0,144.6,145.3,8732,0.6506000000000001,13422
2021-11-22,UCALFUEL,146.0,146.0,140.0,140.6,17285,0.5822999999999999,29682
2021-11-23,UCALFUEL,140.4,145.15,139.15,144.15,9099,0.4814,18901
2021-11-24,UCALFUEL,143.0,147.0,143.0,145.1,9092,0.6154999999999999,14771
2021-11-25,UCALFUEL,145.45,147.0,144.0,145.5,10864,0.7088,15328
2021-11-26,UCALFUEL,144.65,144.8,139.4,139.8,16816,0.5952000000000001,28252
2021-11-29,UCALFUEL,140.8,140.8,134.15,137.65,10409,0.49600000000000005,20986
2021-11-30,UCALFUEL,138.4,140.75,136.55,137.95,6088,0.4365,13948
2021-12-01,UCALFUEL,139.75,140.95,135.95,137.7,5605,0.4685,11963
2021-12-02,UCALFUEL,136.05,140.4,136.05,139.7,8499,0.6226,13650
2021-12-03,UCALFUEL,140.65,142.45,139.15,139.75,7217,0.5409,13342
2021-12-06,UCALFUEL,140.1,141.7,138.6,139.2,5579,0.5379,10371
2021-12-07,UCALFUEL,140.25,142.1,139.0,141.0,6530,0.6144,10628
2021-12-08,UCALFUEL,141.7,142.65,139.05,140.3,10600,0.5727000000000001,18508
2021-12-09,UCALFUEL,140.95,144.4,140.0,142.3,7725,0.5693,13570
2021-12-10,UCALFUEL,142.2,144.6,141.0,142.8,10473,0.5478000000000001,19119
2021-12-13,UCALFUEL,143.0,147.45,143.0,144.25,11062,0.4811,22992
2021-12-14,UCALFUEL,144.25,152.95,142.05,147.55,14487,0.2481,58392
2021-12-15,UCALFUEL,146.55,147.75,143.8,144.25,7557,0.5867,12881
2021-12-16,UCALFUEL,145.9,145.9,141.0,141.5,6166,0.5621,10969
2021-12-17,UCALFUEL,141.7,141.75,136.1,137.25,17265,0.5728,30139
2021-12-20,UCALFUEL,136.55,136.55,130.95,132.2,13844,0.5373,25766
2021-12-21,UCALFUEL,134.95,135.0,132.0,132.65,7781,0.524,14850
2021-12-22,UCALFUEL,133.45,135.2,132.05,133.3,8471,0.5167,16395
2021-12-23,UCALFUEL,135.0,141.2,133.6,139.6,19559,0.5045000000000001,38769
2021-12-24,UCALFUEL,141.0,141.0,136.25,137.5,4087,0.40909999999999996,9991
2021-12-27,UCALFUEL,137.95,138.2,135.2,135.9,7875,0.6815000000000001,11555
2021-12-28,UCALFUEL,137.0,142.0,136.95,138.85,12914,0.5212,24776
2021-12-29,UCALFUEL,138.95,141.0,137.2,138.8,5957,0.5468999999999999,10892
2021-12-30,UCALFUEL,139.05,144.45,138.4,143.4,21796,0.5958,36582
2021-12-31,UCALFUEL,143.45,144.95,141.25,143.65,11408,0.6481,17602
2022-01-03,UCALFUEL,149.0,172.35,148.35,171.7,380744,0.3312,1149521
2022-01-04,UCALFUEL,174.75,176.0,158.0,159.7,207366,0.3676,564167
