Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,UFO,89.35,90.95,89.2,89.85,61721,0.6097,101234
2021-09-02,UFO,89.85,91.3,88.0,90.65,91811,0.6171,148786
2021-09-03,UFO,90.65,92.4,88.65,90.65,41768,0.4773,87514
2021-09-06,UFO,91.75,94.95,90.6,91.25,82800,0.4324,191509
2021-09-07,UFO,92.2,92.3,89.55,89.9,54758,0.5306000000000001,103207
2021-09-08,UFO,90.0,94.8,89.9,91.55,107827,0.29550000000000004,364868
2021-09-09,UFO,91.65,93.0,91.05,91.5,63123,0.5049,125015
2021-09-13,UFO,92.65,93.8,91.0,91.6,62817,0.4029,155931
2021-09-14,UFO,92.25,98.4,92.25,96.7,392595,0.4643,845511
2021-09-15,UFO,96.95,100.4,95.0,98.7,279712,0.5771000000000001,484704
2021-09-16,UFO,99.1,100.3,95.45,96.7,170079,0.5407000000000001,314581
2021-09-17,UFO,96.95,103.45,92.5,100.75,386475,0.42,920192
2021-09-20,UFO,99.0,104.7,96.9,97.55,542235,0.44630000000000003,1214906
2021-09-21,UFO,98.3,108.0,95.8,103.55,706704,0.35950000000000004,1965817
2021-09-22,UFO,105.1,115.65,103.35,109.85,1257511,0.2401,5237046
2021-09-23,UFO,110.7,111.55,106.6,107.2,517880,0.5147999999999999,1005912
2021-09-24,UFO,107.6,108.1,102.55,103.25,253542,0.5236999999999999,484145
2021-09-27,UFO,107.7,111.7,106.7,108.1,563850,0.3246,1736949
2021-09-28,UFO,109.0,109.05,103.7,105.55,202328,0.4252,475825
2021-09-29,UFO,104.0,112.9,103.6,108.8,669435,0.4397,1522598
2021-09-30,UFO,109.2,110.65,106.0,107.5,186425,0.4743,393039
2021-10-01,UFO,106.5,109.5,105.1,106.3,154624,0.3175,486960
2021-10-04,UFO,106.9,110.4,106.45,106.95,279333,0.41700000000000004,669916
2021-10-05,UFO,106.85,109.3,106.45,107.5,182213,0.457,398680
2021-10-06,UFO,107.9,108.45,103.2,103.85,258690,0.5468999999999999,472996
2021-10-07,UFO,105.3,107.0,104.1,104.7,129335,0.5249,246378
2021-10-08,UFO,105.05,108.0,104.85,105.75,162971,0.4586,355351
2021-10-11,UFO,105.5,107.5,104.3,104.75,150815,0.43479999999999996,346849
2021-10-12,UFO,104.75,107.9,103.85,105.6,140387,0.35619999999999996,394112
