Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,UNITEDTEA,416.7,416.7,407.0,410.1,1688,0.6068,2782
2021-09-02,UNITEDTEA,407.85,414.0,406.1,410.95,1124,0.5674,1981
2021-09-03,UNITEDTEA,411.0,412.0,397.85,402.65,2269,0.5109,4441
2021-09-06,UNITEDTEA,409.85,412.5,402.0,402.4,1878,0.5603,3352
2021-09-07,UNITEDTEA,409.85,415.0,401.0,403.05,3383,0.3799,8904
2021-09-08,UNITEDTEA,409.8,409.8,402.0,404.8,841,0.4997,1683
2021-09-09,UNITEDTEA,403.0,408.0,397.55,400.9,1159,0.7575000000000001,1530
2021-09-13,UNITEDTEA,405.0,405.0,397.05,398.7,1447,0.65,2226
2021-09-14,UNITEDTEA,400.2,403.45,395.55,397.5,1273,0.6693000000000001,1902
2021-09-15,UNITEDTEA,397.75,406.95,395.0,398.15,3041,0.6017,5054
2021-09-16,UNITEDTEA,420.0,421.0,400.05,410.0,6424,0.36119999999999997,17784
2021-09-17,UNITEDTEA,415.0,419.05,406.75,415.2,3785,0.6053000000000001,6253
2021-09-20,UNITEDTEA,416.95,416.95,402.0,403.95,1764,0.6689,2637
2021-09-21,UNITEDTEA,393.3,407.3,393.3,395.45,1886,0.6106,3089
2021-09-22,UNITEDTEA,397.2,404.85,395.0,396.0,1033,0.6041,1710
2021-09-23,UNITEDTEA,402.9,403.05,390.0,394.1,2097,0.4954,4233
2021-09-24,UNITEDTEA,394.15,399.35,390.0,392.65,1221,0.5853,2086
2021-09-27,UNITEDTEA,391.5,397.65,390.0,392.95,388,0.5575,696
2021-09-28,UNITEDTEA,386.1,395.0,386.1,392.9,570,0.4182,1363
2021-09-29,UNITEDTEA,394.6,394.6,389.0,390.45,692,0.6372,1086
2021-09-30,UNITEDTEA,390.45,392.8,388.15,391.35,685,0.8078000000000001,848
2021-10-01,UNITEDTEA,394.5,394.95,385.1,392.6,1021,0.6607999999999999,1545
2021-10-04,UNITEDTEA,386.2,395.0,386.1,390.5,2205,0.6662,3310
2021-10-05,UNITEDTEA,392.85,393.75,387.1,391.55,522,0.4669,1118
2021-10-06,UNITEDTEA,392.95,398.9,381.2,389.65,2133,0.42,5078
2021-10-07,UNITEDTEA,396.5,396.5,385.1,388.85,923,0.454,2033
2021-10-08,UNITEDTEA,387.0,419.0,387.0,399.95,1972,0.7073,2788
2021-10-11,UNITEDTEA,392.0,403.95,390.0,395.3,1840,0.6604000000000001,2786
2021-10-12,UNITEDTEA,396.8,407.0,392.75,397.1,1427,0.5787,2466
2021-10-13,UNITEDTEA,398.0,431.0,393.15,421.9,9444,0.2729,34606
2021-10-14,UNITEDTEA,427.95,427.95,410.0,414.2,2080,0.5494,3786
2021-10-18,UNITEDTEA,424.0,427.95,390.55,404.65,8138,0.4378,18588
2021-10-19,UNITEDTEA,405.95,406.25,392.0,393.5,2432,0.6702,3629
2021-10-20,UNITEDTEA,393.15,404.75,390.0,395.65,1099,0.5327000000000001,2063
2021-10-21,UNITEDTEA,403.7,403.7,390.0,391.4,1573,0.6173,2548
2021-10-22,UNITEDTEA,398.0,398.7,382.25,383.65,1224,0.5948,2058
2021-10-25,UNITEDTEA,383.1,387.7,375.5,379.5,1039,0.8558,1214
2021-10-26,UNITEDTEA,376.3,388.75,376.3,385.2,216,0.5806,372
2021-10-27,UNITEDTEA,381.05,388.85,376.25,379.95,497,0.6143,809
2021-10-28,UNITEDTEA,379.95,379.95,365.55,370.4,816,0.6667000000000001,1224
2021-10-29,UNITEDTEA,366.15,386.95,366.15,377.3,656,0.5462,1201
2021-11-01,UNITEDTEA,373.8,379.85,365.05,372.05,571,0.6213000000000001,919
2021-11-02,UNITEDTEA,372.0,386.0,371.8,383.55,1139,0.7353000000000001,1549
2021-11-03,UNITEDTEA,383.5,383.5,378.05,382.1,303,0.8608,352
2021-11-04,UNITEDTEA,394.0,394.0,373.15,386.75,47,0.5054,93
2021-11-08,UNITEDTEA,387.0,389.0,376.7,385.65,573,0.6445000000000001,889
2021-11-09,UNITEDTEA,386.9,388.0,382.1,384.55,359,0.5099,704
2021-11-10,UNITEDTEA,380.0,387.1,377.0,377.55,2933,0.6135,4781
2021-11-11,UNITEDTEA,374.05,378.05,372.0,372.2,695,0.7514000000000001,925
2021-11-12,UNITEDTEA,373.0,375.8,369.0,371.65,1870,0.9059999999999999,2064
2021-11-15,UNITEDTEA,370.15,370.15,356.85,364.6,2967,0.7489,3962
2021-11-16,UNITEDTEA,365.0,365.95,353.95,356.85,4168,0.5617,7420
2021-11-17,UNITEDTEA,359.0,365.85,354.0,363.65,746,0.6685,1116
2021-11-18,UNITEDTEA,364.9,364.9,353.5,353.65,734,0.7892,930
