Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,UPL,745.15,752.5,739.8,748.65,688274,0.33549999999999996,2051308
2021-09-02,UPL,752.0,757.9,746.0,753.35,1550353,0.5117,3029716
2021-09-03,UPL,756.35,760.0,747.1,752.8,673883,0.4012,1679831
2021-09-06,UPL,755.0,759.0,749.45,755.75,596042,0.4175,1427518
2021-09-07,UPL,757.0,759.95,746.0,752.05,585704,0.4252,1377576
2021-09-08,UPL,753.5,772.5,747.4,762.0,1156567,0.28350000000000003,4079877
2021-09-09,UPL,761.65,762.0,754.1,757.9,484292,0.4122,1174804
2021-09-13,UPL,754.0,767.7,751.65,756.0,1357803,0.49840000000000007,2724206
2021-09-14,UPL,760.9,764.85,751.0,752.5,1077169,0.5573,1932973
2021-09-15,UPL,756.8,763.6,752.6,762.1,587006,0.42710000000000004,1374264
2021-09-16,UPL,763.0,769.75,753.1,754.0,852298,0.41270000000000007,2065099
2021-09-17,UPL,759.0,759.0,736.1,742.35,2038078,0.6086,3348764
2021-09-20,UPL,738.0,738.0,701.0,705.6,1265604,0.4106,3082145
2021-09-21,UPL,705.6,727.9,700.0,721.85,976392,0.23120000000000002,4222370
2021-09-22,UPL,721.0,726.15,713.75,724.9,850832,0.4446,1913723
2021-09-23,UPL,725.1,732.0,723.05,726.85,490091,0.3664,1337563
2021-09-24,UPL,728.0,731.9,713.55,718.65,437768,0.3189,1372681
2021-09-27,UPL,722.95,737.0,716.25,725.85,823435,0.3153,2611791
2021-09-28,UPL,728.0,732.9,710.25,716.8,1159398,0.4498,2577784
2021-09-29,UPL,711.9,722.9,709.0,717.15,1165535,0.5394,2160616
2021-09-30,UPL,717.15,719.9,706.15,707.7,1295400,0.5207,2487764
2021-10-01,UPL,707.0,714.05,698.25,712.65,762167,0.39130000000000004,1947637
2021-10-04,UPL,713.1,719.9,694.0,702.95,3816995,0.4968,7682864
2021-10-05,UPL,705.0,719.6,700.55,714.65,1546186,0.409,3780191
2021-10-06,UPL,716.0,744.45,715.5,727.3,1658865,0.2134,7773811
2021-10-07,UPL,735.3,736.0,723.0,727.5,876635,0.3926,2233111
2021-10-08,UPL,728.05,747.45,726.25,738.0,904963,0.2845,3181166
2021-10-11,UPL,740.0,754.4,740.0,742.45,1112634,0.368,3023541
2021-10-12,UPL,742.45,749.9,738.05,744.3,743196,0.4045,1837397
2021-10-13,UPL,744.3,754.25,741.65,747.45,617522,0.3925,1573332
2021-10-14,UPL,753.0,759.0,745.25,747.85,739648,0.34490000000000004,2144296
2021-10-18,UPL,749.2,762.0,745.2,751.1,1255886,0.4793,2620289
2021-10-19,UPL,755.0,759.9,728.6,733.7,464244,0.3098,1498436
2021-10-20,UPL,733.7,734.9,711.25,715.9,446564,0.2847,1568362
2021-10-21,UPL,723.05,723.4,706.3,717.45,598766,0.3683,1625612
2021-10-22,UPL,714.25,722.5,699.25,704.35,452875,0.32920000000000005,1375825
2021-10-25,UPL,704.0,708.0,686.25,695.3,523460,0.2997,1746556
2021-10-26,UPL,695.0,716.45,693.6,713.25,356491,0.24170000000000003,1475209
2021-10-27,UPL,714.5,748.0,712.0,741.5,1039866,0.2223,4677615
2021-10-28,UPL,743.0,748.2,725.85,729.9,775498,0.2697,2875850
2021-10-29,UPL,735.9,746.0,716.55,740.2,1396475,0.405,3448037
2021-11-01,UPL,745.0,745.0,700.0,720.05,1630052,0.2738,5953165
2021-11-02,UPL,720.8,726.4,711.0,720.3,481078,0.2597,1852304
2021-11-03,UPL,720.3,756.5,720.3,737.05,789168,0.1199,6580294
2021-11-04,UPL,745.0,745.0,731.1,737.7,156541,0.40130000000000005,390092
2021-11-08,UPL,740.0,744.0,731.0,742.65,333310,0.2715,1227750
2021-11-09,UPL,744.7,753.4,742.65,746.35,497534,0.3066,1622626
