Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,USHAMART,70.8,70.8,67.0,67.85,496006,0.6779999999999999,731566
2021-09-02,USHAMART,67.9,68.9,66.65,67.55,618758,0.5426,1140267
2021-09-03,USHAMART,68.1,68.7,66.75,66.95,437654,0.5129,853326
2021-09-06,USHAMART,66.55,67.85,66.25,67.5,388619,0.5329,729191
2021-09-07,USHAMART,67.8,68.65,67.25,67.4,322719,0.561,575275
2021-09-08,USHAMART,67.35,67.7,66.35,66.5,340564,0.7111,478924
2021-09-09,USHAMART,67.25,67.25,64.55,65.5,325870,0.657,496022
2021-09-13,USHAMART,66.2,71.4,65.85,70.45,1640028,0.578,2837586
2021-09-14,USHAMART,70.5,70.95,67.55,68.2,516932,0.6295000000000001,821226
2021-09-15,USHAMART,68.0,71.6,68.0,70.6,657229,0.4662,1409742
2021-09-16,USHAMART,71.0,72.0,69.55,70.0,1586730,0.7331000000000001,2164275
2021-09-17,USHAMART,70.9,71.95,67.8,71.6,1299615,0.5998,2166781
2021-09-20,USHAMART,70.9,75.85,69.55,71.0,1890267,0.45030000000000003,4197754
2021-09-21,USHAMART,71.9,74.8,68.5,73.8,1020492,0.5287,1930329
2021-09-22,USHAMART,74.0,79.9,73.65,79.4,3069731,0.46890000000000004,6546396
2021-09-23,USHAMART,80.1,80.45,76.6,77.6,1556838,0.6199,2511328
2021-09-24,USHAMART,78.5,79.0,76.25,78.4,646029,0.49310000000000004,1310111
2021-09-27,USHAMART,77.9,81.5,77.5,78.85,832368,0.5173,1609130
2021-09-28,USHAMART,78.6,81.0,77.65,80.45,1106115,0.5349,2067737
2021-09-29,USHAMART,80.3,84.85,79.55,83.0,1254071,0.3932,3189012
2021-09-30,USHAMART,83.85,86.5,83.55,85.75,1360926,0.6146,2214167
2021-10-01,USHAMART,84.85,89.4,83.95,87.45,1192192,0.4347,2742670
2021-10-04,USHAMART,89.9,96.0,89.25,95.45,3053544,0.6498999999999999,4698169
2021-10-05,USHAMART,95.9,95.9,90.7,92.25,1295099,0.513,2524496
2021-10-06,USHAMART,92.9,95.05,89.2,90.05,893267,0.5496,1625220
2021-10-07,USHAMART,91.0,93.45,90.5,91.15,525382,0.5507,953946
2021-10-08,USHAMART,91.5,92.8,90.0,91.45,365510,0.5127,712914
2021-10-11,USHAMART,91.55,91.9,88.15,89.05,445063,0.6512000000000001,683436
2021-10-12,USHAMART,90.05,90.75,88.25,88.85,359623,0.5700000000000001,630922
2021-10-13,USHAMART,88.9,93.75,88.9,92.1,937086,0.5902000000000001,1587818
2021-10-14,USHAMART,92.5,92.85,89.5,90.1,362657,0.5365,675912
2021-10-18,USHAMART,90.85,93.4,90.15,91.6,430610,0.5065999999999999,850071
2021-10-19,USHAMART,92.3,93.45,89.0,90.75,687434,0.5542,1240448
2021-10-20,USHAMART,90.9,91.1,86.6,87.95,594004,0.6487,915673
2021-10-21,USHAMART,88.0,89.9,87.0,87.5,444036,0.6675,665259
2021-10-22,USHAMART,88.0,89.5,86.15,86.95,232638,0.5147999999999999,451873
2021-10-25,USHAMART,87.65,88.1,84.6,87.7,438269,0.5039,869747
2021-10-26,USHAMART,87.7,90.0,87.55,89.9,380598,0.5499,692069
2021-10-27,USHAMART,90.5,93.45,89.25,90.35,561456,0.4435,1266086
2021-10-28,USHAMART,90.95,91.45,88.3,89.15,314496,0.5063000000000001,621155
2021-10-29,USHAMART,89.2,89.2,85.9,87.95,236460,0.46950000000000003,503692
2021-11-01,USHAMART,86.35,91.0,86.35,90.7,373538,0.5878,635501
2021-11-02,USHAMART,91.4,93.0,90.5,91.6,492957,0.5768,854696
2021-11-03,USHAMART,92.45,93.5,90.4,91.65,237875,0.4866,488894
2021-11-04,USHAMART,92.35,93.35,91.5,92.1,126170,0.6863,183837
2021-11-08,USHAMART,93.1,99.3,92.6,97.75,1160177,0.5275,2199539
2021-11-09,USHAMART,100.0,102.55,96.75,99.9,979041,0.5488000000000001,1784129
2021-11-10,USHAMART,99.5,101.7,98.5,100.05,392772,0.5734,684952
2021-11-11,USHAMART,101.0,102.5,99.95,100.85,401520,0.5057,794056
2021-11-12,USHAMART,101.0,101.7,95.0,95.7,1018038,0.7440000000000001,1368401
2021-11-15,USHAMART,95.7,95.7,86.5,89.45,1348817,0.5404,2496055
2021-11-16,USHAMART,90.3,90.85,87.75,88.5,778562,0.6563,1186216
2021-11-17,USHAMART,88.4,90.3,85.1,86.35,782179,0.6485,1206169
2021-11-18,USHAMART,80.15,93.1,80.15,89.4,1172256,0.5953,1969278
2021-11-22,USHAMART,91.4,92.0,84.0,85.35,774344,0.6897,1122691
2021-11-23,USHAMART,85.0,87.5,85.0,85.95,411223,0.5916,695045
2021-11-24,USHAMART,86.65,88.4,86.2,86.85,432179,0.6509,664017
2021-11-25,USHAMART,87.3,87.5,86.0,87.25,242196,0.6086,397972
