Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,VAKRANGEE,39.3,39.65,38.5,38.9,1119987,0.495,2262799
2021-09-02,VAKRANGEE,39.0,40.15,38.75,39.35,1655213,0.3896,4248176
2021-09-03,VAKRANGEE,39.95,41.25,38.8,39.1,4189819,0.4165,10059620
2021-09-06,VAKRANGEE,40.9,45.5,40.9,44.45,13891276,0.3174,43765179
2021-09-07,VAKRANGEE,44.45,44.85,42.85,43.25,4414736,0.3155,13992136
2021-09-08,VAKRANGEE,43.7,45.0,43.35,44.55,4924666,0.36840000000000006,13368307
2021-09-09,VAKRANGEE,44.4,44.5,43.05,43.5,3805444,0.5195000000000001,7325359
2021-09-13,VAKRANGEE,43.5,44.5,43.05,43.15,3535387,0.4897,7219569
2021-09-14,VAKRANGEE,43.3,44.2,42.9,43.15,2365229,0.4056,5830756
2021-09-15,VAKRANGEE,43.25,43.4,42.1,42.25,2332920,0.5147999999999999,4531530
2021-09-16,VAKRANGEE,42.0,43.75,41.6,43.0,2760122,0.4291,6432686
2021-09-17,VAKRANGEE,43.2,43.65,41.2,41.65,2926660,0.4901,5971402
2021-09-20,VAKRANGEE,40.85,41.9,40.1,40.45,1361790,0.4667,2917820
2021-09-21,VAKRANGEE,40.8,41.0,39.1,39.75,4488661,0.5832,7697027
2021-09-22,VAKRANGEE,39.85,40.5,39.4,39.65,3826164,0.6217,6154395
2021-09-23,VAKRANGEE,39.9,40.45,39.15,39.6,3688130,0.5931000000000001,6217992
2021-09-24,VAKRANGEE,40.25,42.55,39.25,39.55,6809793,0.3489,19520583
2021-09-27,VAKRANGEE,40.2,42.7,40.0,42.2,7168498,0.3998,17931327
2021-09-28,VAKRANGEE,41.9,42.2,39.8,40.4,3201101,0.4119,7771338
2021-09-29,VAKRANGEE,41.0,41.95,40.3,41.35,2296876,0.4244,5411489
2021-09-30,VAKRANGEE,41.2,41.35,40.2,40.5,1478680,0.26920000000000005,5492640
2021-10-01,VAKRANGEE,40.1,40.3,39.85,40.15,1266518,0.5267000000000001,2404695
2021-10-04,VAKRANGEE,40.45,41.0,40.05,40.3,1732467,0.5146000000000001,3366473
2021-10-05,VAKRANGEE,40.3,40.55,40.15,40.25,1958561,0.5159,3796133
2021-10-06,VAKRANGEE,40.4,41.35,39.65,40.6,3371095,0.5048,6677950
2021-10-07,VAKRANGEE,40.7,41.4,40.2,41.15,2709666,0.47090000000000004,5754072
2021-10-08,VAKRANGEE,42.3,43.8,41.6,43.4,6961842,0.5065,13745661
2021-10-11,VAKRANGEE,47.0,47.2,43.8,44.0,8388944,0.4344,19312489
2021-10-12,VAKRANGEE,43.9,44.1,42.75,43.6,3287742,0.5151,6383227
2021-10-13,VAKRANGEE,43.5,43.75,42.65,42.8,2162959,0.5005,4321585
2021-10-14,VAKRANGEE,45.8,45.8,43.5,44.3,3805486,0.41200000000000003,9235846
2021-10-18,VAKRANGEE,44.3,44.3,43.25,43.5,3050963,0.544,5608300
2021-10-19,VAKRANGEE,43.2,43.7,40.65,41.15,3205807,0.5598,5726580
2021-10-20,VAKRANGEE,40.95,40.95,39.8,40.0,1947718,0.5033,3870266
2021-10-21,VAKRANGEE,40.05,40.6,39.25,39.55,1610568,0.5577000000000001,2887935
2021-10-22,VAKRANGEE,39.6,40.4,38.75,39.15,1851426,0.5154,3592435
2021-10-25,VAKRANGEE,39.3,39.55,37.2,37.4,2795051,0.6036,4630667
2021-10-26,VAKRANGEE,37.5,38.25,37.2,37.6,1453918,0.4877,2981177
2021-10-27,VAKRANGEE,37.7,38.95,37.65,37.9,1915028,0.5337,3588442
2021-10-28,VAKRANGEE,37.85,38.3,37.25,37.4,994409,0.5104,1948326
2021-10-29,VAKRANGEE,37.2,37.8,36.25,36.8,957296,0.4636,2064990
2021-11-01,VAKRANGEE,37.05,38.3,36.8,37.15,2024902,0.5676,3567545
2021-11-02,VAKRANGEE,37.15,39.3,36.5,38.4,2400506,0.5167,4645547
2021-11-03,VAKRANGEE,38.8,38.95,37.1,37.65,1782533,0.42590000000000006,4185194
2021-11-04,VAKRANGEE,37.85,38.4,37.75,38.15,677877,0.684,991001
2021-11-08,VAKRANGEE,38.25,38.6,37.45,38.2,1289746,0.45439999999999997,2838634
2021-11-09,VAKRANGEE,38.0,38.15,37.65,37.9,1331266,0.5304,2509942
2021-11-10,VAKRANGEE,37.65,38.15,37.5,37.75,1495580,0.5293,2825695
2021-11-11,VAKRANGEE,37.7,37.9,37.35,37.6,1779852,0.6507,2735184
2021-11-12,VAKRANGEE,37.65,37.8,37.1,37.3,1579762,0.59,2677484
2021-11-15,VAKRANGEE,37.5,37.6,36.8,37.0,766365,0.5039,1520968
2021-11-16,VAKRANGEE,37.0,37.4,36.75,37.15,794239,0.4742,1674758
2021-11-17,VAKRANGEE,36.9,37.35,36.8,36.9,720071,0.45770000000000005,1573103
2021-11-18,VAKRANGEE,36.9,37.1,36.0,36.15,973491,0.5552,1753491
2021-11-22,VAKRANGEE,36.2,36.25,34.8,35.55,1440865,0.6056,2379423
2021-11-23,VAKRANGEE,35.2,35.4,34.05,34.55,1629433,0.46520000000000006,3502851
2021-11-24,VAKRANGEE,35.1,38.55,35.0,36.6,2647032,0.2581,10256005
2021-11-25,VAKRANGEE,36.55,36.75,35.8,36.0,1266498,0.376,3368570
2021-11-26,VAKRANGEE,35.85,36.05,34.8,35.0,1284754,0.4625,2777595
2021-11-29,VAKRANGEE,35.0,35.0,33.15,33.9,885749,0.39380000000000004,2249165
2021-11-30,VAKRANGEE,33.8,35.15,33.7,34.2,661897,0.31420000000000003,2106721
2021-12-01,VAKRANGEE,34.4,34.85,34.1,34.45,569749,0.3401,1675069
2021-12-02,VAKRANGEE,34.45,34.85,34.4,34.6,591786,0.4632,1277658
2021-12-03,VAKRANGEE,34.6,35.3,34.3,34.85,706367,0.3811,1853364
2021-12-06,VAKRANGEE,34.9,35.05,33.25,34.1,813133,0.5538000000000001,1468263
2021-12-07,VAKRANGEE,34.2,34.55,34.0,34.2,861038,0.48100000000000004,1790061
2021-12-08,VAKRANGEE,34.4,37.2,34.0,35.4,1593260,0.2563,6215859
2021-12-09,VAKRANGEE,35.6,36.7,35.2,36.3,1155052,0.3467,3331850
2021-12-10,VAKRANGEE,36.2,37.8,35.8,37.0,1409472,0.3755,3753800
2021-12-13,VAKRANGEE,37.4,37.75,36.45,36.75,1397484,0.5049,2767709
2021-12-14,VAKRANGEE,36.45,38.2,36.3,37.65,1884469,0.5063000000000001,3721892
2021-12-15,VAKRANGEE,38.0,40.7,37.35,38.7,6055487,0.4011,15096586
2021-12-16,VAKRANGEE,39.8,40.7,37.55,38.25,3585807,0.3594,9978435
2021-12-17,VAKRANGEE,38.25,38.8,36.65,37.25,1702247,0.3737,4554853
2021-12-20,VAKRANGEE,36.9,36.9,35.1,35.3,1877286,0.47850000000000004,3923592
2021-12-21,VAKRANGEE,35.55,36.5,35.25,35.7,1057932,0.3622,2920851
2021-12-22,VAKRANGEE,35.75,36.1,35.5,35.8,2555485,0.6145,4158791
2021-12-23,VAKRANGEE,36.0,38.65,35.85,37.3,5689492,0.4826,11788160
2021-12-24,VAKRANGEE,37.45,42.7,37.0,42.0,12448631,0.2895,43003872
2021-12-27,VAKRANGEE,42.0,46.85,40.8,43.95,9614518,0.27340000000000003,35161409
2021-12-28,VAKRANGEE,44.8,45.25,42.8,43.45,4720166,0.3109,15182234
2021-12-29,VAKRANGEE,43.5,44.8,43.15,44.4,3332858,0.3457,9639698
2021-12-30,VAKRANGEE,44.5,46.95,44.0,44.8,4178525,0.2436,17150184
2021-12-31,VAKRANGEE,45.3,45.65,43.65,44.05,1800657,0.2762,6520118
2022-01-03,VAKRANGEE,44.05,44.6,43.05,43.6,1948521,0.37329999999999997,5219085
2022-01-04,VAKRANGEE,43.9,44.55,41.85,42.15,2608588,0.42,6211613
2022-01-05,VAKRANGEE,42.2,42.6,40.9,41.15,1870732,0.3743,4997936
2022-01-06,VAKRANGEE,40.5,42.35,40.45,41.75,1105325,0.2322,4759322
2022-01-07,VAKRANGEE,42.45,43.95,42.0,42.75,3172773,0.33390000000000003,9503587
2022-01-10,VAKRANGEE,43.2,43.35,42.4,42.7,1321941,0.35600000000000004,3713610
2022-01-11,VAKRANGEE,43.0,43.1,41.5,41.75,1568947,0.4598,3412438
2022-01-12,VAKRANGEE,41.7,42.3,41.15,41.35,1458412,0.48869999999999997,2984326
2022-01-13,VAKRANGEE,41.4,41.75,41.0,41.15,961029,0.3851,2495653
2022-01-14,VAKRANGEE,40.8,41.6,40.6,40.8,983215,0.3971,2476095
2022-01-17,VAKRANGEE,41.0,44.0,40.9,42.75,4076038,0.46390000000000003,8786577
2022-01-18,VAKRANGEE,42.9,43.45,40.75,41.1,1622778,0.4594,3532528
2022-01-19,VAKRANGEE,41.1,41.75,40.7,41.2,1536420,0.3891,3948650
2022-01-20,VAKRANGEE,41.45,42.35,41.3,41.5,1364727,0.42460000000000003,3214207
2022-01-21,VAKRANGEE,41.55,42.35,40.0,40.55,1590752,0.45,3534802
2022-01-24,VAKRANGEE,41.9,41.9,38.15,38.7,1057431,0.39490000000000003,5031998
2022-01-25,VAKRANGEE,38.75,40.45,37.7,39.2,1121572,0.35240000000000005,3182656
2022-01-27,VAKRANGEE,38.1,39.6,38.1,39.0,937880,0.4274,2194543
2022-01-28,VAKRANGEE,39.3,40.25,39.0,39.25,777413,0.3965,1960660
2022-01-31,VAKRANGEE,39.7,40.65,39.2,39.4,1087691,0.4958,2193773
2022-02-01,VAKRANGEE,39.55,39.8,38.7,39.1,1275226,0.5574,2287738
2022-02-02,VAKRANGEE,39.4,39.75,39.05,39.5,865660,0.4839,1789102
2022-02-03,VAKRANGEE,39.6,39.75,38.95,39.15,787254,0.519,1516844
2022-02-04,VAKRANGEE,39.3,39.35,38.65,39.0,1434664,0.6415000000000001,2236441
2022-02-07,VAKRANGEE,39.0,39.25,38.1,38.2,1235926,0.6054,2041637
2022-02-08,VAKRANGEE,38.2,38.7,36.9,38.2,965796,0.4832,1998892
2022-02-09,VAKRANGEE,38.0,39.3,37.8,38.15,654096,0.401,1631013
2022-02-10,VAKRANGEE,38.25,38.35,37.6,37.7,793680,0.5622,1411824
2022-02-11,VAKRANGEE,37.4,37.5,36.75,36.85,1249170,0.7197,1735679
2022-02-14,VAKRANGEE,36.35,36.35,35.05,35.4,1331679,0.5793,2298655
2022-02-15,VAKRANGEE,35.9,36.1,34.55,35.7,911252,0.461,1976791
2022-02-16,VAKRANGEE,35.9,37.1,35.9,36.6,739370,0.4161,1776937
2022-02-17,VAKRANGEE,36.6,37.0,35.45,35.7,948696,0.579,1638508
2022-02-18,VAKRANGEE,35.6,35.7,34.9,35.05,758552,0.5995,1265248
2022-02-21,VAKRANGEE,35.0,35.1,33.8,34.05,881079,0.5227,1685729
2022-02-22,VAKRANGEE,32.75,33.6,32.7,32.9,1511664,0.605,2498553
2022-02-23,VAKRANGEE,32.8,34.2,32.8,33.6,928269,0.4119,2253357
2022-02-24,VAKRANGEE,32.0,32.5,29.55,30.0,1866851,0.5212,3581588
2022-02-25,VAKRANGEE,31.6,32.6,31.45,32.35,1772488,0.6186,2865223
2022-02-28,VAKRANGEE,32.4,32.4,30.65,31.3,2004126,0.5959000000000001,3363049
2022-03-02,VAKRANGEE,32.0,32.4,31.65,32.0,1439453,0.4947,2909639
2022-03-03,VAKRANGEE,32.1,32.65,31.9,32.25,1239981,0.5700000000000001,2175332
2022-03-04,VAKRANGEE,31.75,32.2,31.35,31.75,967891,0.5384000000000001,1797781
2022-03-07,VAKRANGEE,31.4,31.45,30.3,30.65,1405836,0.6233,2255445
2022-03-08,VAKRANGEE,30.45,31.4,30.4,30.9,1016902,0.5552,1831565
2022-03-09,VAKRANGEE,31.0,33.05,30.9,32.25,1642399,0.4922,3336858
2022-03-10,VAKRANGEE,33.25,33.65,32.15,32.6,854288,0.4421,1932449
2022-03-11,VAKRANGEE,32.65,33.1,32.2,32.6,908881,0.4707,1930894
2022-03-14,VAKRANGEE,32.95,33.05,31.35,31.6,4692522,0.7892,5946145
2022-03-15,VAKRANGEE,31.85,32.0,31.1,31.3,3894458,0.7615999999999999,5113601
2022-03-16,VAKRANGEE,31.5,31.85,31.2,31.5,5055877,0.8382,6031993
2022-03-17,VAKRANGEE,31.7,33.0,31.65,32.7,5811719,0.7708,7539739
2022-03-21,VAKRANGEE,33.25,33.35,32.0,32.15,1542529,0.6175,2498031
2022-03-22,VAKRANGEE,32.0,32.2,31.7,31.85,1796106,0.6391,2810509
2022-03-23,VAKRANGEE,32.0,32.05,31.0,31.2,1797673,0.6795,2645591
2022-03-24,VAKRANGEE,31.2,31.5,30.85,31.15,8289917,0.8778,9444041
2022-03-25,VAKRANGEE,31.2,31.4,30.75,31.0,8100891,0.8821,9183552
2022-03-28,VAKRANGEE,30.8,31.15,29.5,30.1,3408316,0.6114,5574539
2022-03-29,VAKRANGEE,30.1,30.4,28.9,29.25,3538520,0.6695000000000001,5285509
2022-03-30,VAKRANGEE,29.5,33.5,29.45,32.55,3927815,0.33299999999999996,11796155
2022-03-31,VAKRANGEE,33.4,35.25,32.35,34.7,4077014,0.2942,13858953
2022-04-01,VAKRANGEE,35.0,38.15,34.4,37.7,4265952,0.3165,13476856
2022-04-04,VAKRANGEE,37.25,39.35,36.6,37.45,3500831,0.37020000000000003,9457332
2022-04-05,VAKRANGEE,37.75,38.15,36.7,37.0,1689916,0.40700000000000003,4151988
2022-04-06,VAKRANGEE,37.0,37.3,36.05,36.3,1270833,0.3744,3393992
2022-04-07,VAKRANGEE,36.3,36.75,35.35,35.45,1067093,0.43229999999999996,2468390
2022-04-08,VAKRANGEE,35.6,36.1,35.35,35.45,701812,0.3934,1783875
2022-04-11,VAKRANGEE,35.5,35.7,34.7,34.85,1086244,0.5891,1843794
2022-04-12,VAKRANGEE,34.8,34.8,33.75,34.0,1317063,0.5602,2350980
2022-04-13,VAKRANGEE,34.4,39.2,34.4,37.7,5761052,0.2154,26739924
2022-04-18,VAKRANGEE,37.2,37.4,35.4,35.6,2410026,0.3301,7301032
2022-04-19,VAKRANGEE,35.9,36.9,35.0,35.4,1353672,0.2745,4931025
2022-04-20,VAKRANGEE,35.8,36.45,35.1,35.3,848079,0.2657,3191989
2022-04-21,VAKRANGEE,35.5,35.85,35.2,35.45,920769,0.43479999999999996,2117717
2022-04-22,VAKRANGEE,35.5,36.2,35.25,35.35,733786,0.3002,2444172
2022-04-25,VAKRANGEE,35.0,35.45,34.25,34.55,924702,0.42229999999999995,2189674
2022-04-26,VAKRANGEE,35.2,35.2,34.4,34.85,481952,0.3489,1381521
2022-04-27,VAKRANGEE,34.8,37.0,34.0,35.95,2521570,0.39549999999999996,6375200
2022-04-28,VAKRANGEE,36.35,37.0,35.65,36.65,2569472,0.5092,5046297
2022-04-29,VAKRANGEE,36.65,37.2,34.5,34.9,1515119,0.4878,3105995
2022-05-02,VAKRANGEE,34.4,35.15,34.1,34.65,418447,0.3069,1363330
2022-05-04,VAKRANGEE,34.95,35.4,33.7,34.15,693911,0.32920000000000005,2107863
2022-05-05,VAKRANGEE,34.5,35.7,34.5,35.15,1071628,0.4115,2603948
2022-05-06,VAKRANGEE,34.5,34.6,33.8,34.05,1723256,0.685,2515867
2022-05-09,VAKRANGEE,34.0,34.3,33.0,34.0,723816,0.39170000000000005,1847940
2022-05-10,VAKRANGEE,34.4,34.4,33.55,33.75,892578,0.4768,1872129
2022-05-11,VAKRANGEE,33.4,33.85,31.95,32.45,765057,0.386,1982142
2022-05-12,VAKRANGEE,32.3,32.5,31.3,31.45,812028,0.47240000000000004,1719051
2022-05-13,VAKRANGEE,31.7,32.6,31.4,31.75,1233636,0.4534,2720994
2022-05-16,VAKRANGEE,32.45,32.85,31.7,31.95,2711170,0.7115,3810325
2022-05-17,VAKRANGEE,31.95,32.4,31.7,32.0,1132368,0.568,1993614
2022-05-18,VAKRANGEE,32.2,32.3,31.15,31.4,1891997,0.6005,3150602
2022-05-19,VAKRANGEE,30.9,31.1,30.5,30.85,846623,0.5282,1602811
2022-05-20,VAKRANGEE,31.1,31.6,30.4,30.75,956748,0.441,2169262
2022-05-23,VAKRANGEE,30.9,31.4,30.1,30.3,1186517,0.5829,2035630
2022-05-24,VAKRANGEE,30.4,30.45,29.5,29.6,1137703,0.5287,2152044
2022-05-25,VAKRANGEE,29.8,30.2,28.15,28.5,1286532,0.47840000000000005,2689444
2022-05-26,VAKRANGEE,28.65,28.7,27.35,27.9,1343703,0.524,2564267
2022-05-27,VAKRANGEE,28.25,29.35,27.65,28.0,1473796,0.3883,3795879
2022-05-30,VAKRANGEE,28.5,28.65,27.9,28.15,2077847,0.659,3153097
2022-05-31,VAKRANGEE,28.05,29.4,27.85,28.6,6795208,0.7247,9376975
2022-06-01,VAKRANGEE,28.85,29.45,28.25,28.5,6318123,0.8116,7784680
2022-06-02,VAKRANGEE,28.5,28.5,27.8,28.05,5698211,0.7959,7159302
2022-06-03,VAKRANGEE,28.45,28.8,27.85,27.9,2096788,0.5707,3674281
2022-06-06,VAKRANGEE,28.0,28.0,27.55,27.65,662083,0.5092,1300196
2022-06-07,VAKRANGEE,27.65,27.7,26.75,26.85,1611563,0.6144,2623054
2022-06-08,VAKRANGEE,27.0,27.1,26.25,26.4,1506459,0.5743,2623128
2022-06-09,VAKRANGEE,26.4,26.4,26.1,26.2,1102066,0.6685,1648592
2022-06-10,VAKRANGEE,25.7,26.0,25.35,25.65,1320421,0.5142,2568130
2022-06-13,VAKRANGEE,25.4,25.4,24.8,24.9,965183,0.54,1787522
2022-06-14,VAKRANGEE,24.6,25.4,24.6,24.85,1141974,0.4048,2821340
2022-06-15,VAKRANGEE,24.9,25.2,24.75,24.85,1036092,0.5139,2016210
2022-06-16,VAKRANGEE,25.05,28.0,24.95,27.1,3607683,0.20829999999999999,17322404
2022-06-17,VAKRANGEE,27.1,27.4,25.75,26.0,1110855,0.2318,4792251
2022-06-20,VAKRANGEE,25.9,26.2,23.55,23.9,1385466,0.39060000000000006,3546817
2022-06-21,VAKRANGEE,24.5,24.7,23.85,24.3,1335586,0.3369,3964672
2022-06-22,VAKRANGEE,24.3,24.35,23.7,23.85,1038457,0.499,2081025
2022-06-23,VAKRANGEE,24.05,24.25,23.6,23.9,868637,0.6075,1936272
2022-06-24,VAKRANGEE,24.2,26.9,24.0,25.85,1834716,0.1535,11949796
2022-06-27,VAKRANGEE,26.5,26.6,25.65,25.95,1130412,0.4484,2521256
2022-06-28,VAKRANGEE,25.95,27.1,25.4,26.5,1247888,0.4472,2790371
2022-06-29,VAKRANGEE,26.1,27.65,25.5,27.35,1602916,0.35200000000000004,4553532
2022-06-30,VAKRANGEE,27.6,27.65,26.55,26.75,1779600,0.4535,3924302
2022-07-01,VAKRANGEE,26.75,27.5,26.15,26.75,973982,0.4121,2363491
2022-07-04,VAKRANGEE,26.85,27.4,26.7,27.15,2155116,0.44229999999999997,4872774
2022-07-05,VAKRANGEE,27.25,28.0,27.15,27.4,1936444,0.4414,4386576
2022-07-06,VAKRANGEE,27.4,27.7,26.95,27.2,1771215,0.4866,3640085
2022-07-07,VAKRANGEE,28.0,28.05,27.3,27.6,1506960,0.483,3120232
2022-07-08,VAKRANGEE,26.6,26.85,25.8,26.2,2015909,0.4118,4895263
2022-07-11,VAKRANGEE,26.15,26.45,25.35,26.3,628731,0.3175,1980369
2022-07-12,VAKRANGEE,26.2,30.6,26.2,29.8,5593375,0.2827,19788566
2022-07-13,VAKRANGEE,30.35,32.4,30.1,30.75,3496269,0.2126,16448179
2022-07-14,VAKRANGEE,30.95,31.25,29.1,29.75,1238677,0.2046,6053025
2022-07-15,VAKRANGEE,29.75,30.65,29.5,29.9,1369511,0.2459,5570357
2022-07-18,VAKRANGEE,30.4,30.45,29.75,29.95,817293,0.3232,2528529
2022-07-19,VAKRANGEE,29.95,30.1,29.65,29.75,889404,0.519,1713590
2022-07-20,VAKRANGEE,29.95,30.15,29.65,29.8,660237,0.4518,1461378
2022-07-21,VAKRANGEE,29.9,31.5,29.6,30.5,1519984,0.2958,5138569
2022-07-22,VAKRANGEE,30.8,30.9,30.0,30.1,730476,0.3822,1911243
2022-07-25,VAKRANGEE,29.9,30.0,29.1,29.15,586293,0.4326,1355313
