Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,VARDHACRLC,65.45,65.45,61.9,62.85,119909,0.5534,216689
2021-09-02,VARDHACRLC,63.8,67.75,63.3,65.45,174171,0.4521,385255
2021-09-03,VARDHACRLC,66.2,68.2,65.15,67.1,99138,0.4062,244088
2021-09-06,VARDHACRLC,67.8,68.5,66.25,66.85,106732,0.5813,183615
2021-09-07,VARDHACRLC,67.0,67.8,64.5,65.1,79772,0.48590000000000005,164182
2021-09-08,VARDHACRLC,65.9,71.1,65.9,69.35,324231,0.38020000000000004,852887
2021-09-09,VARDHACRLC,70.45,71.9,67.8,68.6,118286,0.5624,210341
2021-09-13,VARDHACRLC,68.5,68.85,66.5,67.05,98134,0.6212,157974
2021-09-14,VARDHACRLC,67.3,68.4,65.75,65.9,95577,0.6562,145646
2021-09-15,VARDHACRLC,66.5,68.9,64.8,67.3,121120,0.5474,221278
2021-09-16,VARDHACRLC,67.3,69.05,66.5,66.65,81230,0.6465000000000001,125639
2021-09-17,VARDHACRLC,66.6,66.8,63.8,65.7,143034,0.5740999999999999,249137
2021-09-20,VARDHACRLC,66.8,66.8,63.0,63.4,74562,0.618,120655
2021-09-21,VARDHACRLC,63.3,64.0,60.1,62.9,85531,0.536,159583
2021-09-22,VARDHACRLC,63.0,65.1,62.9,64.0,58189,0.5114,113791
2021-09-23,VARDHACRLC,64.85,65.8,63.0,63.25,94526,0.5452,173389
2021-09-24,VARDHACRLC,63.25,63.9,61.5,62.2,73689,0.6918000000000001,106511
2021-09-27,VARDHACRLC,63.4,63.4,61.5,62.65,62166,0.6535,95131
2021-09-28,VARDHACRLC,63.0,63.3,61.0,62.0,59673,0.6117,97553
2021-09-29,VARDHACRLC,62.15,63.45,61.5,62.8,45008,0.5287,85128
2021-09-30,VARDHACRLC,63.85,63.85,62.4,63.0,43734,0.5843,74854
2021-10-01,VARDHACRLC,62.85,64.1,62.8,62.95,40376,0.4927,81954
2021-10-04,VARDHACRLC,65.15,66.8,62.9,63.0,69769,0.5771000000000001,120904
2021-10-05,VARDHACRLC,63.0,66.5,62.7,65.55,156816,0.6367,246279
2021-10-06,VARDHACRLC,67.3,69.5,64.3,66.25,296052,0.5511,537169
2021-10-07,VARDHACRLC,67.5,69.0,65.35,67.45,152800,0.5759000000000001,265343
2021-10-08,VARDHACRLC,67.8,68.5,66.1,66.35,53473,0.5896,90697
2021-10-11,VARDHACRLC,66.9,67.6,65.55,65.9,77731,0.6365,122124
2021-10-12,VARDHACRLC,66.0,67.1,65.0,65.6,98537,0.6453,152693
2021-10-13,VARDHACRLC,66.0,67.15,64.9,65.3,130237,0.5073,256733
2021-10-14,VARDHACRLC,65.05,69.55,65.05,66.8,174791,0.6183,282695
2021-10-18,VARDHACRLC,68.6,70.2,66.05,67.7,225945,0.6526000000000001,346206
2021-10-19,VARDHACRLC,68.65,69.7,64.5,66.35,141270,0.6486,217823
2021-10-20,VARDHACRLC,66.9,72.5,64.75,69.45,594731,0.608,978220
2021-10-21,VARDHACRLC,70.7,71.7,69.5,70.0,115037,0.6423000000000001,179115
2021-10-22,VARDHACRLC,75.8,75.8,67.6,69.7,243820,0.5529999999999999,440892
2021-10-25,VARDHACRLC,83.6,83.6,75.1,80.25,1583956,0.44079999999999997,3593218
2021-10-26,VARDHACRLC,80.0,80.0,72.7,73.7,797780,0.5837,1366840
2021-10-27,VARDHACRLC,74.0,76.0,70.75,72.35,412745,0.611,675579
2021-10-28,VARDHACRLC,51.0,56.8,51.0,56.6,655820,0.533,1230356
2021-10-29,VARDHACRLC,56.6,56.6,51.65,52.15,205577,0.47159999999999996,435884
