Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,VARROC,285.0,291.75,285.0,289.65,32265,0.3936,81974
2021-09-02,VARROC,288.05,289.7,278.0,279.25,374737,0.7993000000000001,468812
2021-09-03,VARROC,281.9,284.85,279.5,280.7,50974,0.43700000000000006,116633
2021-09-06,VARROC,284.45,284.9,272.0,274.25,293161,0.8157,359416
2021-09-07,VARROC,276.5,279.4,270.05,277.7,55124,0.36229999999999996,152154
2021-09-08,VARROC,281.95,287.0,271.8,273.35,206914,0.5269,392704
2021-09-09,VARROC,275.0,279.3,271.8,273.6,83498,0.5065999999999999,164812
2021-09-13,VARROC,275.8,275.8,263.75,264.55,275283,0.6570999999999999,418940
2021-09-14,VARROC,267.9,267.9,260.0,260.9,318643,0.5948,535704
2021-09-15,VARROC,263.85,313.05,262.15,313.05,872049,0.2277,3830404
2021-09-16,VARROC,315.25,319.8,297.25,303.5,480899,0.3529,1362879
2021-09-17,VARROC,301.3,314.7,293.5,309.25,248030,0.2608,951151
2021-09-20,VARROC,305.2,307.95,298.0,298.95,160081,0.541,295887
2021-09-21,VARROC,302.1,302.4,293.2,296.75,80733,0.36450000000000005,221509
2021-09-22,VARROC,300.1,300.1,293.5,294.75,57600,0.4926,116931
2021-09-23,VARROC,295.5,307.9,293.55,294.85,286221,0.5924,483157
2021-09-24,VARROC,296.0,303.0,289.5,290.55,221181,0.6729,328683
2021-09-27,VARROC,292.8,303.0,283.1,294.85,872881,0.7454999999999999,1170833
2021-09-28,VARROC,296.95,304.8,294.05,294.95,101165,0.327,309333
2021-09-29,VARROC,291.05,301.25,291.05,294.8,57951,0.3159,183434
2021-09-30,VARROC,296.75,302.5,295.0,300.35,109675,0.583,188129
2021-10-01,VARROC,296.25,306.8,296.25,299.6,732301,0.7898000000000001,927151
2021-10-04,VARROC,299.5,303.0,298.0,299.05,68686,0.4754,144471
2021-10-05,VARROC,298.0,302.5,296.55,300.6,175801,0.5658,310704
2021-10-06,VARROC,300.6,302.5,294.15,294.8,65573,0.5966,109906
2021-10-07,VARROC,296.0,309.4,296.0,305.0,349539,0.5528000000000001,632350
2021-10-08,VARROC,309.0,311.65,304.05,306.8,188843,0.4965,380331
2021-10-11,VARROC,308.4,310.0,300.7,303.25,248041,0.6062,409188
2021-10-12,VARROC,304.4,304.9,298.05,299.55,83796,0.6043999999999999,138647
2021-10-13,VARROC,304.85,309.2,300.5,303.7,303674,0.5165,587922
2021-10-14,VARROC,305.0,308.95,305.0,306.5,120292,0.6036,199284
2021-10-18,VARROC,307.1,314.0,305.25,307.8,249549,0.6032000000000001,413731
2021-10-19,VARROC,310.0,310.95,294.0,297.55,801232,0.8569,934992
2021-10-20,VARROC,299.9,299.9,292.5,293.95,59378,0.4669,127181
2021-10-21,VARROC,306.5,333.5,300.25,309.25,708735,0.1984,3572719
2021-10-22,VARROC,310.7,313.5,301.1,302.25,147855,0.41950000000000004,352432
2021-10-25,VARROC,305.95,306.45,295.0,295.4,80701,0.4917,164130
2021-10-26,VARROC,298.65,303.95,296.3,298.5,54060,0.40590000000000004,133181
2021-10-27,VARROC,298.5,306.7,295.25,297.05,80877,0.4335,186552
2021-10-28,VARROC,298.95,301.9,288.05,289.7,74194,0.4705,157692
2021-10-29,VARROC,292.0,297.3,285.2,294.25,56560,0.391,144640
2021-11-01,VARROC,295.0,299.75,291.0,292.55,65200,0.5312,122742
2021-11-02,VARROC,295.0,296.85,291.05,292.05,52370,0.5015999999999999,104402
2021-11-03,VARROC,292.05,295.15,283.8,284.7,100014,0.43100000000000005,232035
2021-11-04,VARROC,285.5,296.65,285.5,295.0,57681,0.6848000000000001,84225
2021-11-08,VARROC,296.6,299.0,286.05,286.95,201293,0.5802,346927
2021-11-09,VARROC,290.0,293.6,288.9,291.05,45898,0.31510000000000005,145649
2021-11-10,VARROC,292.0,294.85,285.5,286.45,143183,0.5001,286318
2021-11-11,VARROC,286.0,289.5,283.75,284.85,123489,0.6683,184781
2021-11-12,VARROC,282.0,289.6,277.25,280.0,448024,0.6003000000000001,746353
2021-11-15,VARROC,280.05,282.35,275.0,276.4,57267,0.5628000000000001,101753
2021-11-16,VARROC,277.5,299.4,277.5,293.85,558970,0.36090000000000005,1548704
2021-11-17,VARROC,286.5,318.0,286.05,311.45,526517,0.2837,1855797
2021-11-18,VARROC,316.9,318.0,305.55,314.75,219426,0.331,662939
2021-11-22,VARROC,317.0,317.65,294.0,296.6,246420,0.4608,534710
2021-11-23,VARROC,291.5,303.75,290.0,300.05,82619,0.35979999999999995,229617
2021-11-24,VARROC,301.0,306.95,296.0,297.85,63505,0.3607,176075
2021-11-25,VARROC,299.0,305.4,295.0,303.35,63952,0.4267,149887
2021-11-26,VARROC,301.1,301.75,291.8,295.1,132079,0.6028,219122
2021-11-29,VARROC,292.0,294.75,281.0,290.15,75827,0.4853,156262
2021-11-30,VARROC,294.0,299.0,289.45,295.05,51801,0.5559000000000001,93179
2021-12-01,VARROC,294.0,304.0,287.8,294.0,74662,0.2854,261613
2021-12-02,VARROC,294.0,300.0,294.0,298.45,56336,0.5078,110934
2021-12-03,VARROC,298.0,303.5,295.0,295.65,62676,0.5715,109669
2021-12-06,VARROC,295.9,298.65,284.05,285.2,169483,0.672,252197
2021-12-07,VARROC,287.2,304.75,287.2,300.85,94677,0.1607,589194
2021-12-08,VARROC,303.0,313.9,300.7,311.2,182265,0.4583,397680
2021-12-09,VARROC,307.0,329.8,305.55,325.1,340265,0.21120000000000003,1611249
2021-12-10,VARROC,329.0,337.5,323.1,332.5,208420,0.273,763335
2021-12-13,VARROC,332.5,339.7,316.8,335.9,261414,0.3473,752716
2021-12-14,VARROC,339.0,351.9,334.8,348.7,475764,0.3915,1215386
2021-12-15,VARROC,350.0,351.4,338.75,344.4,218631,0.3386,645669
2021-12-16,VARROC,344.0,349.0,325.3,330.45,105145,0.3779,278259
2021-12-17,VARROC,336.8,336.8,315.55,330.75,189418,0.39880000000000004,474921
2021-12-20,VARROC,327.15,328.55,295.0,300.0,189427,0.3753,504780
2021-12-21,VARROC,305.0,314.65,302.05,312.3,53129,0.27899999999999997,190409
2021-12-22,VARROC,315.95,322.95,314.05,319.35,56179,0.35479999999999995,158323
2021-12-23,VARROC,320.0,325.2,316.0,318.85,57040,0.37590000000000007,151757
2021-12-24,VARROC,323.0,323.0,308.0,311.5,32086,0.32939999999999997,97420
2021-12-27,VARROC,310.0,319.8,308.5,317.15,25896,0.3119,83026
2021-12-28,VARROC,321.0,331.95,319.0,329.15,110295,0.4857,227080
2021-12-29,VARROC,331.7,331.7,317.0,319.45,42017,0.42110000000000003,99790
2021-12-30,VARROC,316.0,325.15,315.25,322.95,32429,0.3262,99422
2021-12-31,VARROC,322.95,334.8,321.3,332.35,90750,0.5292,171486
2022-01-03,VARROC,342.7,345.0,335.7,340.6,143975,0.3787,380169
2022-01-04,VARROC,343.95,376.0,343.95,365.3,713869,0.1718,4155375
2022-01-05,VARROC,367.9,380.0,365.45,373.3,437171,0.2883,1516144
2022-01-06,VARROC,369.95,371.9,362.7,365.0,182871,0.37770000000000004,484181
2022-01-07,VARROC,369.4,379.8,366.4,370.95,166175,0.2938,565702
2022-01-10,VARROC,373.0,375.0,363.7,368.3,204582,0.20260000000000003,1009877
2022-01-11,VARROC,367.7,397.5,365.05,395.15,631673,0.3028,2086293
2022-01-12,VARROC,400.0,446.95,397.0,421.4,1209126,0.1714,7054828
2022-01-13,VARROC,424.9,456.0,415.4,445.45,613760,0.1451,4231050
2022-01-14,VARROC,440.0,458.0,433.85,446.4,358642,0.1783,2011378
2022-01-17,VARROC,446.5,451.8,434.1,443.25,280865,0.2656,1057428
2022-01-18,VARROC,441.25,450.75,428.55,443.85,295748,0.2845,1039676
2022-01-19,VARROC,443.85,453.0,427.1,430.25,211947,0.4017,527612
2022-01-20,VARROC,430.25,438.9,424.95,427.7,128350,0.4201,305505
2022-01-21,VARROC,423.0,438.65,418.0,421.35,107098,0.3245,329997
2022-01-24,VARROC,421.1,426.55,376.5,385.5,92932,0.2934,687350
2022-01-25,VARROC,380.0,407.0,372.0,401.65,91828,0.2619,350664
2022-01-27,VARROC,397.0,418.9,392.2,401.7,115455,0.3401,339472
2022-01-28,VARROC,405.0,419.9,396.2,401.45,72595,0.36200000000000004,200536
2022-01-31,VARROC,402.1,413.8,397.0,399.0,346537,0.8053,430303
2022-02-01,VARROC,404.75,410.0,387.6,395.3,72933,0.3546,205698
2022-02-02,VARROC,397.2,429.0,397.2,422.15,173773,0.3694,470391
2022-02-03,VARROC,429.5,433.5,421.45,428.0,195561,0.37920000000000004,515715
2022-02-04,VARROC,429.0,433.0,411.25,414.7,97124,0.4448,218375
2022-02-07,VARROC,419.0,422.0,408.2,420.2,124846,0.5057,246870
2022-02-08,VARROC,421.0,423.45,405.2,417.5,58096,0.3546,163835
2022-02-09,VARROC,420.0,426.0,397.55,408.45,78044,0.5032,155089
2022-02-10,VARROC,408.5,417.1,406.1,415.4,64795,0.38420000000000004,168651
2022-02-11,VARROC,415.0,421.0,392.8,400.2,94154,0.4723,199337
2022-02-14,VARROC,382.0,399.9,376.1,378.35,101986,0.4742,215049
2022-02-15,VARROC,373.0,403.5,349.35,395.7,269667,0.35369999999999996,762404
2022-02-16,VARROC,396.8,399.85,371.8,376.75,137229,0.42560000000000003,322438
2022-02-17,VARROC,380.05,386.85,366.0,373.85,93289,0.32030000000000003,291255
2022-02-18,VARROC,372.0,381.9,371.35,376.15,95192,0.3872,245837
2022-02-21,VARROC,378.0,379.05,365.5,366.55,46675,0.368,126838
2022-02-22,VARROC,350.0,373.95,345.0,368.55,247341,0.39909999999999995,619735
2022-02-23,VARROC,371.0,380.3,368.0,374.85,225971,0.584,386945
2022-02-24,VARROC,352.0,368.9,338.55,362.95,245058,0.44310000000000005,553108
2022-02-25,VARROC,376.95,377.0,360.1,365.3,91998,0.41500000000000004,221659
2022-02-28,VARROC,363.4,366.4,353.7,355.9,79229,0.314,252321
2022-03-02,VARROC,350.0,359.85,335.75,339.3,141240,0.4832,292321
2022-03-03,VARROC,350.7,355.0,325.0,326.25,170493,0.4144,411396
2022-03-04,VARROC,319.8,328.0,310.05,312.75,99451,0.3704,268492
2022-03-07,VARROC,307.0,307.95,285.5,289.75,183085,0.5001,366115
2022-03-08,VARROC,286.0,306.0,286.0,304.25,108742,0.2934,370593
2022-03-09,VARROC,312.0,325.7,305.65,322.9,72901,0.3009,242310
2022-03-10,VARROC,331.7,332.75,315.7,322.45,125800,0.4045,310978
2022-03-11,VARROC,322.0,331.0,318.05,328.1,112158,0.4645,241471
2022-03-14,VARROC,329.0,330.0,320.1,324.85,51820,0.4117,125863
2022-03-15,VARROC,326.0,328.0,314.8,322.2,50513,0.3395,148803
2022-03-16,VARROC,324.0,329.0,321.75,326.55,69132,0.43479999999999996,158984
2022-03-17,VARROC,329.45,336.15,328.95,333.25,91046,0.4322,210680
2022-03-21,VARROC,333.25,337.0,316.0,318.25,147664,0.49700000000000005,297126
2022-03-22,VARROC,319.0,319.7,303.0,316.0,83333,0.2829,294579
2022-03-23,VARROC,313.15,332.9,313.15,325.15,114092,0.29850000000000004,382272
2022-03-24,VARROC,320.0,328.0,319.25,326.15,64665,0.4429,145989
2022-03-25,VARROC,327.0,329.15,318.3,319.9,92196,0.5894,156435
2022-03-28,VARROC,323.0,333.5,315.6,330.3,108089,0.4693,230305
2022-03-29,VARROC,332.0,339.45,325.0,337.55,127631,0.48100000000000004,265343
2022-03-30,VARROC,345.0,346.0,336.2,340.5,68303,0.35450000000000004,192667
2022-03-31,VARROC,340.5,349.9,340.5,345.75,93161,0.5243,177698
2022-04-01,VARROC,348.0,382.0,345.75,369.55,207472,0.3332,622667
2022-04-04,VARROC,374.5,383.2,368.65,374.35,139725,0.4164,335583
2022-04-05,VARROC,375.0,377.8,368.0,372.25,88693,0.5584,158824
2022-04-06,VARROC,374.95,376.0,363.9,368.65,175931,0.6288,279807
2022-04-07,VARROC,369.0,372.0,361.6,366.0,62720,0.4798,130720
2022-04-08,VARROC,375.0,412.0,366.95,398.9,840851,0.2396,3509167
2022-04-11,VARROC,401.0,421.0,391.0,403.5,251711,0.22460000000000002,1120636
2022-04-12,VARROC,401.0,401.25,383.0,389.85,202602,0.36700000000000005,552022
