Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,VASWANI,11.75,12.15,11.75,12.0,5254,0.7558,6952
2021-09-02,VASWANI,12.15,12.15,11.6,11.65,16762,0.7152,23437
2021-09-03,VASWANI,11.7,12.0,11.65,11.85,5379,0.6406999999999999,8396
2021-09-06,VASWANI,12.4,12.4,11.6,11.65,17555,0.7432,23621
2021-09-07,VASWANI,11.9,11.9,11.6,11.6,16431,0.9845,16690
2021-09-08,VASWANI,12.35,12.35,11.55,12.0,9070,0.38060000000000005,23828
2021-09-09,VASWANI,11.65,12.0,11.3,11.75,35161,0.6032000000000001,58287
2021-09-13,VASWANI,12.0,12.15,11.5,12.05,12211,0.4128,29584
2021-09-14,VASWANI,11.8,12.15,11.8,12.1,13241,0.7698999999999999,17199
2021-09-15,VASWANI,12.0,12.1,11.7,12.1,21174,0.7327,28898
2021-09-16,VASWANI,12.05,12.1,11.8,11.8,12107,0.7626000000000001,15876
2021-09-17,VASWANI,12.0,12.05,11.5,11.65,16090,0.5785,27814
2021-09-20,VASWANI,11.9,12.0,11.35,11.85,7358,0.2871,25627
2021-09-21,VASWANI,11.9,11.9,11.3,11.6,7628,0.4269,17869
2021-09-22,VASWANI,11.75,11.85,11.45,11.6,30202,0.6181,48859
2021-09-23,VASWANI,11.75,11.75,11.3,11.55,28188,0.8245,34187
2021-09-24,VASWANI,11.55,11.8,11.35,11.65,49117,0.6196,79267
2021-09-27,VASWANI,11.6,11.7,10.9,11.1,37367,0.8340000000000001,44807
2021-09-28,VASWANI,11.1,11.4,11.0,11.25,7324,0.7633,9595
2021-09-29,VASWANI,11.65,11.65,11.05,11.45,27127,0.7107,38171
2021-09-30,VASWANI,11.6,11.6,11.25,11.45,11192,0.6142000000000001,18223
2021-10-01,VASWANI,11.3,11.55,11.3,11.45,12826,0.7406,17319
2021-10-04,VASWANI,11.6,11.6,11.0,11.55,20699,0.5471,37835
2021-10-05,VASWANI,11.6,11.6,11.2,11.45,12276,0.46990000000000004,26123
2021-10-06,VASWANI,11.45,11.55,11.0,11.4,25528,0.6656000000000001,38351
2021-10-07,VASWANI,11.45,13.65,11.45,13.65,153884,0.5423,283784
2021-10-08,VASWANI,14.0,14.5,12.55,13.2,137971,0.6074,227144
2021-10-11,VASWANI,13.05,13.75,13.0,13.3,29084,0.5921000000000001,49118
2021-10-12,VASWANI,13.45,13.5,11.6,13.0,68647,0.47869999999999996,143413
2021-10-13,VASWANI,13.05,15.6,13.05,15.6,339906,0.5217,651537
2021-10-14,VASWANI,16.0,18.3,15.65,17.95,587520,0.3597,1633301
2021-10-18,VASWANI,19.85,19.85,18.55,18.8,295257,0.6537999999999999,451606
2021-10-19,VASWANI,19.0,19.4,17.0,17.65,187585,0.5870000000000001,319573
2021-10-20,VASWANI,18.35,18.35,16.5,17.15,67808,0.5831000000000001,116279
2021-10-21,VASWANI,17.5,17.5,15.85,16.8,52732,0.6808,77461
2021-10-22,VASWANI,16.8,17.3,16.2,16.55,51783,0.7108,72855
2021-10-25,VASWANI,16.6,17.5,15.5,16.2,34355,0.48369999999999996,71021
2021-10-26,VASWANI,16.25,16.7,15.9,16.15,38765,0.7806000000000001,49662
