Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,VIKASECO,2.2,2.2,2.1,2.1,2907489,0.3186,9125796
2021-09-02,VIKASECO,2.1,2.1,2.0,2.0,11029419,0.5814,18970191
2021-09-03,VIKASECO,2.0,2.05,1.95,2.0,3210179,0.6962999999999999,4610591
2021-09-06,VIKASECO,2.05,2.05,2.0,2.05,1244513,0.7168000000000001,1736200
2021-09-07,VIKASECO,2.05,2.15,2.0,2.15,6342468,0.6239,10165044
2021-09-08,VIKASECO,2.2,2.25,2.1,2.15,3239841,0.5702,5682133
2021-09-09,VIKASECO,2.15,2.2,2.1,2.15,1598703,0.3539,4517912
2021-09-13,VIKASECO,2.15,2.2,2.1,2.1,1890271,0.7768,2433289
2021-09-14,VIKASECO,2.1,2.2,2.1,2.2,5498120,0.5999,9164644
2021-09-15,VIKASECO,2.2,2.25,2.15,2.15,2861569,0.7483,3823970
2021-09-16,VIKASECO,2.15,2.2,2.1,2.1,1332578,0.4573,2913886
2021-09-17,VIKASECO,2.1,2.15,2.05,2.1,3319731,0.7703,4309683
2021-09-20,VIKASECO,2.05,2.1,2.0,2.05,2240313,0.6352000000000001,3526758
2021-09-21,VIKASECO,2.05,2.1,2.0,2.0,1827888,0.6131000000000001,2981272
2021-09-22,VIKASECO,2.05,2.1,2.0,2.1,3323460,0.7726000000000001,4301381
2021-09-23,VIKASECO,2.2,2.2,2.1,2.2,5699844,0.5514,10336290
2021-09-24,VIKASECO,2.2,2.3,2.2,2.2,3832747,0.5047,7594068
2021-09-27,VIKASECO,2.25,2.25,2.15,2.15,2272401,0.8865000000000001,2563297
2021-09-28,VIKASECO,2.2,2.2,2.05,2.15,2547586,0.3085,8257173
2021-09-29,VIKASECO,2.15,2.15,2.1,2.1,1014613,0.3947,2570431
2021-09-30,VIKASECO,2.15,2.15,2.05,2.05,2114503,0.4816,4390823
2021-10-01,VIKASECO,2.1,2.15,2.05,2.1,1560107,0.6273,2487159
2021-10-04,VIKASECO,2.1,2.15,2.1,2.15,1755971,0.6152000000000001,2854334
2021-10-05,VIKASECO,2.15,2.15,2.05,2.05,7051872,0.7394,9537524
2021-10-06,VIKASECO,2.1,2.1,2.0,2.05,2850229,0.5922999999999999,4811862
2021-10-07,VIKASECO,2.05,2.1,2.05,2.05,1714892,0.8014,2139969
2021-10-08,VIKASECO,2.1,2.15,2.05,2.1,2710442,0.6069,4465686
2021-10-11,VIKASECO,2.1,2.15,2.1,2.1,1925362,0.7827,2459822
2021-10-12,VIKASECO,2.15,2.15,2.05,2.1,2110611,0.7345999999999999,2873073
2021-10-13,VIKASECO,2.15,2.15,2.0,2.05,4133346,0.6546,6314437
2021-10-14,VIKASECO,2.05,2.25,2.05,2.1,7773630,0.4755,16349820
2021-10-18,VIKASECO,2.15,2.25,2.15,2.2,6807123,0.6401000000000001,10634101
2021-10-19,VIKASECO,2.25,2.4,2.2,2.2,5357529,0.47240000000000004,11341983
2021-10-20,VIKASECO,2.25,2.3,2.1,2.1,4588791,0.7248,6331468
2021-10-21,VIKASECO,2.15,2.2,2.1,2.1,2866118,0.5288,5420493
2021-10-22,VIKASECO,2.1,2.15,2.05,2.1,1986153,0.6066,3274117
2021-10-25,VIKASECO,2.15,2.15,2.0,2.05,4453914,0.5261,8465840
2021-10-26,VIKASECO,2.05,2.1,2.0,2.05,5297895,0.7493000000000001,7070448
2021-10-27,VIKASECO,2.05,2.1,2.0,2.05,3947674,0.7384999999999999,5345539
2021-10-28,VIKASECO,2.1,2.1,2.0,2.0,1587879,0.5892000000000001,2694873
2021-10-29,VIKASECO,2.05,2.05,1.95,2.0,2103347,0.7054,2981636
2021-11-01,VIKASECO,2.05,2.05,2.0,2.0,2384988,0.6962,3425873
2021-11-02,VIKASECO,2.0,2.05,1.95,2.0,2170203,0.6432,3373818
2021-11-03,VIKASECO,2.0,2.0,1.95,1.95,1570660,0.7705,2038460
2021-11-04,VIKASECO,2.0,2.05,1.95,2.05,1231537,0.6934,1776123
2021-11-08,VIKASECO,2.05,2.15,2.05,2.1,3744261,0.5825,6427576
2021-11-09,VIKASECO,2.05,2.1,2.0,2.0,2536166,0.6678000000000001,3797950
2021-11-10,VIKASECO,2.05,2.1,2.0,2.05,3534423,0.5095000000000001,6936446
2021-11-11,VIKASECO,2.05,2.1,2.0,2.05,1590744,0.7141,2227688
2021-11-12,VIKASECO,2.05,2.1,2.0,2.05,1498246,0.6901,2171045
2021-11-15,VIKASECO,2.0,2.05,2.0,2.0,1537814,0.6948000000000001,2213302
2021-11-16,VIKASECO,2.05,2.05,2.0,2.0,1414276,0.7737,1828054
2021-11-17,VIKASECO,2.05,2.15,2.0,2.1,4360461,0.6492,6717153
2021-11-18,VIKASECO,2.15,2.3,2.1,2.3,14772871,0.7162000000000001,20627803
2021-11-22,VIKASECO,2.5,2.5,2.45,2.5,8220340,0.8616,9540672
