Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,VIPULLTD,33.6,33.6,32.2,33.45,5232,0.9501999999999999,5506
2021-09-02,VIPULLTD,32.8,35.1,32.35,34.9,19907,0.6022,33055
2021-09-03,VIPULLTD,36.25,36.5,34.9,36.1,20223,0.7128,28373
2021-09-06,VIPULLTD,34.65,37.65,34.3,36.55,17923,0.8522,21031
2021-09-07,VIPULLTD,37.3,37.85,34.75,34.9,13050,0.7222,18071
2021-09-08,VIPULLTD,33.55,36.6,33.55,34.15,13255,0.7824,16942
2021-09-09,VIPULLTD,32.85,35.5,32.85,35.1,74739,0.9641,77521
2021-09-13,VIPULLTD,35.8,36.35,33.35,33.35,20803,0.7383,28177
2021-09-14,VIPULLTD,32.05,33.8,32.05,32.25,11107,0.7070000000000001,15711
2021-09-15,VIPULLTD,32.25,32.65,30.65,30.85,39190,0.9067000000000001,43223
2021-09-16,VIPULLTD,30.05,31.9,29.45,31.25,12940,0.7945000000000001,16287
2021-09-17,VIPULLTD,31.9,31.9,30.1,30.8,5622,0.7003,8028
2021-09-20,VIPULLTD,32.0,32.0,29.6,30.4,5108,0.7554000000000001,6762
2021-09-21,VIPULLTD,31.4,31.4,29.0,29.2,12498,0.7134,17519
2021-09-22,VIPULLTD,30.25,30.65,28.2,30.65,6099,0.7004,8708
2021-09-23,VIPULLTD,31.95,32.15,31.0,31.45,7416,0.7081000000000001,10473
2021-09-24,VIPULLTD,29.95,31.3,29.95,30.05,11624,0.664,17507
2021-09-27,VIPULLTD,30.95,31.35,29.0,29.4,6159,0.7147,8618
2021-09-28,VIPULLTD,29.0,30.55,29.0,29.95,2091,0.7268000000000001,2877
2021-09-29,VIPULLTD,29.95,30.8,29.95,30.5,2650,0.9044,2930
2021-09-30,VIPULLTD,31.5,31.5,29.8,30.3,2073,0.7190000000000001,2883
2021-10-01,VIPULLTD,29.15,30.55,28.85,29.5,11217,0.7145,15699
2021-10-04,VIPULLTD,28.95,30.45,28.95,29.6,4728,0.6642,7118
2021-10-05,VIPULLTD,30.75,30.75,29.2,29.55,6089,0.8924,6823
2021-10-06,VIPULLTD,30.1,30.1,28.45,29.0,12947,0.7973,16238
2021-10-07,VIPULLTD,28.95,29.85,28.55,28.8,11524,0.7395999999999999,15582
2021-10-08,VIPULLTD,29.7,29.95,28.8,29.65,7699,0.7254,10614
2021-10-11,VIPULLTD,30.8,30.8,29.3,29.75,2957,0.6231,4746
2021-10-12,VIPULLTD,30.95,30.95,29.7,29.9,9205,0.9490000000000001,9700
2021-10-13,VIPULLTD,30.9,31.0,29.8,30.0,9682,0.79,12256
2021-10-14,VIPULLTD,29.5,30.85,29.5,30.05,3171,0.5512,5753
2021-10-18,VIPULLTD,29.05,31.3,29.05,29.8,16720,0.7467,22391
2021-10-19,VIPULLTD,30.4,30.4,28.6,28.75,52809,0.951,55528
2021-10-20,VIPULLTD,29.85,29.85,27.35,27.9,12244,0.7442000000000001,16452
2021-10-21,VIPULLTD,29.15,29.15,27.5,27.5,2938,0.9320999999999999,3152
2021-10-22,VIPULLTD,28.7,28.7,27.7,28.4,1892,0.7532,2512
2021-10-25,VIPULLTD,29.4,29.4,27.4,27.85,7717,0.8323,9272
2021-10-26,VIPULLTD,29.0,29.0,26.65,27.35,2559,0.6546,3909
2021-10-27,VIPULLTD,27.0,28.0,26.65,27.55,2182,0.5893,3703
2021-10-28,VIPULLTD,28.7,28.7,26.4,26.95,5019,0.6803,7378
2021-10-29,VIPULLTD,26.85,27.85,26.1,26.65,2177,0.7073,3078
2021-11-01,VIPULLTD,26.15,27.8,26.15,27.75,5142,0.7587,6777
2021-11-02,VIPULLTD,28.65,28.75,27.2,28.0,2456,0.6301,3898
2021-11-03,VIPULLTD,26.65,28.9,26.6,27.65,6971,0.6111,11407
2021-11-04,VIPULLTD,28.8,29.0,28.8,29.0,125139,0.9934999999999999,125960
2021-11-08,VIPULLTD,30.0,30.0,28.1,28.8,22667,0.5795,39117
2021-11-09,VIPULLTD,28.2,28.85,27.7,27.9,28633,0.9048,31644
2021-11-10,VIPULLTD,28.65,28.7,26.8,28.35,15844,0.4867,32557
2021-11-11,VIPULLTD,28.35,29.05,27.5,27.65,50677,0.9356,54164
2021-11-12,VIPULLTD,28.5,28.5,27.35,27.65,3441,0.5155,6675
2021-11-15,VIPULLTD,28.2,28.2,26.4,26.5,26284,0.6343,41439
2021-11-16,VIPULLTD,27.0,27.1,25.85,26.35,6810,0.6253000000000001,10891
2021-11-17,VIPULLTD,26.0,26.75,25.55,25.8,6674,0.8956000000000001,7452
2021-11-18,VIPULLTD,26.0,26.3,24.9,25.15,8538,0.8523999999999999,10017
2021-11-22,VIPULLTD,25.15,25.15,24.4,24.6,8010,0.8691,9216
2021-11-23,VIPULLTD,25.5,25.7,23.55,25.35,9853,0.7998000000000001,12319
2021-11-24,VIPULLTD,26.45,26.45,24.6,24.8,12492,0.6078,20553
2021-11-25,VIPULLTD,24.7,25.75,24.7,25.35,8517,0.7875,10815
2021-11-26,VIPULLTD,25.35,25.65,24.4,24.75,7112,0.8890000000000001,8000
