Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,VMART,3638.0,3759.75,3595.3,3623.75,14647,0.3332,43963
2021-09-02,VMART,3665.0,3800.0,3620.0,3642.55,31443,0.3154,99681
2021-09-03,VMART,3650.0,3705.0,3553.0,3595.75,11425,0.4512,25321
2021-09-06,VMART,3645.0,3718.0,3555.0,3572.45,37777,0.7334,51509
2021-09-07,VMART,3611.0,3625.0,3531.0,3541.2,11559,0.5085000000000001,22730
2021-09-08,VMART,3560.0,3590.95,3487.55,3534.95,12131,0.513,23645
2021-09-09,VMART,3583.95,3583.95,3442.0,3475.3,21537,0.604,35656
2021-09-13,VMART,3518.0,3519.95,3411.0,3473.95,15514,0.6418,24173
2021-09-14,VMART,3473.0,3499.0,3430.0,3451.6,15376,0.6637000000000001,23167
2021-09-15,VMART,3469.0,3520.35,3433.35,3494.65,28534,0.7556,37761
2021-09-16,VMART,3514.9,3594.9,3447.0,3494.35,12152,0.39170000000000005,31027
2021-09-17,VMART,3520.0,3551.95,3401.35,3423.45,13879,0.49670000000000003,27943
2021-09-20,VMART,3421.95,3475.5,3389.2,3404.7,5882,0.42,14005
2021-09-21,VMART,3419.0,3449.0,3307.15,3426.45,7702,0.4274,18020
2021-09-22,VMART,3426.45,3497.0,3388.85,3461.05,26459,0.6013000000000001,44006
2021-09-23,VMART,3478.4,3775.0,3462.95,3589.45,24537,0.3386,72471
2021-09-24,VMART,3685.0,3685.0,3509.0,3535.7,18711,0.5819,32155
2021-09-27,VMART,3552.0,3599.95,3482.0,3496.55,4244,0.4048,10483
2021-09-28,VMART,3529.0,3566.1,3492.05,3510.8,3390,0.37939999999999996,8934
2021-09-29,VMART,3475.0,3579.45,3474.7,3523.7,4645,0.37939999999999996,12242
2021-09-30,VMART,3541.35,3580.0,3519.25,3549.3,7595,0.49570000000000003,15323
2021-10-01,VMART,3567.05,3719.0,3529.55,3654.65,20421,0.3455,59104
2021-10-04,VMART,3739.0,3749.95,3640.05,3699.45,11176,0.3865,28917
2021-10-05,VMART,3699.45,3860.0,3699.45,3807.0,18230,0.329,55405
2021-10-06,VMART,3840.0,3940.0,3656.0,3722.35,18347,0.3049,60174
2021-10-07,VMART,3725.0,3963.0,3725.0,3809.9,10664,0.4391,24286
2021-10-08,VMART,3849.0,3856.9,3747.6,3802.95,6295,0.49840000000000007,12630
2021-10-11,VMART,3825.5,3924.6,3815.6,3873.35,17623,0.6169,28567
2021-10-12,VMART,3879.0,3992.4,3861.3,3958.9,9524,0.4872,19550
2021-10-13,VMART,3958.9,4290.0,3940.95,4199.8,22215,0.1728,128546
2021-10-14,VMART,4199.8,4396.0,4199.8,4325.65,30395,0.4204,72302
2021-10-18,VMART,4397.5,4564.0,4311.6,4496.6,13969,0.2757,50669
2021-10-19,VMART,4525.0,4525.0,4251.0,4430.0,18129,0.43060000000000004,42099
2021-10-20,VMART,4381.0,4429.45,4061.9,4115.3,64399,0.7656000000000001,84114
2021-10-21,VMART,4060.0,4144.7,4060.0,4128.65,5130,0.355,14450
2021-10-22,VMART,4150.0,4198.0,3982.6,4003.45,3266,0.35960000000000003,9082
2021-10-25,VMART,4023.5,4177.9,3810.0,3840.25,5327,0.3189,16705
2021-10-26,VMART,3849.85,4080.0,3825.0,4038.2,4263,0.2614,16308
2021-10-27,VMART,4040.0,4186.85,4020.0,4040.6,8818,0.3358,26260
2021-10-28,VMART,4060.85,4177.9,4003.45,4052.7,6025,0.2659,22663
2021-10-29,VMART,4052.7,4180.0,3920.0,4062.1,5210,0.2407,21644
2021-11-01,VMART,4149.95,4149.95,3964.55,4010.6,12494,0.4715,26498
2021-11-02,VMART,4030.7,4069.45,3960.6,4018.1,16622,0.5173,32132
2021-11-03,VMART,4069.95,4125.0,3974.25,4064.4,19254,0.43060000000000004,44711
2021-11-04,VMART,4149.8,4149.8,4015.5,4038.1,1050,0.3086,3402
2021-11-08,VMART,4089.95,4098.55,3990.55,4042.75,53322,0.8414,63376
2021-11-09,VMART,4054.0,4148.0,4023.0,4100.5,20904,0.5363,38977
2021-11-10,VMART,4119.8,4260.0,4091.2,4216.35,22742,0.5826,39037
2021-11-11,VMART,4237.45,4848.8,4216.35,4261.85,15278,0.20600000000000002,74163
2021-11-12,VMART,4296.85,4394.0,4171.3,4340.5,7875,0.2439,32290
2021-11-15,VMART,4380.0,4380.0,4270.1,4298.35,7023,0.4476,15689
2021-11-16,VMART,4299.9,4350.0,4185.5,4206.85,33048,0.8434999999999999,39181
2021-11-17,VMART,4214.0,4254.95,4140.05,4168.9,9036,0.6425,14064
2021-11-18,VMART,4173.6,4173.6,4021.0,4075.4,6453,0.4823,13379
2021-11-22,VMART,4030.0,4094.3,3905.55,3999.15,7461,0.5007,14901
2021-11-23,VMART,3926.0,4046.6,3910.35,3942.65,21121,0.7637,27656
2021-11-24,VMART,3979.95,4036.0,3911.15,3962.25,3629,0.47740000000000005,7601
2021-11-25,VMART,3924.05,4010.95,3890.05,3971.0,9997,0.5531,18073
2021-11-26,VMART,3944.9,3949.75,3798.0,3832.8,8615,0.6767000000000001,12730
2021-11-29,VMART,3775.0,3832.0,3625.1,3695.95,9829,0.4606,21341
2021-11-30,VMART,3710.0,4019.35,3710.0,3947.65,9646,0.373,25863
2021-12-01,VMART,3910.05,3998.0,3812.0,3861.95,2674,0.2716,9845
2021-12-02,VMART,3881.3,4000.0,3860.0,3955.85,3518,0.2211,15914
2021-12-03,VMART,3969.0,4014.05,3824.05,3854.9,7368,0.4672,15772
2021-12-06,VMART,3899.9,3899.9,3711.0,3735.4,59672,0.9239,64584
2021-12-07,VMART,3754.1,3800.0,3695.0,3784.65,5971,0.4403,13561
2021-12-08,VMART,3787.9,3811.6,3770.0,3788.45,2185,0.4217,5181
2021-12-09,VMART,3799.0,3819.05,3681.0,3706.55,5755,0.5690999999999999,10112
2021-12-10,VMART,3716.5,3770.0,3605.55,3640.3,6425,0.4439,14473
2021-12-13,VMART,3713.15,3770.3,3589.2,3607.95,87677,0.8511,103020
2021-12-14,VMART,3620.0,3650.0,3575.05,3623.5,4242,0.46340000000000003,9155
2021-12-15,VMART,3595.05,3650.0,3595.05,3626.55,4100,0.4391,9338
2021-12-16,VMART,3626.55,3715.2,3601.0,3647.35,30023,0.663,45282
2021-12-17,VMART,3647.35,3649.2,3547.0,3562.45,4728,0.4661,10144
2021-12-20,VMART,3580.3,3580.3,3385.05,3449.25,25591,0.6827,37484
2021-12-21,VMART,3466.6,3518.0,3382.65,3461.8,19397,0.48610000000000003,39904
2021-12-22,VMART,3472.0,3619.2,3468.45,3578.35,2730,0.23120000000000002,11806
2021-12-23,VMART,3578.35,3685.45,3533.1,3594.65,9874,0.49210000000000004,20063
2021-12-24,VMART,3570.0,3619.0,3540.0,3578.45,6648,0.4336,15333
2021-12-27,VMART,3541.0,3625.0,3540.3,3579.6,3071,0.4642,6615
2021-12-28,VMART,3597.5,3663.0,3597.5,3633.25,3093,0.5229,5915
2021-12-29,VMART,3585.1,3750.0,3585.1,3699.0,12236,0.44170000000000004,27700
2021-12-30,VMART,3662.0,3760.0,3572.05,3627.8,9985,0.4968,20098
2021-12-31,VMART,3675.0,3785.0,3631.65,3735.2,11387,0.5061,22500
2022-01-03,VMART,3730.0,3753.85,3676.0,3705.15,2391,0.45170000000000005,5293
2022-01-04,VMART,3706.2,3745.0,3690.05,3714.85,1888,0.3284,5749
2022-01-05,VMART,3730.0,3800.0,3683.15,3766.45,2738,0.4497,6088
2022-01-06,VMART,3766.0,3766.0,3700.0,3732.85,2572,0.42369999999999997,6071
2022-01-07,VMART,3702.0,3798.0,3702.0,3775.65,2846,0.42710000000000004,6664
2022-01-10,VMART,3839.9,3849.0,3696.9,3789.15,4031,0.3945,10218
2022-01-11,VMART,3849.95,3920.0,3711.9,3892.5,6247,0.4197,14883
2022-01-12,VMART,3910.0,3977.0,3792.35,3889.1,7396,0.4632,15968
2022-01-13,VMART,3899.5,3995.0,3830.05,3872.9,7673,0.4415,17378
2022-01-14,VMART,3906.0,3970.0,3836.05,3941.35,29986,0.888,33768
2022-01-17,VMART,3970.0,4023.45,3920.0,3983.15,2184,0.4739,4609
2022-01-18,VMART,3999.0,4144.0,3965.5,4071.3,38741,0.6347,61038
2022-01-19,VMART,4002.0,4151.0,3965.5,4089.4,3285,0.4058,8096
2022-01-20,VMART,4051.0,4090.3,3969.5,3992.45,3569,0.5239,6812
2022-01-21,VMART,3992.45,4100.0,3820.05,3964.05,6198,0.45310000000000006,13678
2022-01-24,VMART,3983.9,4064.05,3677.75,3850.0,5449,0.4843,24942
2022-01-25,VMART,3868.0,3889.35,3680.0,3773.05,5645,0.41850000000000004,13490
2022-01-27,VMART,3752.5,3839.75,3650.0,3687.8,3155,0.45659999999999995,6910
2022-01-28,VMART,3690.05,3857.75,3672.05,3765.8,2321,0.3249,7144
2022-01-31,VMART,3759.0,3798.7,3701.35,3762.6,8809,0.713,12355
2022-02-01,VMART,3795.0,3815.95,3725.0,3764.55,2012,0.4286,4694
2022-02-02,VMART,3763.0,3794.0,3710.0,3743.9,18772,0.7984,23513
2022-02-03,VMART,3733.6,3783.0,3680.0,3708.85,1885,0.4045,4660
2022-02-04,VMART,3708.85,3787.05,3700.0,3750.2,4132,0.43770000000000003,9440
2022-02-07,VMART,3720.25,3759.15,3651.35,3668.9,2764,0.5373,5144
2022-02-08,VMART,3677.0,3748.2,3641.35,3663.1,4244,0.4405,9634
2022-02-09,VMART,3672.9,3704.95,3615.4,3683.15,4234,0.6013000000000001,7041
2022-02-10,VMART,3683.15,3719.85,3657.15,3693.45,3198,0.687,4655
2022-02-11,VMART,3700.0,3726.35,3550.0,3582.95,8961,0.5055,17726
2022-02-14,VMART,3581.0,3582.9,3400.0,3418.95,5761,0.5684,10136
2022-02-15,VMART,3428.1,3550.5,3423.7,3510.75,3421,0.44770000000000004,7641
2022-02-16,VMART,3528.35,3684.0,3420.15,3479.05,19595,0.5174000000000001,37873
2022-02-17,VMART,3496.45,3562.6,3479.0,3505.4,23541,0.8151,28881
2022-02-18,VMART,3505.0,3564.1,3480.0,3496.0,3606,0.625,5770
2022-02-21,VMART,3445.0,3554.95,3368.85,3504.05,8931,0.6163000000000001,14491
2022-02-22,VMART,3434.0,3630.0,3401.0,3440.65,8920,0.40280000000000005,22146
2022-02-23,VMART,3430.0,3503.95,3380.0,3396.9,5904,0.5181,11395
2022-02-24,VMART,3330.0,3405.8,3200.0,3306.75,11333,0.5362,21134
2022-02-25,VMART,3362.0,3485.55,3362.0,3444.2,2652,0.41990000000000005,6316
2022-02-28,VMART,3460.0,3460.0,3355.6,3409.5,11761,0.8099,14522
2022-03-02,VMART,3400.0,3520.55,3357.15,3402.55,4337,0.40299999999999997,10762
2022-03-03,VMART,3436.3,3560.05,3301.05,3400.55,455109,0.9569,475588
2022-03-04,VMART,3479.0,3500.0,3349.9,3395.95,2558,0.2779,9204
2022-03-07,VMART,3300.05,3525.0,3288.65,3434.6,15928,0.6301,25280
2022-03-08,VMART,3434.6,3599.9,3430.0,3482.8,19441,0.8285,23466
2022-03-09,VMART,3500.25,3675.05,3500.0,3577.0,3071,0.4393,6990
2022-03-10,VMART,3654.3,3691.15,3640.0,3651.8,12684,0.6704000000000001,18921
2022-03-11,VMART,3705.95,3705.95,3602.45,3642.65,1267,0.4546,2787
2022-03-14,VMART,3642.65,3870.0,3585.1,3836.2,6319,0.4092,15444
2022-03-15,VMART,3874.25,3930.0,3750.0,3792.75,9363,0.5982999999999999,15649
2022-03-16,VMART,3811.75,3944.0,3784.6,3813.7,9142,0.7086,12901
2022-03-17,VMART,3836.0,3881.6,3728.05,3842.9,3437,0.4401,7810
2022-03-21,VMART,3820.0,3871.9,3781.05,3832.95,2032,0.3498,5809
2022-03-22,VMART,3850.0,3858.6,3751.1,3785.05,1378,0.47340000000000004,2911
2022-03-23,VMART,3804.0,3862.0,3639.65,3670.7,6457,0.4511,14315
2022-03-24,VMART,3720.0,3763.8,3675.6,3756.9,2149,0.2982,7207
2022-03-25,VMART,3749.0,3814.0,3701.0,3744.55,2242,0.39530000000000004,5671
2022-03-28,VMART,3808.0,3816.1,3705.1,3733.55,4852,0.44380000000000003,10934
2022-03-29,VMART,3750.0,3789.95,3695.0,3731.55,4706,0.5548,8483
2022-03-30,VMART,3750.0,3865.35,3737.25,3789.4,10403,0.4369,23813
2022-03-31,VMART,3806.0,4036.45,3789.5,3966.3,54322,0.6583,82519
2022-04-01,VMART,3930.0,3930.0,3820.65,3841.45,24925,0.7158,34822
2022-04-04,VMART,3865.0,3918.15,3810.5,3836.65,5498,0.41130000000000005,13366
2022-04-05,VMART,3836.65,3853.15,3742.0,3785.55,8828,0.49700000000000005,17761
2022-04-06,VMART,3784.9,3785.55,3650.0,3659.55,13009,0.46140000000000003,28197
2022-04-07,VMART,3688.0,3708.95,3598.0,3607.75,15326,0.4685,32713
2022-04-08,VMART,3615.0,3644.6,3541.0,3560.1,44792,0.7382,60678
2022-04-11,VMART,3588.0,3588.0,3500.0,3512.1,12690,0.619,20501
2022-04-12,VMART,3528.0,3555.0,3456.75,3485.6,14641,0.5874,24924
2022-04-13,VMART,3539.0,3539.0,3405.0,3416.9,7732,0.5219,14816
2022-04-18,VMART,3381.0,3435.05,3304.95,3342.25,9994,0.5025999999999999,19884
2022-04-19,VMART,3370.0,3411.9,3317.8,3367.3,21781,0.7870999999999999,27672
2022-04-20,VMART,3384.15,3420.0,3326.0,3350.85,20699,0.6813,30383
2022-04-21,VMART,3367.65,3420.0,3310.0,3315.85,6984,0.6037,11568
2022-04-22,VMART,3319.0,3400.0,3280.0,3347.3,17264,0.5974,28898
2022-04-25,VMART,3347.3,3374.8,3260.3,3313.05,8671,0.537,16146
2022-04-26,VMART,3350.0,3370.0,3250.05,3278.45,56358,0.9127,61747
2022-04-27,VMART,3278.45,3290.0,3148.05,3199.2,27160,0.7439,36512
2022-04-28,VMART,3215.2,3295.0,3151.0,3250.45,15255,0.6523000000000001,23388
2022-04-29,VMART,3280.0,3348.0,3171.75,3219.3,13907,0.5401,25749
2022-05-02,VMART,3265.0,3265.0,3101.0,3134.0,9106,0.5696,15988
2022-05-04,VMART,3133.95,3149.7,2973.0,3016.35,19891,0.5739,34658
2022-05-05,VMART,3025.05,3125.0,2985.4,3060.9,6914,0.4244,16293
2022-05-06,VMART,3015.0,3051.15,2948.0,2971.2,5900,0.48340000000000005,12204
2022-05-09,VMART,2971.0,3049.0,2890.05,3026.95,26978,0.7184999999999999,37546
2022-05-10,VMART,3044.0,3288.2,2955.25,3060.5,6941,0.2372,29262
2022-05-11,VMART,3075.85,3093.95,2900.0,2912.7,6892,0.4692,14690
2022-05-12,VMART,2900.0,2956.0,2823.05,2925.95,17758,0.7028,25267
2022-05-13,VMART,2998.9,3013.15,2878.8,2971.3,5108,0.3347,15263
2022-05-16,VMART,2971.3,3049.95,2912.6,2947.85,4585,0.48240000000000005,9504
2022-05-17,VMART,2925.0,3071.8,2925.0,2989.4,3018,0.3351,9006
2022-05-18,VMART,2990.0,3080.0,2972.95,2998.0,5406,0.5283,10232
2022-05-19,VMART,2930.0,3050.0,2922.35,3009.5,4490,0.444,10113
2022-05-20,VMART,3024.55,3145.0,3024.55,3064.55,16965,0.6919,24519
2022-05-23,VMART,3079.9,3349.8,3055.35,3316.45,15640,0.22219999999999998,70389
2022-05-24,VMART,3300.0,3316.45,3220.0,3230.8,3552,0.2807,12655
2022-05-25,VMART,3205.0,3350.0,3110.9,3277.3,3734,0.2303,16216
2022-05-26,VMART,3225.0,3350.0,3164.05,3279.6,4798,0.2633,18220
2022-05-27,VMART,3360.0,3433.45,3291.45,3337.1,5523,0.4508,12251
2022-05-30,VMART,3403.75,3416.55,3274.8,3296.5,6656,0.5827,11422
2022-05-31,VMART,3313.0,3349.0,3270.0,3275.85,1762,0.3626,4860
2022-06-01,VMART,3292.25,3355.0,3260.0,3323.85,3860,0.5395000000000001,7155
2022-06-02,VMART,3359.95,3359.95,3225.0,3242.1,3308,0.4818,6866
2022-06-03,VMART,3251.0,3286.6,3077.05,3106.95,3866,0.3811,10144
2022-06-06,VMART,3144.05,3197.95,2875.0,2900.0,18405,0.4941,37248
2022-06-07,VMART,2914.5,2994.65,2900.0,2922.3,2743,0.1576,17403
2022-06-08,VMART,2966.15,2966.15,2877.0,2912.5,1844,0.3713,4967
2022-06-09,VMART,2881.0,2925.55,2830.0,2876.15,3845,0.4205,9143
2022-06-10,VMART,2885.0,2885.0,2792.3,2804.6,3383,0.4302,7864
2022-06-13,VMART,2810.0,2899.0,2639.1,2765.3,8831,0.2436,36246
2022-06-14,VMART,2774.0,2843.15,2701.15,2793.05,3052,0.3136,9731
