Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,VSTTILLERS,2596.0,2604.7,2445.95,2456.95,14840,0.4078,36392
2021-09-02,VSTTILLERS,2489.0,2527.0,2411.0,2427.3,14265,0.4424,32244
2021-09-03,VSTTILLERS,2474.9,2670.0,2447.45,2651.4,25041,0.3619,69186
2021-09-06,VSTTILLERS,2669.9,2751.45,2621.0,2642.65,13875,0.3691,37588
2021-09-07,VSTTILLERS,2755.0,2899.0,2750.0,2791.8,40237,0.16640000000000002,241814
2021-09-08,VSTTILLERS,2844.0,2895.0,2763.8,2835.6,29973,0.4243,70649
2021-09-09,VSTTILLERS,2835.6,2835.6,2740.0,2753.05,9488,0.5155,18404
2021-09-13,VSTTILLERS,2799.9,2799.9,2717.05,2726.5,5984,0.47909999999999997,12490
2021-09-14,VSTTILLERS,2732.0,2773.75,2635.2,2676.1,8159,0.4299,18980
2021-09-15,VSTTILLERS,2689.8,2759.35,2656.05,2680.85,4890,0.392,12475
2021-09-16,VSTTILLERS,2695.8,2712.75,2601.3,2621.8,9001,0.5544,16236
2021-09-17,VSTTILLERS,2645.0,2645.0,2566.95,2615.9,10435,0.5152,20256
2021-09-20,VSTTILLERS,2630.0,2697.65,2406.65,2550.2,6056,0.2588,23400
2021-09-21,VSTTILLERS,2555.0,2594.75,2481.2,2561.6,8080,0.5015999999999999,16107
2021-09-22,VSTTILLERS,2600.0,2719.9,2575.0,2706.1,14126,0.46630000000000005,30295
2021-09-23,VSTTILLERS,2731.6,2760.0,2685.0,2691.75,8769,0.5305,16530
2021-09-24,VSTTILLERS,2700.0,2745.0,2665.0,2684.05,5360,0.48340000000000005,11089
2021-09-27,VSTTILLERS,2642.2,2744.75,2642.2,2689.45,4200,0.4422,9499
2021-09-28,VSTTILLERS,2702.9,2723.0,2610.0,2641.15,4445,0.5135000000000001,8656
2021-09-29,VSTTILLERS,2641.0,2675.0,2611.0,2664.55,3009,0.5132,5863
2021-09-30,VSTTILLERS,2664.55,2727.4,2614.05,2693.2,6091,0.5936,10261
2021-10-01,VSTTILLERS,2727.0,2962.5,2682.5,2962.5,58889,0.40240000000000004,146330
2021-10-04,VSTTILLERS,2978.95,3258.75,2917.0,2960.6,46698,0.256,182383
2021-10-05,VSTTILLERS,2955.0,3087.0,2857.0,2880.75,29370,0.40890000000000004,71820
2021-10-06,VSTTILLERS,2900.0,2959.0,2820.0,2854.55,5486,0.2921,18783
2021-10-07,VSTTILLERS,2910.0,3079.85,2910.0,3020.95,23721,0.40159999999999996,59071
2021-10-08,VSTTILLERS,3030.0,3259.1,2979.65,3181.4,33741,0.3983,84715
2021-10-11,VSTTILLERS,3220.0,3399.8,3216.1,3354.7,23974,0.4654,51512
