Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,VTL,1848.0,1848.0,1790.0,1820.5,19182,0.4572,41959
2021-09-02,VTL,1829.65,1879.0,1829.65,1868.05,27256,0.3597,75767
2021-09-03,VTL,1874.0,1962.0,1842.1,1929.2,98970,0.4707,210277
2021-09-06,VTL,1995.0,2010.0,1961.05,1980.65,85750,0.39049999999999996,219577
2021-09-07,VTL,1998.0,2024.0,1943.6,1989.75,61860,0.38799999999999996,159421
2021-09-08,VTL,2001.0,2024.0,1980.0,1988.05,67251,0.4457,150903
2021-09-09,VTL,1998.8,1998.8,1925.0,1945.8,51054,0.49090000000000006,104010
2021-09-13,VTL,1944.0,1972.1,1901.35,1922.3,27355,0.49479999999999996,55281
2021-09-14,VTL,1934.9,1950.0,1894.1,1914.2,22561,0.484,46611
2021-09-15,VTL,1927.0,1929.85,1881.45,1889.3,35241,0.5996,58776
2021-09-16,VTL,1881.0,1943.45,1859.35,1868.8,30976,0.5065999999999999,61141
2021-09-17,VTL,1859.95,1920.05,1831.0,1911.9,96088,0.7069,135927
2021-09-20,VTL,1888.8,1940.0,1835.35,1851.05,27033,0.44229999999999997,61123
2021-09-21,VTL,1847.0,1859.0,1752.45,1801.9,46920,0.4547,103190
2021-09-22,VTL,1805.0,1837.95,1780.0,1808.05,26106,0.3859,67649
2021-09-23,VTL,1818.0,1841.05,1792.0,1815.05,33382,0.5837,57186
2021-09-24,VTL,1817.0,1830.0,1780.0,1800.75,21555,0.5813,37080
2021-09-27,VTL,1790.0,1824.3,1790.0,1815.3,25780,0.5441,47380
2021-09-28,VTL,1824.0,1853.4,1800.0,1813.0,20560,0.6087,33776
2021-09-29,VTL,1818.0,1818.0,1771.75,1785.1,13437,0.5086999999999999,26414
2021-09-30,VTL,1792.0,1875.0,1790.0,1852.4,28689,0.3754,76426
2021-10-01,VTL,1841.0,1867.75,1829.35,1838.25,13080,0.42110000000000003,31060
2021-10-04,VTL,1847.0,1890.0,1830.0,1859.15,18527,0.5126,36146
2021-10-05,VTL,1862.0,1915.0,1851.05,1893.25,27393,0.4079,67148
2021-10-06,VTL,1898.9,1975.0,1893.75,1938.25,72087,0.506,142474
2021-10-07,VTL,1955.6,1964.45,1912.8,1931.15,20882,0.4979,41936
2021-10-08,VTL,1938.0,1975.0,1910.3,1941.45,26685,0.5304,50308
2021-10-11,VTL,1948.95,1995.0,1925.0,1953.3,52613,0.30760000000000004,171054
2021-10-12,VTL,1958.8,2115.0,1936.05,2103.2,215795,0.31579999999999997,683304
2021-10-13,VTL,2140.0,2147.85,2022.0,2040.6,97320,0.43060000000000004,225984
2021-10-14,VTL,2050.0,2080.55,2020.0,2033.05,38893,0.4844,80287
2021-10-18,VTL,2058.0,2081.0,2021.75,2033.95,31006,0.4853,63887
2021-10-19,VTL,2050.0,2075.0,1885.0,1920.7,54058,0.4202,128657
2021-10-20,VTL,1922.0,1922.0,1835.0,1867.25,44614,0.5242,85109
2021-10-21,VTL,1870.0,1906.0,1842.0,1863.6,75638,0.5922,127713
2021-10-22,VTL,1855.0,1877.05,1776.85,1798.25,32837,0.549,59815
