Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,WEBELSOLAR,65.5,66.85,64.0,65.35,58161,0.596,97589
2021-09-02,WEBELSOLAR,65.95,66.0,64.0,65.1,87507,0.7312000000000001,119681
2021-09-03,WEBELSOLAR,66.25,68.0,65.35,67.75,192690,0.6651,289715
2021-09-06,WEBELSOLAR,69.0,73.8,68.1,71.4,304393,0.5326,571555
2021-09-07,WEBELSOLAR,74.9,74.9,66.4,66.8,313926,0.5761000000000001,544888
2021-09-08,WEBELSOLAR,66.5,68.3,65.4,66.05,136328,0.6114,222983
2021-09-09,WEBELSOLAR,66.7,67.0,65.3,66.2,72162,0.5938,121534
2021-09-13,WEBELSOLAR,66.7,72.4,65.6,68.35,222885,0.3834,581392
2021-09-14,WEBELSOLAR,69.3,69.8,67.75,69.25,114894,0.5126,224148
2021-09-15,WEBELSOLAR,70.2,70.2,68.25,69.15,74388,0.5564,133706
2021-09-16,WEBELSOLAR,68.1,69.75,67.6,68.15,104272,0.7033,148252
2021-09-17,WEBELSOLAR,69.0,69.45,65.25,66.05,135999,0.6567000000000001,207096
2021-09-20,WEBELSOLAR,66.0,67.9,64.0,64.75,74882,0.5964,125547
2021-09-21,WEBELSOLAR,65.65,66.0,63.0,65.1,421718,0.8538,493929
2021-09-22,WEBELSOLAR,66.25,67.5,64.8,65.4,102916,0.6198,166035
2021-09-23,WEBELSOLAR,65.4,66.65,65.05,65.15,61201,0.6754000000000001,90615
2021-09-24,WEBELSOLAR,65.9,66.1,63.4,63.55,86577,0.642,134846
2021-09-27,WEBELSOLAR,63.55,64.4,61.55,62.2,109541,0.7635,143463
2021-09-28,WEBELSOLAR,68.0,68.4,66.3,68.05,1545359,0.4692,3293874
2021-09-29,WEBELSOLAR,67.3,67.95,65.5,65.8,307179,0.5268,583119
2021-09-30,WEBELSOLAR,66.35,68.2,65.2,65.6,205320,0.5461,375973
2021-10-01,WEBELSOLAR,65.5,65.55,63.45,64.3,145376,0.6327,229759
2021-10-04,WEBELSOLAR,65.0,66.0,63.6,64.25,178853,0.6332,282478
2021-10-05,WEBELSOLAR,64.0,65.0,63.6,63.8,166533,0.6369,261492
2021-10-06,WEBELSOLAR,64.45,65.0,63.0,63.6,123908,0.6183,200392
2021-10-07,WEBELSOLAR,64.95,69.55,64.65,67.15,390782,0.4786,816535
2021-10-08,WEBELSOLAR,67.6,67.9,64.15,65.5,160147,0.43590000000000007,367365
2021-10-11,WEBELSOLAR,68.0,78.6,66.2,78.3,1127867,0.4042,2790259
2021-10-12,WEBELSOLAR,79.25,87.95,77.9,84.6,930885,0.3741,2488414
2021-10-13,WEBELSOLAR,86.0,90.0,85.0,86.2,454746,0.4191,1085100
2021-10-14,WEBELSOLAR,87.95,88.0,80.2,81.3,446757,0.584,765052
2021-10-18,WEBELSOLAR,82.2,84.2,78.0,79.8,367381,0.6022,610018
2021-10-19,WEBELSOLAR,81.9,83.0,77.4,78.65,258399,0.5536,466797
2021-10-20,WEBELSOLAR,78.5,79.15,73.4,74.85,303569,0.6204,489297
2021-10-21,WEBELSOLAR,75.15,76.95,72.55,73.7,180154,0.6570999999999999,274185
2021-10-22,WEBELSOLAR,75.0,78.7,74.2,76.05,158171,0.584,270863
2021-10-25,WEBELSOLAR,79.8,79.8,73.25,73.75,150335,0.5139,292544
2021-10-26,WEBELSOLAR,74.5,77.7,73.95,75.65,146501,0.495,295953
2021-10-27,WEBELSOLAR,76.3,81.9,75.75,78.3,219283,0.4817,455233
2021-10-28,WEBELSOLAR,78.3,79.35,75.0,76.1,124010,0.5413,229115
2021-10-29,WEBELSOLAR,76.55,77.8,73.15,75.2,93887,0.4156,225891
2021-11-01,WEBELSOLAR,75.9,78.85,75.6,77.6,99366,0.5381,184651
2021-11-02,WEBELSOLAR,78.35,84.9,74.55,77.5,457671,0.4072,1123983
2021-11-03,WEBELSOLAR,78.0,78.8,75.55,76.0,161333,0.5352,301470
2021-11-04,WEBELSOLAR,76.8,82.2,76.4,79.95,269209,0.6675,403300
2021-11-08,WEBELSOLAR,83.0,83.2,78.85,79.3,256933,0.6598999999999999,389322
2021-11-09,WEBELSOLAR,79.8,81.5,78.1,78.75,153182,0.5505,278278
2021-11-10,WEBELSOLAR,78.5,80.7,77.7,78.2,116487,0.5839,199507
2021-11-11,WEBELSOLAR,78.2,78.6,76.65,77.5,83982,0.5715,146962
2021-11-12,WEBELSOLAR,77.9,78.6,77.1,77.5,62750,0.5172,121333
2021-11-15,WEBELSOLAR,78.8,78.8,75.2,75.95,97806,0.6222,157198
2021-11-16,WEBELSOLAR,76.9,76.9,75.0,75.55,79320,0.5889,134689
2021-11-17,WEBELSOLAR,74.65,78.0,74.65,75.5,100730,0.5099,197533
2021-11-18,WEBELSOLAR,76.6,76.6,72.2,72.8,152312,0.5615,271279
2021-11-22,WEBELSOLAR,73.8,73.8,68.1,69.75,174817,0.5552,314872
2021-11-23,WEBELSOLAR,70.0,73.6,69.5,73.05,102404,0.5918,173024
2021-11-24,WEBELSOLAR,74.7,76.9,72.35,75.35,126935,0.5171,245458
2021-11-25,WEBELSOLAR,77.0,77.9,75.15,76.45,87161,0.5053,172479
2021-11-26,WEBELSOLAR,76.0,76.3,71.5,72.55,112030,0.5047,221965
2021-11-29,WEBELSOLAR,71.15,71.9,66.5,69.45,123850,0.4282,289231
2021-11-30,WEBELSOLAR,70.0,72.85,69.05,69.95,78930,0.4965,158986
2021-12-01,WEBELSOLAR,71.0,71.0,68.25,69.45,73348,0.5551,132142
2021-12-02,WEBELSOLAR,69.1,71.7,69.1,71.0,42722,0.4484,95285
2021-12-03,WEBELSOLAR,71.45,73.45,71.0,71.7,65173,0.466,139850
2021-12-06,WEBELSOLAR,72.2,72.6,69.35,69.8,55339,0.4825,114686
2021-12-07,WEBELSOLAR,70.35,72.9,70.35,71.35,68289,0.5265,129693
2021-12-08,WEBELSOLAR,71.9,74.1,71.8,73.15,91344,0.5733,159335
2021-12-09,WEBELSOLAR,74.0,74.85,71.5,72.05,98846,0.5902000000000001,167479
2021-12-10,WEBELSOLAR,72.25,84.4,71.75,80.55,483323,0.4333,1115365
2021-12-13,WEBELSOLAR,82.0,84.9,78.6,79.25,438837,0.554,792171
2021-12-14,WEBELSOLAR,78.75,87.5,77.5,84.35,766229,0.47259999999999996,1621214
2021-12-15,WEBELSOLAR,84.2,84.8,82.25,82.7,318011,0.5307999999999999,599086
2021-12-16,WEBELSOLAR,83.65,99.2,83.6,97.85,2297542,0.31920000000000004,7197286
2021-12-17,WEBELSOLAR,98.45,113.3,94.5,100.45,2115485,0.2295,9219656
2021-12-20,WEBELSOLAR,99.0,108.5,87.4,102.9,911617,0.2998,3041072
2021-12-21,WEBELSOLAR,104.9,111.6,99.5,103.65,598654,0.4026,1487044
2021-12-22,WEBELSOLAR,104.1,107.4,100.1,100.75,385154,0.5059,761277
2021-12-23,WEBELSOLAR,103.0,103.45,96.0,96.9,390948,0.5428000000000001,720278
2021-12-24,WEBELSOLAR,97.85,103.9,95.45,100.05,436801,0.37450000000000006,1166495
2021-12-27,WEBELSOLAR,100.95,119.9,99.55,118.6,1461510,0.3592,4069266
2021-12-28,WEBELSOLAR,123.0,129.2,106.75,123.25,1082573,0.3515,3079941
2021-12-29,WEBELSOLAR,125.05,135.55,125.05,135.55,880021,0.4123,2134600
2021-12-30,WEBELSOLAR,149.1,149.1,141.55,149.1,935822,0.5218,1793345
2021-12-31,WEBELSOLAR,153.4,156.55,152.1,156.55,413186,0.7419,556901
2022-01-03,WEBELSOLAR,164.35,164.35,162.05,164.35,260636,0.8586,303552
2022-01-04,WEBELSOLAR,172.55,172.55,156.15,156.15,983120,0.4796,2049757
2022-01-05,WEBELSOLAR,148.35,148.35,148.35,148.35,156556,0.9995999999999999,156619
2022-01-06,WEBELSOLAR,140.95,155.75,140.95,142.05,1568638,0.28350000000000003,5532530
2022-01-07,WEBELSOLAR,147.15,149.15,143.0,149.15,589864,0.5107,1154898
2022-01-10,WEBELSOLAR,156.0,156.6,154.1,156.6,268759,0.6716,400189
2022-01-11,WEBELSOLAR,164.0,164.0,148.8,148.9,1012990,0.5226,1938202
2022-01-12,WEBELSOLAR,148.9,149.85,141.5,141.55,532549,0.5807,917096
2022-01-13,WEBELSOLAR,140.0,147.95,137.1,142.95,318104,0.5311,598972
2022-01-14,WEBELSOLAR,141.0,144.7,138.1,139.1,319261,0.5927,538641
2022-01-17,WEBELSOLAR,140.0,146.05,140.0,146.05,274238,0.7147,383716
2022-01-18,WEBELSOLAR,152.4,153.35,145.0,146.1,553186,0.44700000000000006,1237457
2022-01-19,WEBELSOLAR,148.9,148.9,140.0,141.95,320149,0.5935,539393
2022-01-20,WEBELSOLAR,144.5,147.35,142.0,145.3,181266,0.5258,344759
2022-01-21,WEBELSOLAR,145.3,146.9,138.05,140.05,213983,0.5487,389951
2022-01-24,WEBELSOLAR,142.0,142.9,133.05,133.05,231529,0.4842,341724
2022-01-25,WEBELSOLAR,130.35,137.95,126.4,131.6,247207,0.46140000000000003,535799
2022-01-27,WEBELSOLAR,129.0,132.85,126.95,131.15,182739,0.5768,316837
2022-01-28,WEBELSOLAR,133.9,137.7,133.8,137.7,149376,0.7745000000000001,192857
2022-01-31,WEBELSOLAR,142.8,142.95,135.3,135.85,232879,0.6058,384399
2022-02-01,WEBELSOLAR,139.0,142.6,135.6,142.6,259273,0.41960000000000003,617865
