Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,WIPRO,643.8,647.35,635.25,642.05,1463441,0.3097,4725222
2021-09-02,WIPRO,645.0,657.0,640.75,651.45,1490861,0.3285,4538778
2021-09-03,WIPRO,653.0,656.7,649.5,655.1,1361968,0.3608,3774970
2021-09-06,WIPRO,656.65,688.7,656.65,686.45,2124815,0.1722,12338416
2021-09-07,WIPRO,690.0,690.0,672.75,674.25,1420797,0.2218,6406109
2021-09-08,WIPRO,675.4,675.4,660.0,662.2,3235033,0.4817,6716231
2021-09-09,WIPRO,660.9,664.55,654.0,662.35,2194059,0.3779,5805730
2021-09-13,WIPRO,662.35,671.85,657.85,670.75,2283624,0.4086,5588789
2021-09-14,WIPRO,671.0,675.7,670.0,673.45,1503357,0.4106,3661338
2021-09-15,WIPRO,674.0,680.55,670.0,674.05,1446052,0.34880000000000005,4145416
2021-09-16,WIPRO,679.75,680.75,665.0,667.85,1649625,0.3542,4657846
2021-09-17,WIPRO,671.4,674.4,662.75,665.25,2672030,0.4941,5407781
2021-09-20,WIPRO,657.75,670.5,653.4,662.5,1272354,0.2799,4546430
2021-09-21,WIPRO,660.5,669.0,657.1,667.6,1221378,0.33159999999999995,3683551
2021-09-22,WIPRO,669.0,674.5,663.0,668.15,1960337,0.40909999999999996,4791652
2021-09-23,WIPRO,672.9,677.0,671.4,674.3,1382422,0.4278,3231293
2021-09-24,WIPRO,680.5,699.15,675.0,676.5,2866017,0.23629999999999998,12126588
2021-09-27,WIPRO,678.05,678.35,651.0,653.9,3577553,0.42590000000000006,8399082
2021-09-28,WIPRO,653.9,653.9,635.25,639.6,3725545,0.45920000000000005,8112462
2021-09-29,WIPRO,629.95,646.5,627.35,640.75,4067336,0.4601,8839566
2021-09-30,WIPRO,638.75,646.75,632.55,634.1,3013234,0.501,6013959
2021-10-01,WIPRO,634.8,639.75,630.2,636.25,1471892,0.3497,4208854
2021-10-04,WIPRO,639.9,643.6,635.95,641.05,2903508,0.5534,5247122
2021-10-05,WIPRO,636.45,649.5,634.05,646.85,1922472,0.35240000000000005,5456074
2021-10-06,WIPRO,650.4,650.45,634.4,635.75,2266980,0.4687,4836599
2021-10-07,WIPRO,639.0,648.55,636.9,642.95,1537354,0.4128,3724343
2021-10-08,WIPRO,646.15,667.55,645.0,661.15,2684472,0.24300000000000002,11045983
2021-10-11,WIPRO,648.95,666.3,635.0,652.8,2580033,0.2527,10211466
2021-10-12,WIPRO,652.0,662.4,642.55,659.1,3968061,0.42479999999999996,9340216
2021-10-13,WIPRO,665.0,674.7,656.0,672.6,3637918,0.38439999999999996,9462941
2021-10-14,WIPRO,697.0,739.85,695.0,708.25,10479152,0.177,59188803
2021-10-18,WIPRO,719.0,720.8,702.4,709.75,4832594,0.4559,10599446
2021-10-19,WIPRO,717.1,729.95,708.0,711.55,3018306,0.2761,10932574
2021-10-20,WIPRO,713.6,722.75,695.75,701.95,3119495,0.3873,8054391
2021-10-21,WIPRO,708.95,709.0,681.7,696.3,2851949,0.35840000000000005,7958456
2021-10-22,WIPRO,701.75,705.5,678.25,682.4,1453991,0.27030000000000004,5379151
2021-10-25,WIPRO,682.75,684.2,660.8,667.7,4156554,0.4717,8810958
2021-10-26,WIPRO,671.05,678.8,665.0,668.15,2687152,0.44070000000000004,6096983
2021-10-27,WIPRO,668.15,674.55,663.45,671.1,2941563,0.4658,6315589
2021-10-28,WIPRO,671.0,671.6,655.0,656.9,2110456,0.40750000000000003,5178771
2021-10-29,WIPRO,658.25,659.4,644.25,646.75,3315111,0.4903,6761317
2021-11-01,WIPRO,651.1,656.95,647.5,655.45,2022049,0.4594,4401233
2021-11-02,WIPRO,657.0,661.0,651.1,653.8,2104938,0.5211,4039689
2021-11-03,WIPRO,659.4,661.85,650.2,652.5,1372089,0.3994,3435591
2021-11-04,WIPRO,655.0,657.65,647.4,653.7,479093,0.6119,782905
2021-11-08,WIPRO,652.95,661.0,647.5,658.35,2177534,0.4582,4752230
2021-11-09,WIPRO,663.1,666.25,656.7,658.45,1929674,0.46590000000000004,4142065
2021-11-10,WIPRO,655.9,659.0,651.55,652.6,2396837,0.5924,4045695
2021-11-11,WIPRO,649.75,649.75,636.8,641.8,2600931,0.4311,6033898
2021-11-12,WIPRO,648.0,662.5,645.8,660.05,2746168,0.4529,6063253
2021-11-15,WIPRO,661.55,666.0,657.15,658.9,1811254,0.3839,4717998
2021-11-16,WIPRO,658.4,668.75,654.65,661.45,2928701,0.5171,5663547
2021-11-17,WIPRO,661.45,668.0,658.0,661.8,2095936,0.47340000000000004,4427497
2021-11-18,WIPRO,663.4,665.95,645.25,651.45,1772807,0.4521,3921249
2021-11-22,WIPRO,658.0,660.45,638.0,644.05,2132153,0.3682,5791217
2021-11-23,WIPRO,642.7,648.95,626.05,642.8,1551884,0.3398,4567462
2021-11-24,WIPRO,644.3,647.6,633.1,636.5,1755566,0.4397,3992776
2021-11-25,WIPRO,637.0,641.8,633.0,636.7,1296803,0.38939999999999997,3330681
2021-11-26,WIPRO,632.0,634.4,619.65,621.45,1846220,0.4461,4138537
2021-11-29,WIPRO,616.55,632.85,603.95,630.6,1685169,0.3248,5188030
2021-11-30,WIPRO,630.6,645.5,630.5,637.25,8710600,0.6487999999999999,13425100
2021-12-01,WIPRO,642.6,645.95,633.25,634.8,2190068,0.4633,4726822
2021-12-02,WIPRO,636.9,648.1,629.0,646.8,2160910,0.4233,5105228
2021-12-03,WIPRO,644.75,653.95,639.9,640.75,3654411,0.5452,6702505
2021-12-06,WIPRO,637.25,644.2,623.15,624.5,2226869,0.4733,4704953
2021-12-07,WIPRO,628.0,634.55,623.0,632.4,1818419,0.425,4278545
2021-12-08,WIPRO,639.0,653.0,638.25,641.7,3023218,0.3936,7680329
2021-12-09,WIPRO,641.75,647.6,637.85,643.2,1403638,0.40890000000000004,3432802
2021-12-10,WIPRO,642.15,645.9,635.1,638.25,2287232,0.5366,4262606
2021-12-13,WIPRO,643.5,656.55,640.2,645.4,3195970,0.48710000000000003,6561840
2021-12-14,WIPRO,646.0,651.9,639.25,646.9,1859554,0.43200000000000005,4304706
2021-12-15,WIPRO,646.7,646.7,635.35,636.4,1606411,0.451,3561772
2021-12-16,WIPRO,644.0,649.9,639.4,644.3,2358282,0.37920000000000004,6218620
