Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,WONDERLA,235.4,235.9,229.25,230.35,27997,0.2766,101207
2021-09-02,WONDERLA,232.8,235.75,227.3,234.9,110515,0.34149999999999997,323599
2021-09-03,WONDERLA,235.8,236.95,230.2,234.6,33675,0.3054,110268
2021-09-06,WONDERLA,235.8,242.3,223.35,232.3,393567,0.4343,906296
2021-09-07,WONDERLA,234.3,237.5,230.1,231.0,77424,0.2484,311655
2021-09-08,WONDERLA,236.8,236.8,232.5,234.5,34382,0.3786,90813
2021-09-09,WONDERLA,234.5,235.7,232.05,232.85,37863,0.452,83770
2021-09-13,WONDERLA,233.9,233.9,230.1,231.05,41223,0.5429,75936
2021-09-14,WONDERLA,231.0,234.7,231.0,232.1,34434,0.46409999999999996,74192
2021-09-15,WONDERLA,233.3,234.45,231.0,231.8,37717,0.449,84001
2021-09-16,WONDERLA,230.1,232.25,230.1,231.4,35625,0.48610000000000003,73282
2021-09-17,WONDERLA,232.4,233.0,226.35,227.25,44012,0.4723,93183
2021-09-20,WONDERLA,228.75,232.5,225.85,227.1,65961,0.3639,181286
2021-09-21,WONDERLA,225.5,228.95,221.25,225.6,45710,0.506,90337
2021-09-22,WONDERLA,226.7,239.2,226.15,229.85,97819,0.3394,288185
2021-09-23,WONDERLA,233.55,233.7,227.95,229.3,85230,0.48869999999999997,174384
2021-09-24,WONDERLA,230.45,230.7,227.65,229.3,34135,0.49729999999999996,68647
2021-09-27,WONDERLA,232.8,239.75,228.9,233.8,164948,0.38520000000000004,428263
2021-09-28,WONDERLA,235.05,245.0,235.05,242.7,168029,0.4326,388421
2021-09-29,WONDERLA,239.0,248.6,239.0,242.6,104134,0.4475,232710
2021-09-30,WONDERLA,244.9,244.9,240.15,241.35,34012,0.39390000000000003,86342
2021-10-01,WONDERLA,237.2,242.6,237.0,238.45,46539,0.3632,128122
2021-10-04,WONDERLA,241.4,244.5,238.45,242.7,70981,0.5775,122911
2021-10-05,WONDERLA,243.4,247.0,242.5,243.25,50684,0.494,102603
2021-10-06,WONDERLA,244.5,258.6,243.9,247.5,148995,0.4335,343686
2021-10-07,WONDERLA,249.9,259.0,248.05,255.5,144900,0.5002000000000001,289672
2021-10-08,WONDERLA,257.6,259.3,249.0,250.15,47513,0.3976,119509
2021-10-11,WONDERLA,251.45,254.0,245.35,247.1,37147,0.47880000000000006,77583
2021-10-12,WONDERLA,248.9,251.8,244.15,247.2,32830,0.3613,90872
2021-10-13,WONDERLA,248.45,252.65,244.6,246.0,41574,0.39060000000000006,106434
2021-10-14,WONDERLA,246.6,251.7,245.2,246.35,36880,0.4696,78527
