Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,XPROINDIA,390.0,405.15,371.85,396.7,111352,0.4105,271235
2021-09-02,XPROINDIA,404.0,416.5,402.95,416.5,35792,0.6777,52817
2021-09-03,XPROINDIA,437.3,437.3,395.7,395.7,69949,0.6281,111368
2021-09-06,XPROINDIA,375.95,415.45,375.95,411.1,75738,0.3315,228479
2021-09-07,XPROINDIA,415.0,417.0,396.8,401.65,29715,0.5432,54703
2021-09-08,XPROINDIA,401.65,420.0,391.05,404.45,28388,0.5553,51122
2021-09-09,XPROINDIA,412.5,416.0,385.55,391.8,34246,0.5784,59213
2021-09-13,XPROINDIA,397.7,410.0,376.0,401.5,31499,0.47000000000000003,67016
2021-09-14,XPROINDIA,410.95,410.95,386.0,392.05,13104,0.5886,22264
2021-09-15,XPROINDIA,392.3,411.65,390.45,411.65,34314,0.7956000000000001,43131
2021-09-16,XPROINDIA,420.0,432.2,418.0,432.2,40415,0.7427,54415
2021-09-17,XPROINDIA,440.0,453.8,424.25,453.8,42316,0.8649,48925
2021-09-20,XPROINDIA,470.0,476.45,465.7,476.45,44365,0.8318000000000001,53334
2021-09-21,XPROINDIA,500.25,500.25,476.45,500.25,60677,0.6856,88500
2021-09-22,XPROINDIA,525.25,525.25,502.05,513.75,85644,0.5434,157619
2021-09-23,XPROINDIA,520.0,536.35,488.1,488.1,68597,0.5779,118702
2021-09-24,XPROINDIA,480.0,512.5,465.6,502.8,68548,0.39409999999999995,173955
2021-09-27,XPROINDIA,511.95,512.7,480.0,485.0,27261,0.6386999999999999,42682
2021-09-28,XPROINDIA,484.95,509.25,468.0,509.0,85115,0.5399,157649
2021-09-29,XPROINDIA,507.0,534.4,494.5,526.65,71262,0.5246000000000001,135838
2021-09-30,XPROINDIA,533.0,552.95,533.0,552.45,79260,0.6305,125706
2021-10-01,XPROINDIA,555.0,580.05,536.95,580.05,52340,0.381,137372
2021-10-04,XPROINDIA,598.0,609.05,581.0,609.05,57834,0.44560000000000005,129791
2021-10-05,XPROINDIA,621.95,639.5,619.85,632.15,51246,0.5266,97313
2021-10-06,XPROINDIA,634.85,660.65,601.1,656.5,84754,0.4867,174130
2021-10-07,XPROINDIA,667.0,689.3,652.0,687.55,97055,0.5418000000000001,179142
2021-10-08,XPROINDIA,706.9,713.9,685.0,700.6,59468,0.5613,105949
2021-10-11,XPROINDIA,721.75,730.0,690.0,701.0,49828,0.5479,90947
2021-10-12,XPROINDIA,703.0,722.0,670.15,683.95,51668,0.6006,86027
2021-10-13,XPROINDIA,688.1,693.0,649.8,651.7,79278,0.5477000000000001,144744
2021-10-14,XPROINDIA,650.0,675.0,620.0,637.15,39983,0.4767,83875
2021-10-18,XPROINDIA,653.0,669.0,645.05,668.9,73291,0.7652,95780
2021-10-19,XPROINDIA,689.95,699.0,635.5,636.1,51713,0.5806,89074
2021-10-20,XPROINDIA,644.0,644.0,604.3,606.15,26304,0.5388000000000001,48819
2021-10-21,XPROINDIA,606.15,636.4,576.1,605.95,23105,0.4018,57503
2021-10-22,XPROINDIA,622.0,625.0,577.1,583.95,15556,0.5377000000000001,28930
2021-10-25,XPROINDIA,602.95,602.95,554.8,554.8,16164,0.5091,31750
