Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ZEEL,173.0,174.8,171.8,173.85,2562389,0.3691,6942115
2021-09-02,ZEEL,172.55,173.3,170.55,172.65,2056872,0.34049999999999997,6040834
2021-09-03,ZEEL,173.0,178.1,172.9,176.4,1936713,0.227,8531340
2021-09-06,ZEEL,178.25,182.5,177.25,179.5,2909126,0.2637,11031915
2021-09-07,ZEEL,180.95,181.1,177.3,177.85,2548671,0.3622,7037519
2021-09-08,ZEEL,178.8,179.95,176.6,177.4,1535548,0.2879,5332714
2021-09-09,ZEEL,177.35,183.75,176.9,183.0,2328543,0.26789999999999997,8692351
2021-09-13,ZEEL,183.0,188.75,181.7,186.85,2697677,0.2341,11521335
2021-09-14,ZEEL,205.5,270.9,205.5,261.55,63632612,0.2911,218600225
2021-09-15,ZEEL,261.55,300.75,251.2,255.9,30251950,0.151,200295409
2021-09-16,ZEEL,255.9,262.5,245.2,247.15,6599626,0.17370000000000002,37987576
2021-09-17,ZEEL,247.6,262.0,242.2,255.45,14385278,0.18920000000000003,76050862
2021-09-20,ZEEL,251.9,267.7,250.2,255.45,8493195,0.16090000000000002,52771511
2021-09-21,ZEEL,257.95,261.15,248.05,255.7,2902708,0.1211,23976844
2021-09-22,ZEEL,281.25,355.35,281.25,336.8,33663250,0.1757,191544190
2021-09-23,ZEEL,343.0,362.9,315.0,318.2,28692048,0.2076,138183537
2021-09-24,ZEEL,322.0,333.0,306.4,318.9,13370812,0.18309999999999998,73023126
2021-09-27,ZEEL,305.0,327.95,302.0,322.25,8922148,0.1869,47746149
2021-09-28,ZEEL,322.8,323.0,307.35,309.15,8428027,0.2879,29276423
2021-09-29,ZEEL,306.0,312.7,304.0,309.9,11361415,0.425,26734801
2021-09-30,ZEEL,302.9,309.6,300.0,303.2,8129760,0.2633,30872327
2021-10-01,ZEEL,300.0,302.8,284.0,295.85,7653467,0.20829999999999999,36734296
2021-10-04,ZEEL,295.5,306.45,291.9,301.25,4179357,0.19140000000000001,21838276
2021-10-05,ZEEL,299.9,303.2,294.15,299.45,5832173,0.3124,18671616
2021-10-06,ZEEL,300.45,306.8,292.5,294.7,6419037,0.3064,20947344
2021-10-07,ZEEL,295.2,297.5,291.5,292.7,2770007,0.2912,9513397
2021-10-08,ZEEL,295.0,299.1,292.25,294.65,4085949,0.34850000000000003,11723263
2021-10-11,ZEEL,295.0,315.4,285.35,306.25,8773036,0.326,26910318
2021-10-12,ZEEL,308.9,313.6,297.0,306.15,9389806,0.2629,35716451
2021-10-13,ZEEL,302.9,321.75,298.55,317.0,7211633,0.16010000000000002,45042091
2021-10-14,ZEEL,321.0,321.5,311.3,319.85,6137655,0.23320000000000002,26317075
2021-10-18,ZEEL,319.45,323.0,309.05,310.85,8152486,0.38939999999999997,20938494
2021-10-19,ZEEL,312.0,321.0,301.1,309.2,6726129,0.2371,28366351
2021-10-20,ZEEL,311.0,325.0,306.7,320.05,9115077,0.2429,37524512
2021-10-21,ZEEL,324.3,331.95,316.55,321.05,7439092,0.1861,39983507
2021-10-22,ZEEL,322.1,329.65,304.0,308.0,4670466,0.1494,31263670
2021-10-25,ZEEL,309.0,311.35,293.0,304.4,2027024,0.131,15469404
2021-10-26,ZEEL,305.85,325.0,300.0,317.5,3803792,0.11750000000000001,32370105
2021-10-27,ZEEL,317.4,317.4,301.55,303.3,4152672,0.2415,17194768
2021-10-28,ZEEL,303.5,305.5,295.1,297.3,3495219,0.23420000000000002,14925459
2021-10-29,ZEEL,297.0,309.65,297.0,300.95,2036030,0.1387,14679306
2021-11-01,ZEEL,303.9,312.75,301.4,311.15,2749043,0.2552,10772688
2021-11-02,ZEEL,312.95,316.9,310.75,313.85,1983807,0.217,9143980
2021-11-03,ZEEL,314.0,315.5,305.15,306.85,1357260,0.1569,8651729
2021-11-04,ZEEL,309.0,311.3,308.95,310.15,425884,0.3079,1383317
2021-11-08,ZEEL,311.0,320.95,309.0,316.8,4256874,0.29850000000000004,14261936
2021-11-09,ZEEL,316.0,327.85,312.55,324.6,4154871,0.24180000000000001,17183572
2021-11-10,ZEEL,321.9,324.55,313.15,317.35,1617632,0.19649999999999998,8233847
2021-11-11,ZEEL,318.0,322.6,310.1,314.05,1631300,0.16210000000000002,10061766
2021-11-12,ZEEL,322.5,322.5,308.5,312.7,1682673,0.1285,13094002
