Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ZENTEC,98.2,116.55,97.3,116.55,3229696,0.2953,10938588
2021-09-02,ZENTEC,122.4,139.85,121.85,139.85,2555048,0.1804,14162887
2021-09-03,ZENTEC,153.8,153.8,142.9,153.8,2588975,0.3271,7914818
2021-09-06,ZENTEC,162.0,169.15,160.6,169.15,1357373,0.35479999999999995,3825960
2021-09-07,ZENTEC,186.05,186.05,175.0,186.05,2168438,0.33490000000000003,6474372
2021-09-08,ZENTEC,191.7,195.35,190.0,195.35,804599,0.7679,1047749
2021-09-09,ZENTEC,205.1,205.1,195.35,205.1,1836379,0.43560000000000004,4215901
2021-09-13,ZENTEC,213.5,215.35,206.0,215.35,938049,0.5783,1622201
2021-09-14,ZENTEC,226.1,226.1,226.1,226.1,1129005,0.7318000000000001,1542820
2021-09-15,ZENTEC,237.4,237.4,214.8,214.8,2757760,0.4558,6049865
2021-09-16,ZENTEC,205.15,208.0,204.1,204.1,570125,0.6924,823421
2021-09-17,ZENTEC,193.9,193.9,193.9,193.9,225730,0.9997,225797
2021-09-20,ZENTEC,184.25,184.25,184.25,184.25,135322,0.9992000000000001,135436
2021-09-21,ZENTEC,181.55,193.45,175.05,177.5,1958359,0.2969,6596636
2021-09-22,ZENTEC,180.0,186.35,180.0,186.35,294106,0.7107,413825
2021-09-23,ZENTEC,195.65,195.65,190.25,195.15,1147186,0.5169,2219571
2021-09-24,ZENTEC,201.0,204.9,199.15,204.9,875406,0.506,1729965
2021-09-27,ZENTEC,215.1,215.1,215.1,215.1,400290,0.8543000000000001,468535
2021-09-28,ZENTEC,225.85,225.85,204.35,206.55,1535616,0.40020000000000006,3836898
2021-09-29,ZENTEC,197.0,213.85,197.0,206.2,554877,0.37090000000000006,1496085
2021-09-30,ZENTEC,210.0,212.9,204.35,205.2,313327,0.5579,561662
2021-10-01,ZENTEC,204.9,215.45,202.3,215.45,632047,0.756,836038
2021-10-04,ZENTEC,226.2,226.2,211.05,214.85,1251606,0.4514,2773019
2021-10-05,ZENTEC,214.85,218.5,211.0,213.05,369340,0.5866,629589
2021-10-06,ZENTEC,216.0,217.3,204.95,206.3,414716,0.5722,724736
2021-10-07,ZENTEC,207.95,214.35,206.5,207.6,268195,0.5267000000000001,509169
2021-10-08,ZENTEC,208.0,209.0,203.5,204.1,325002,0.6198,524350
2021-10-11,ZENTEC,205.1,212.0,204.0,204.5,406366,0.5881000000000001,690993
2021-10-12,ZENTEC,205.55,208.5,202.5,205.55,345599,0.6063000000000001,570011
2021-10-13,ZENTEC,212.0,215.8,207.45,215.8,928669,0.774,1199775
2021-10-14,ZENTEC,225.05,226.55,217.0,226.55,1399299,0.4292,3260446
2021-10-18,ZENTEC,234.9,237.85,218.65,237.85,1339003,0.45659999999999995,2932538
2021-10-19,ZENTEC,243.0,249.7,226.0,229.1,1032621,0.5378000000000001,1920100
