Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,ZUARI,122.15,129.6,122.15,128.0,59558,0.7482,79602
2021-10-13,ZUARI,128.0,131.75,126.0,126.2,45932,0.7162000000000001,64133
2021-10-14,ZUARI,127.0,129.7,120.8,123.75,39834,0.6601,60341
2021-10-18,ZUARI,124.0,127.3,123.75,124.65,83885,0.7676999999999999,109273
2021-10-19,ZUARI,124.65,126.75,120.35,121.65,37379,0.5614,66579
2021-10-20,ZUARI,121.0,122.0,117.0,118.45,19677,0.6295000000000001,31257
2021-10-21,ZUARI,117.6,119.3,114.1,115.4,23991,0.675,35543
2021-10-22,ZUARI,115.5,121.15,115.5,118.5,39700,0.5204,76282
2021-10-25,ZUARI,121.0,121.25,114.0,116.0,23882,0.6629,36028
2021-10-26,ZUARI,116.0,119.0,115.0,116.95,13644,0.5893,23151
2021-10-27,ZUARI,116.2,119.05,116.1,117.1,6826,0.4965,13748
2021-10-28,ZUARI,117.1,117.6,112.65,113.45,20872,0.6827,30571
2021-10-29,ZUARI,112.5,115.0,111.1,112.25,13466,0.6052000000000001,22249
2021-11-01,ZUARI,115.0,115.0,111.0,112.15,12621,0.5186,24335
2021-11-02,ZUARI,114.25,114.9,110.6,112.15,21383,0.6151,34762
2021-11-03,ZUARI,114.25,114.65,112.05,113.5,15702,0.5599000000000001,28045
2021-11-04,ZUARI,114.9,114.9,111.65,114.0,5891,0.6042000000000001,9750
2021-11-08,ZUARI,114.95,114.95,110.6,113.6,19400,0.5724,33895
2021-11-09,ZUARI,112.35,114.9,112.35,113.9,21424,0.6642,32253
2021-11-10,ZUARI,114.5,119.55,112.6,119.55,48482,0.8048000000000001,60240
2021-11-11,ZUARI,124.3,124.3,115.6,116.9,48207,0.6364,75745
2021-11-12,ZUARI,118.95,120.55,114.0,114.9,46876,0.7453000000000001,62892
2021-11-15,ZUARI,117.7,117.7,111.1,112.95,27160,0.6137,44257
2021-11-16,ZUARI,116.5,116.5,111.6,112.35,29165,0.6883,42372
2021-11-17,ZUARI,113.95,113.95,109.8,110.1,62423,0.8151,76583
2021-11-18,ZUARI,110.25,112.85,108.0,108.15,32373,0.5613,57677
2021-11-22,ZUARI,105.25,109.55,102.75,103.55,31613,0.6736,46931
2021-11-23,ZUARI,101.1,108.7,101.1,108.7,64973,0.7271,89359
2021-11-24,ZUARI,112.8,114.0,107.95,108.8,71945,0.6451000000000001,111519
2021-11-25,ZUARI,111.0,112.0,106.95,107.7,34694,0.7151000000000001,48518
2021-11-26,ZUARI,107.05,108.7,102.6,103.9,61561,0.7062999999999999,87160
2021-11-29,ZUARI,104.0,104.45,101.0,101.65,12882,0.5782,22280
2021-11-30,ZUARI,104.95,105.85,101.1,102.35,12146,0.5884,20641
2021-12-01,ZUARI,104.9,104.9,102.05,103.15,24657,0.6724,36670
2021-12-02,ZUARI,102.2,108.3,102.2,108.3,27458,0.6579,41734
2021-12-03,ZUARI,108.6,111.65,107.4,107.95,55139,0.6770999999999999,81432
2021-12-06,ZUARI,107.25,110.0,107.0,107.4,15849,0.5482,28911
2021-12-07,ZUARI,110.8,115.8,108.25,108.9,70363,0.5531,127221
2021-12-08,ZUARI,108.9,117.0,108.9,116.1,75480,0.7314,103202
2021-12-09,ZUARI,117.7,119.0,112.65,114.7,42537,0.5728,74258
2021-12-10,ZUARI,117.4,117.4,113.2,115.3,27501,0.5819,47263
